dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,double,uniform,GPU,"P | P | P | P | P | P",4,512,0,1.99776,0,230.907,3.80826,236.771,236.713
3,double,uniform,GPU,"P | P | P | P | P | P",4,512,1,1.41667,0,61.5736,3.51539,66.5644,66.5056
3,double,uniform,GPU,"P | P | P | P | P | P",4,512,2,1.41322,0,61.484,3.51334,66.4688,66.4106
3,double,uniform,GPU,"P | P | P | P | P | P",4,512,3,1.41181,0,61.4644,3.51334,66.4531,66.3896
3,double,uniform,GPU,"P | P | P | P | P | P",4,512,4,1.41187,0,61.4709,3.51642,66.4269,66.3992
3,double,uniform,GPU,"P | P | P | P | P | P",4,512,5,1.41878,0,61.4771,3.51027,66.4833,66.4062
3,double,uniform,GPU,"P | P | P | P | P | P",4,512,6,1.41309,0,61.5191,3.51539,66.4778,66.4476
3,double,uniform,GPU,"P | P | P | P | P | P",4,512,7,1.41078,0,61.4986,3.51846,66.4805,66.4279
3,double,uniform,GPU,"P | P | P | P | P | P",4,512,8,1.41405,0,61.4531,3.51437,66.4572,66.3815
3,double,uniform,GPU,"P | P | P | P | P | P",4,512,9,1.41514,0,61.5181,3.51642,66.497,66.4497
3,double,uniform,GPU,"P | P | P | P | P | P",4,512,10,1.41366,0,61.4539,3.50003,66.432,66.3676
3,double,uniform,GPU,"P | P | P | P | P | P",4,512,11,1.41434,0,61.4862,3.51232,66.4866,66.4128
3,double,uniform,GPU,"P | P | P | P | P | P",4,512,12,1.42291,0,61.5346,3.51334,66.5179,66.4709
3,double,uniform,GPU,"P | P | P | P | P | P",4,512,13,1.4127,0,61.4946,3.51437,66.5008,66.4217
3,double,uniform,GPU,"P | P | P | P | P | P",4,512,14,1.41034,0,61.4629,3.51949,66.4644,66.3928
3,double,uniform,GPU,"P | P | P | P | P | P",4,512,15,1.432,0,61.4176,3.51334,66.4359,66.3629
3,double,uniform,GPU,"P | P | P | P | P | P",4,512,16,1.41238,0,61.4642,3.50925,66.4614,66.3858
3,double,uniform,GPU,"P | P | P | P | P | P",4,512,17,1.41574,0,61.4717,3.52256,66.4903,66.41
3,double,uniform,GPU,"P | P | P | P | P | P",4,512,18,1.40982,0,61.4618,3.51539,66.4563,66.387
3,double,uniform,GPU,"P | P | P | P | P | P",4,512,19,1.41222,0,61.515,3.50618,66.4124,66.4334
3,double,uniform,GPU,"P | P | P | P | P | P",4,512,20,1.41856,0,61.4285,3.5072,66.4307,66.3542
3,double,uniform,GPU,"P | P | P | P | P | P",4,512,21,1.4127,0,61.518,3.51334,66.4918,66.444
3,double,uniform,GPU,"P | P | P | P | P | P",4,512,22,1.41203,0,61.4196,3.51437,66.4198,66.346
3,double,uniform,GPU,"P | P | P | P | P | P",4,512,23,1.41715,0,61.4846,3.52051,66.497,66.4222
3,double,uniform,GPU,"P | P | P | P | P | P",4,512,24,1.41318,0,61.4785,3.51437,66.4573,66.406
3,double,uniform,GPU,"P | P | P | P | P | P",4,512,25,1.41267,0,62.4086,3.52563,67.2614,67.3469
3,double,uniform,GPU,"P | P | P | P | P | P",4,512,26,1.41379,0,61.5013,3.5113,66.4681,66.4264
3,double,uniform,GPU,"P | P | P | P | P | P",4,512,27,1.40989,0,61.5441,3.51334,66.5268,66.4673
3,double,uniform,GPU,"P | P | P | P | P | P",4,512,28,1.41389,0,61.5217,3.50618,66.4958,66.4418
3,double,uniform,GPU,"P | P | P | P | P | P",4,512,29,1.41485,0,61.4458,3.50208,66.4323,66.3627
