dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,float,uniform,CPU,"P | P | P | P | Ds | Ns",6,512,0,44.1858,551.733,4.42861,1.59939,599.251,601.947
3,float,uniform,CPU,"P | P | P | P | Ds | Ns",6,512,1,42.6412,441.264,4.51784,1.18163,489.729,489.604
3,float,uniform,CPU,"P | P | P | P | Ds | Ns",6,512,2,43.0758,425.081,4.43998,1.19082,472.504,473.787
3,float,uniform,CPU,"P | P | P | P | Ds | Ns",6,512,3,42.5786,429.713,4.48322,1.18573,478.097,477.961
3,float,uniform,CPU,"P | P | P | P | Ds | Ns",6,512,4,42.6099,416.158,4.50254,1.18163,464.574,464.452
3,float,uniform,CPU,"P | P | P | P | Ds | Ns",6,512,5,42.5132,419.289,4.52657,1.17754,467.63,467.506
3,float,uniform,CPU,"P | P | P | P | Ds | Ns",6,512,6,42.647,417.744,4.50853,1.17955,466.198,466.079
3,float,uniform,CPU,"P | P | P | P | Ds | Ns",6,512,7,43.1065,416.027,4.49776,1.17757,464.927,464.809
3,float,uniform,CPU,"P | P | P | P | Ds | Ns",6,512,8,42.6111,415.664,4.51632,1.17754,464.094,463.969
3,float,uniform,CPU,"P | P | P | P | Ds | Ns",6,512,9,42.6961,413.378,4.41618,1.17549,461.478,461.666
3,float,uniform,CPU,"P | P | P | P | Ds | Ns",6,512,10,43.0927,413.352,4.49789,1.17757,462.238,462.121
3,float,uniform,CPU,"P | P | P | P | Ds | Ns",6,512,11,43.0686,410.585,4.56723,1.19491,459.554,459.416
3,float,uniform,CPU,"P | P | P | P | Ds | Ns",6,512,12,42.5573,416.173,4.47816,1.17344,464.499,464.382
3,float,uniform,CPU,"P | P | P | P | Ds | Ns",6,512,13,43.0181,414.268,4.48821,1.17242,463.063,462.947
3,float,uniform,CPU,"P | P | P | P | Ds | Ns",6,512,14,42.5249,415.15,4.47943,1.17347,463.45,463.327
3,float,uniform,CPU,"P | P | P | P | Ds | Ns",6,512,15,42.5704,413.4,4.44356,1.17136,460.915,461.585
3,float,uniform,CPU,"P | P | P | P | Ds | Ns",6,512,16,42.589,415.004,4.43009,1.17754,458.8,463.201
3,float,uniform,CPU,"P | P | P | P | Ds | Ns",6,512,17,42.6979,412.765,4.41478,1.17443,460.43,461.052
3,float,uniform,CPU,"P | P | P | P | Ds | Ns",6,512,18,43.005,413.569,4.47618,1.17549,462.344,462.225
3,float,uniform,CPU,"P | P | P | P | Ds | Ns",6,512,19,42.6793,592.624,4.39964,1.1775,624.958,640.88
3,float,uniform,CPU,"P | P | P | P | Ds | Ns",6,512,20,43.0756,413.908,4.50774,1.17552,462.786,462.667
3,float,uniform,CPU,"P | P | P | P | Ds | Ns",6,512,21,42.74,415.235,4.41522,1.17648,457.416,463.567
3,float,uniform,CPU,"P | P | P | P | Ds | Ns",6,512,22,42.8504,413.213,4.38649,1.17034,461.273,461.621
3,float,uniform,CPU,"P | P | P | P | Ds | Ns",6,512,23,41.1558,413.779,4.61812,1.28512,460.922,460.838
3,float,uniform,CPU,"P | P | P | P | Ds | Ns",6,512,24,42.6959,413.258,4.4125,1.17856,461.337,461.545
3,float,uniform,CPU,"P | P | P | P | Ds | Ns",6,512,25,42.538,414.754,4.49209,1.17552,463.073,462.96
3,float,uniform,CPU,"P | P | P | P | Ds | Ns",6,512,26,42.5516,412.536,4.51386,1.17242,460.889,460.774
3,float,uniform,CPU,"P | P | P | P | Ds | Ns",6,512,27,42.695,413.268,4.41014,1.1775,461.146,461.551
3,float,uniform,CPU,"P | P | P | P | Ds | Ns",6,512,28,43.1114,411.994,4.40446,1.17443,460.557,460.684
3,float,uniform,CPU,"P | P | P | P | Ds | Ns",6,512,29,43.7284,412.011,4.51465,1.20006,461.119,461.454
