dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,double,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",4,512,0,1.49763,1960.34,5.438,2.55686,1973.87,1969.83
3,double,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",4,512,1,1.41491,1951.87,5.4054,2.21485,1964.58,1960.9
3,double,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",4,512,2,1.41558,1916.34,5.41613,2.22003,1929.1,1925.39
3,double,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",4,512,3,1.41008,1887.54,5.40463,2.20874,1900.24,1896.56
3,double,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",4,512,4,1.40547,1868.27,5.39285,2.20976,1880.97,1877.28
3,double,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",4,512,5,1.42192,1983.67,5.39222,2.2087,1996.32,1992.69
3,double,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",4,512,6,1.40218,1978.09,5.43921,2.22515,1990.86,1987.16
3,double,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",4,512,7,1.40803,1907.19,5.3949,2.23437,1919.91,1916.23
3,double,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",4,512,8,1.40518,1881.57,5.39133,2.23334,1894.29,1890.6
3,double,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",4,512,9,1.39699,1903.42,5.39278,2.20666,1916.12,1912.42
3,double,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",4,512,10,1.42166,1968.35,5.39556,2.20461,1981.06,1977.37
3,double,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",4,512,11,1.41155,1918.32,5.43868,2.22413,1931.08,1927.39
3,double,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",4,512,12,1.4153,1936.99,5.39268,2.20979,1949.68,1946
3,double,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",4,512,13,1.41024,1930.14,5.3932,2.19846,1942.82,1939.14
3,double,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",4,512,14,1.40874,1917.76,5.39342,2.21075,1930.46,1926.77
3,double,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",4,512,15,1.41971,1919.58,5.43066,2.22304,1932.39,1928.65
3,double,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",4,512,16,1.40726,1919.81,5.38968,2.20365,1932.47,1928.81
3,double,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",4,512,17,1.40595,1887.22,5.38861,2.25894,1899.96,1896.28
3,double,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",4,512,18,1.42371,1918.81,5.39655,2.20154,1931.55,1927.83
3,double,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",4,512,19,1.41027,1914.7,5.4359,2.22717,1927.45,1923.78
3,double,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",4,512,20,1.39981,1879.58,5.39392,2.21187,1892.27,1888.59
3,double,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",4,512,21,1.40838,1945.68,5.39576,2.2057,1958.37,1954.69
3,double,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",4,512,22,1.40515,1882.28,5.38877,2.21693,1894.98,1891.29
3,double,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",4,512,23,1.40736,1968.53,5.38515,2.22413,1981.23,1977.54
3,double,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",4,512,24,1.41053,1906.87,5.39008,2.19747,1919.55,1915.87
3,double,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",4,512,25,1.41139,1894.95,5.38833,2.21286,1907.64,1903.96
3,double,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",4,512,26,1.40752,1925.11,5.39399,2.20256,1937.79,1934.12
3,double,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",4,512,27,1.40909,1906.04,5.38508,2.23027,1918.74,1915.07
3,double,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",4,512,28,1.40816,1935.59,5.38973,2.2129,1948.28,1944.6
3,double,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",4,512,29,1.40682,1935.76,5.38676,2.25171,1948.48,1944.81
