dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,float,uniform,GPU,"P | P | P | P | Ds | Ns",6,512,0,0.523936,820.003,4.59758,2.02752,818.89,827.152
3,float,uniform,GPU,"P | P | P | P | Ds | Ns",6,512,1,0.50896,797.529,4.6177,1.39571,802.735,804.051
3,float,uniform,GPU,"P | P | P | P | Ds | Ns",6,512,2,0.502624,800.014,4.63293,1.32195,805.259,806.471
3,float,uniform,GPU,"P | P | P | P | Ds | Ns",6,512,3,0.51696,778.654,4.60375,1.31987,770.535,785.095
3,float,uniform,GPU,"P | P | P | P | Ds | Ns",6,512,4,0.5096,777.132,4.60594,1.39059,782.534,783.638
3,float,uniform,GPU,"P | P | P | P | Ds | Ns",6,512,5,0.495936,790.243,4.60983,1.30762,796.633,796.656
3,float,uniform,GPU,"P | P | P | P | Ds | Ns",6,512,6,0.518112,768.245,4.73883,1.32403,774.99,774.826
3,float,uniform,GPU,"P | P | P | P | Ds | Ns",6,512,7,0.501056,759.784,4.78317,1.35376,766.562,766.422
3,float,uniform,GPU,"P | P | P | P | Ds | Ns",6,512,8,0.493792,765.536,4.59123,1.38342,771.49,772.004
3,float,uniform,GPU,"P | P | P | P | Ds | Ns",6,512,9,0.503584,785.034,4.7303,1.31984,791.727,791.587
3,float,uniform,GPU,"P | P | P | P | Ds | Ns",6,512,10,0.501504,760.765,4.69976,1.32202,767.438,767.288
3,float,uniform,GPU,"P | P | P | P | Ds | Ns",6,512,11,0.501888,773.096,4.66808,1.32294,779.727,779.589
3,float,uniform,GPU,"P | P | P | P | Ds | Ns",6,512,12,0.510944,805.173,4.7268,1.30554,811.43,811.716
3,float,uniform,GPU,"P | P | P | P | Ds | Ns",6,512,13,0.499584,765.565,4.60127,1.32192,766.01,771.988
3,float,uniform,GPU,"P | P | P | P | Ds | Ns",6,512,14,0.49952,764.165,4.65616,1.32093,770.778,770.641
3,float,uniform,GPU,"P | P | P | P | Ds | Ns",6,512,15,0.503616,811.177,4.72438,1.31882,817.865,817.724
3,float,uniform,GPU,"P | P | P | P | Ds | Ns",6,512,16,0.49888,797.604,4.57164,1.32195,803.386,803.997
3,float,uniform,GPU,"P | P | P | P | Ds | Ns",6,512,17,0.502464,774.815,4.5876,1.3209,780.841,781.226
3,float,uniform,GPU,"P | P | P | P | Ds | Ns",6,512,18,0.5032,761.424,4.77989,1.33626,768.182,768.043
3,float,uniform,GPU,"P | P | P | P | Ds | Ns",6,512,19,0.4912,767.751,4.60751,1.39162,771.306,774.241
3,float,uniform,GPU,"P | P | P | P | Ds | Ns",6,512,20,0.493984,782.641,4.59359,1.3865,787.447,789.115
3,float,uniform,GPU,"P | P | P | P | Ds | Ns",6,512,21,0.499936,771.084,4.62003,1.32294,771.644,777.527
3,float,uniform,GPU,"P | P | P | P | Ds | Ns",6,512,22,0.50192,782.78,4.66911,1.33219,789.418,789.283
3,float,uniform,GPU,"P | P | P | P | Ds | Ns",6,512,23,0.502688,765.78,4.67112,1.33424,772.426,772.288
3,float,uniform,GPU,"P | P | P | P | Ds | Ns",6,512,24,0.494784,765.943,4.62033,1.38547,772.266,772.444
3,float,uniform,GPU,"P | P | P | P | Ds | Ns",6,512,25,0.49472,752.658,4.56136,1.39059,756.333,759.105
3,float,uniform,GPU,"P | P | P | P | Ds | Ns",6,512,26,0.492352,772.69,4.6079,1.39571,778.494,779.186
3,float,uniform,GPU,"P | P | P | P | Ds | Ns",6,512,27,0.512064,785.856,4.79307,1.3455,792.673,792.506
3,float,uniform,GPU,"P | P | P | P | Ds | Ns",6,512,28,0.499456,803.032,4.69049,1.3271,809.693,809.549
3,float,uniform,GPU,"P | P | P | P | Ds | Ns",6,512,29,0.500096,775.895,4.6752,1.32502,782.537,782.396
