dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,float,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",6,512,0,42.9002,0,2596.83,1.25235,2641.17,2640.98
3,float,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",6,512,1,42.9155,0,2174.18,0.724992,2217.93,2217.82
3,float,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",6,512,2,42.9825,0,2158.92,0.718816,2202.72,2202.62
3,float,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",6,512,3,41.9845,0,2171.69,0.73728,2214.53,2214.41
3,float,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",6,512,4,42.8126,0,2157.28,0.710624,2200.91,2200.81
3,float,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",6,512,5,41.9835,0,2172.42,0.726016,2215.25,2215.12
3,float,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",6,512,6,41.9804,0,2174.32,0.720864,2217.12,2217.02
3,float,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",6,512,7,42.9997,0,2161.19,0.714752,2205.01,2204.9
3,float,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",6,512,8,42.2318,0,2175.04,0.714752,2218.09,2217.98
3,float,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",6,512,9,41.8374,0,2317.34,0.71168,2332.82,2359.88
3,float,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",6,512,10,41.8481,0,2311.37,0.723968,2330.63,2353.94
3,float,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",6,512,11,41.8715,0,2315.57,0.719872,2335.21,2358.16
3,float,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",6,512,12,43.4123,0,2165.43,0.720928,2209.69,2209.56
3,float,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",6,512,13,41.6871,0,2160.39,0.72192,2202.91,2202.8
3,float,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",6,512,14,41.8804,0,2185.22,0.7136,2227.91,2227.81
3,float,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",6,512,15,41.7643,0,2320.88,0.714752,2335.96,2363.36
3,float,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",6,512,16,41.7109,0,2174.46,0.731136,2217.03,2216.9
3,float,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",6,512,17,41.7113,0,2320.94,0.718848,2341.27,2363.37
3,float,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",6,512,18,42.3047,0,2159.28,0.715776,2202.4,2202.3
3,float,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",6,512,19,41.8099,0,2321.5,0.72496,2338.67,2364.03
3,float,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",6,512,20,42.0483,0,2141.77,0.71168,2184.64,2184.53
3,float,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",6,512,21,41.8339,0,2160.02,0.715776,2202.67,2202.57
3,float,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",6,512,22,41.9717,0,2330.27,0.7168,2343.24,2372.96
3,float,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",6,512,23,41.8962,0,2166.58,0.71168,2209.28,2209.19
3,float,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",6,512,24,42.0814,0,2167.9,0.718848,2210.81,2210.7
3,float,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",6,512,25,41.8284,0,2162.26,0.713728,2204.9,2204.8
3,float,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",6,512,26,42.3875,0,2167.1,0.715776,2210.3,2210.2
3,float,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",6,512,27,41.8406,0,2305.82,0.712704,2324.45,2348.37
3,float,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",6,512,28,41.9746,0,2168.02,0.728064,2210.85,2210.72
3,float,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",6,512,29,41.8017,0,2155.76,0.717824,2198.39,2198.28
