dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,double,uniform,GPU,"D | D | D | D | D | D",6,512,0,1.03824,0,5340.59,1.78688,5343.6,5343.42
3,double,uniform,GPU,"D | D | D | D | D | D",6,512,1,0.95728,0,2965.01,0.9472,2967.02,2966.92
3,double,uniform,GPU,"D | D | D | D | D | D",6,512,2,0.957088,0,2976.16,0.95232,2978.17,2978.07
3,double,uniform,GPU,"D | D | D | D | D | D",6,512,3,0.965664,0,2970.29,0.95648,2972.33,2972.21
3,double,uniform,GPU,"D | D | D | D | D | D",6,512,4,0.957056,0,2981.6,0.946176,2983.61,2983.51
3,double,uniform,GPU,"D | D | D | D | D | D",6,512,5,0.96144,0,3202.71,0.951296,3164.93,3204.62
3,double,uniform,GPU,"D | D | D | D | D | D",6,512,6,0.957184,0,2960.26,0.948224,2962.26,2962.17
3,double,uniform,GPU,"D | D | D | D | D | D",6,512,7,0.967904,0,2963.18,0.95744,2965.23,2965.11
3,double,uniform,GPU,"D | D | D | D | D | D",6,512,8,0.955424,0,2967.44,0.948224,2969.44,2969.34
3,double,uniform,GPU,"D | D | D | D | D | D",6,512,9,0.966176,0,2968.7,0.956416,2970.73,2970.62
3,double,uniform,GPU,"D | D | D | D | D | D",6,512,10,0.956128,0,2965.54,0.946144,2967.54,2967.45
3,double,uniform,GPU,"D | D | D | D | D | D",6,512,11,0.96688,0,2971.86,0.951296,2973.89,2973.78
3,double,uniform,GPU,"D | D | D | D | D | D",6,512,12,0.95616,0,2968.16,0.951264,2970.17,2970.07
3,double,uniform,GPU,"D | D | D | D | D | D",6,512,13,0.95552,0,2957.73,0.948224,2959.72,2959.63
3,double,uniform,GPU,"D | D | D | D | D | D",6,512,14,0.954464,0,2963.26,0.947104,2965.26,2965.16
3,double,uniform,GPU,"D | D | D | D | D | D",6,512,15,0.956576,0,2959.15,0.946176,2961.15,2961.05
3,double,uniform,GPU,"D | D | D | D | D | D",6,512,16,0.959424,0,3201.35,0.95232,3164.52,3203.26
3,double,uniform,GPU,"D | D | D | D | D | D",6,512,17,0.955584,0,2961.68,0.953344,2963.68,2963.59
3,double,uniform,GPU,"D | D | D | D | D | D",6,512,18,0.954208,0,2957.79,0.9472,2959.79,2959.69
3,double,uniform,GPU,"D | D | D | D | D | D",6,512,19,0.958336,0,3223.52,0.950272,3186.71,3225.43
3,double,uniform,GPU,"D | D | D | D | D | D",6,512,20,0.955328,0,2974.21,0.945152,2976.21,2976.11
3,double,uniform,GPU,"D | D | D | D | D | D",6,512,21,0.956224,0,2981.55,0.946176,2983.54,2983.45
3,double,uniform,GPU,"D | D | D | D | D | D",6,512,22,0.960256,0,3210.3,0.950272,3170.81,3212.21
3,double,uniform,GPU,"D | D | D | D | D | D",6,512,23,0.956608,0,2971.68,0.948224,2973.67,2973.58
3,double,uniform,GPU,"D | D | D | D | D | D",6,512,24,0.956096,0,2953.31,0.948288,2955.32,2955.21
3,double,uniform,GPU,"D | D | D | D | D | D",6,512,25,0.957824,0,3222.82,0.951296,3185.02,3224.73
3,double,uniform,GPU,"D | D | D | D | D | D",6,512,26,0.956416,0,2978.03,0.948224,2980.03,2979.94
3,double,uniform,GPU,"D | D | D | D | D | D",6,512,27,0.95616,0,2972.29,0.945152,2974.28,2974.19
3,double,uniform,GPU,"D | D | D | D | D | D",6,512,28,0.954048,0,2969.64,0.948224,2971.64,2971.54
3,double,uniform,GPU,"D | D | D | D | D | D",6,512,29,0.957824,0,2970.74,0.945152,2972.73,2972.64
