dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",1,512,0,3.6497,5.30304,16.4447,3.7929,29.3152,29.1904
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",1,512,1,3.18957,5.29477,15.3223,3.56864,27.5067,27.3753
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",1,512,2,3.18877,5.29321,15.2966,3.55533,27.4622,27.3339
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",1,512,3,3.19894,5.29591,15.3057,3.56454,27.4967,27.3651
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",1,512,4,3.16163,5.29428,14.653,3.50925,26.7494,26.6181
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",1,512,5,3.15494,5.29371,14.6526,3.50515,26.7375,26.6064
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",1,512,6,3.16118,5.29265,14.6513,3.50515,26.7428,26.6103
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",1,512,7,3.15853,5.29457,14.7819,3.50413,26.8709,26.7391
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",1,512,8,3.15267,5.29544,14.654,3.5113,26.7462,26.6134
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",1,512,9,3.16288,5.2909,14.6469,3.5113,26.7436,26.612
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",1,512,10,3.16176,5.29336,14.7132,3.50618,26.806,26.6745
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",1,512,11,3.15091,5.29288,14.7858,3.51232,26.8718,26.7419
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",1,512,12,3.15805,5.29202,14.6943,3.50413,26.78,26.6485
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",1,512,13,3.1536,5.29142,14.7069,3.50003,26.7855,26.6519
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",1,512,14,3.18147,5.304,14.8638,3.51744,26.9971,26.8667
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",1,512,15,3.15702,5.29343,14.6702,3.50618,26.7597,26.6268
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",1,512,16,3.16925,5.29353,14.6233,3.5113,26.7276,26.5973
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",1,512,17,3.15581,5.29537,14.7181,3.51334,26.8138,26.6826
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",1,512,18,3.15539,5.29225,14.629,3.51846,26.7257,26.5951
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",1,512,19,3.1655,5.29155,14.6464,3.5072,26.7427,26.6106
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",1,512,20,3.14739,5.291,14.8237,3.5072,26.9004,26.7693
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",1,512,21,3.14685,5.29066,14.6728,3.49594,26.7374,26.6062
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",1,512,22,3.16,5.29235,14.6304,3.51539,26.7294,26.5982
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",1,512,23,3.16195,5.2956,14.6706,3.50413,26.7635,26.6323
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",1,512,24,3.1623,5.30114,14.75,3.50208,26.8515,26.7156
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",1,512,25,3.15066,5.29224,14.6887,3.51642,26.7806,26.648
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",1,512,26,3.16445,5.29277,14.621,3.50106,26.7158,26.5793
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",1,512,27,3.15507,5.29077,14.6339,3.50925,26.7199,26.589
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",1,512,28,3.16131,5.29613,14.6295,3.51232,26.732,26.5992
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",1,512,29,3.15885,5.29551,14.7461,3.50208,26.8341,26.7026
