dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",2,512,0,3.26099,36.5194,30.8719,7.16902,77.9441,77.8214
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",2,512,1,2.84464,31.1215,30.9245,6.91917,71.8941,71.8099
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",2,512,2,2.84723,30.6797,30.7729,6.92326,71.3072,71.2231
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",2,512,3,2.84454,30.5397,30.7614,6.92634,71.1639,71.0721
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",2,512,4,2.84403,30.6098,31.503,6.92019,71.9599,71.877
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",2,512,5,2.8471,30.6632,32.1538,6.93146,72.6853,72.5956
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",2,512,6,2.84234,30.5454,30.7887,6.92326,71.1843,71.0997
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",2,512,7,2.84128,30.6147,31.471,6.92634,71.9332,71.8534
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",2,512,8,2.8439,32.2315,30.6462,6.92838,72.7361,72.6499
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",2,512,9,2.84419,30.5331,32.4416,6.92224,72.8241,72.7412
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",2,512,10,2.84285,30.5748,31.5668,6.92224,71.9693,71.9067
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",2,512,11,2.84208,30.5921,31.5029,6.92429,71.9473,71.8614
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",2,512,12,2.8441,30.5059,30.9997,6.92429,71.3567,71.2739
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",2,512,13,2.84061,30.642,30.7307,6.91814,71.2102,71.1314
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",2,512,14,2.8631,31.6509,30.6032,6.94272,72.1822,72.0599
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",2,512,15,2.84099,31.3508,30.5301,6.92429,71.7332,71.6462
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",2,512,16,2.84394,30.5521,32.6052,6.92326,73.009,72.9245
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",2,512,17,2.84586,30.5348,31.5549,6.92122,71.9384,71.8568
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",2,512,18,2.8399,30.5365,31.6936,6.91917,72.0745,71.9892
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",2,512,19,2.84355,30.7231,30.736,6.92019,71.3063,71.2228
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",2,512,20,2.84643,32.3045,30.872,6.92224,73.0322,72.9452
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",2,512,21,2.84278,30.5581,31.5654,6.92326,71.9734,71.8895
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",2,512,22,2.84496,31.1672,30.8159,6.92019,71.8302,71.7482
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",2,512,23,2.83824,30.4983,31.7924,6.92736,72.141,72.0564
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",2,512,24,2.84726,31.5827,30.5296,6.92634,71.9727,71.8858
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",2,512,25,2.84054,30.5416,31.6161,6.92429,72.0062,71.9226
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",2,512,26,2.84358,30.4463,31.6781,6.92019,71.9727,71.8882
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",2,512,27,2.84368,30.6339,31.4218,6.92429,71.9082,71.8236
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",2,512,28,2.84154,30.608,30.6911,6.92326,71.1496,71.0639
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",2,512,29,2.84464,31.4754,30.8852,6.92122,72.2117,72.1264
