dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",1,512,0,438.985,10.5461,46.3038,6.04774,502.003,501.883
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",1,512,1,439.449,10.5398,46.1721,5.92589,502.169,502.087
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",1,512,2,439.799,10.5363,46.2065,5.92589,502.55,502.468
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",1,512,3,439.184,10.5371,46.2191,5.93101,501.948,501.872
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",1,512,4,439.783,10.5399,46.162,5.93613,502.508,502.421
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",1,512,5,436.02,10.548,46.1722,5.94944,498.803,498.69
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",1,512,6,439.61,10.5342,46.0467,5.92179,502.192,502.113
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",1,512,7,434.469,10.5361,46.0949,5.92794,497.104,497.028
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",1,512,8,439.709,10.5405,46.2574,5.95046,502.544,502.458
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",1,512,9,439.073,10.5347,46.0675,5.92486,501.677,501.6
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",1,512,10,434.516,10.5369,46.1677,5.93613,497.233,497.157
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",1,512,11,439.25,10.5394,46.1773,5.93613,501.982,501.903
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",1,512,12,439.17,10.5326,46.1693,5.91565,501.865,501.787
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",1,512,13,434.165,10.5372,46.1611,5.94227,496.887,496.806
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",1,512,14,438.949,10.5377,46.093,5.92896,501.595,501.508
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",1,512,15,436.108,10.5354,46.2441,5.92282,498.887,498.81
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",1,512,16,439.252,10.5415,46.1943,5.93203,502,501.92
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",1,512,17,435.609,10.5341,46.1068,5.95354,498.287,498.204
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",1,512,18,434.5,10.5353,45.8025,5.92998,496.845,496.768
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",1,512,19,440.118,10.5376,46.0714,5.93203,502.743,502.659
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",1,512,20,434.713,10.5393,46.1901,5.9136,497.436,497.356
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",1,512,21,439.562,10.5362,46.1781,5.92486,502.279,502.201
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",1,512,22,435.838,10.5388,46.1578,5.92179,498.536,498.457
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",1,512,23,434.2,10.5367,46.0512,5.94022,496.804,496.728
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",1,512,24,440.054,10.5343,46.1796,5.94432,502.798,502.712
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",1,512,25,439.272,10.5365,46.1158,5.94125,501.945,501.865
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",1,512,26,439.791,10.534,46.1084,5.94022,502.452,502.374
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",1,512,27,439.124,10.5332,46.1643,5.93715,501.834,501.759
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",1,512,28,436.087,10.5353,46.0982,5.92077,498.72,498.641
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",1,512,29,438.95,10.5417,46.1796,5.93408,501.681,501.605
