dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",6,512,0,44.7741,396.746,2.893,0.928736,445.192,445.342
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",6,512,1,42.808,255.38,2.8663,0.61952,301.007,301.673
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",6,512,2,43.2517,231.213,2.87827,0.621504,278.091,277.964
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",6,512,3,42.6607,226.427,2.85587,0.62256,272.134,272.566
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",6,512,4,43.2475,225.957,2.86989,0.61952,272.804,272.693
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",6,512,5,42.6882,227.398,2.84975,0.61744,273.59,273.553
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",6,512,6,42.7517,223.154,2.84115,0.620544,269.401,269.368
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",6,512,7,42.6206,228.687,2.84774,0.61744,274.861,274.773
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",6,512,8,42.7049,224.159,2.84295,0.621504,270.34,270.328
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",6,512,9,43.1852,217.015,2.85594,0.617472,263.782,263.673
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",6,512,10,42.6016,221.489,2.84051,0.617472,267.516,267.548
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",6,512,11,42.72,221.096,2.83884,0.614368,267.12,267.269
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",6,512,12,43.2628,228.127,2.86563,0.622592,274.988,274.878
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",6,512,13,42.7484,224.368,2.84252,0.615392,270.495,270.575
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",6,512,14,42.6401,220.388,2.90125,0.63072,266.562,266.56
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",6,512,15,42.9026,220.136,2.92318,0.6256,266.694,266.587
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",6,512,16,42.7346,219.506,2.84333,0.616416,265.766,265.7
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",6,512,17,42.6698,218.928,2.82934,0.616384,265.013,265.044
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",6,512,18,42.847,219.092,2.83874,0.620512,265.469,265.398
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",6,512,19,43.1324,220.524,2.84764,0.616416,267.108,267.12
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",6,512,20,43.1149,227.25,2.83168,0.617408,273.539,273.814
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",6,512,21,42.6816,217.274,2.85295,0.61536,263.363,263.424
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",6,512,22,43.7918,425.611,2.85872,0.625632,472.842,472.887
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",6,512,23,43.183,220.665,2.891,0.619456,267.268,267.359
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",6,512,24,43.1865,219.917,2.87078,0.616384,266.697,266.591
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",6,512,25,43.203,218.516,2.85522,0.619488,265.299,265.194
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",6,512,26,42.7827,220.328,2.83978,0.616416,265.808,266.567
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",6,512,27,43.156,222.142,2.83466,0.613344,268.66,268.746
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",6,512,28,42.7038,218.866,2.84144,0.624608,265.111,265.036
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",6,512,29,42.7522,222.655,2.83726,0.6144,268.203,268.858
