dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,float,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",6,512,0,44.3398,371.487,1.38516,0.712704,419.527,417.925
3,float,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",6,512,1,43.0038,223.569,1.37608,0.35328,269.633,268.302
3,float,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",6,512,2,42.7447,221.767,1.34711,0.364544,267.054,266.223
3,float,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",6,512,3,42.5102,221.518,1.35347,0.366592,266.878,265.748
3,float,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",6,512,4,42.6619,220.061,1.34664,0.36864,265.485,264.439
3,float,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",6,512,5,42.5021,222.17,1.34914,0.368608,267.48,266.39
3,float,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",6,512,6,42.5884,221.761,1.34582,0.364512,266.662,266.06
3,float,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",6,512,7,43.0416,219.343,1.3484,0.360448,265.113,264.094
3,float,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",6,512,8,42.4861,219.048,1.34817,0.359392,264.538,263.242
3,float,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",6,512,9,42.5886,218.78,1.34506,0.36656,264.173,263.08
3,float,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",6,512,10,43.0134,226.293,1.35,0.362464,272.153,271.019
3,float,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",6,512,11,42.5358,218.506,1.34896,0.374784,263.927,262.765
3,float,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",6,512,12,43.069,218.758,1.3453,0.368608,264.383,263.541
3,float,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",6,512,13,42.5404,220.905,1.34671,0.3656,266.262,265.157
3,float,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",6,512,14,42.5716,218.036,1.34995,0.364576,263.608,262.322
3,float,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",6,512,15,43.0475,221.895,1.34341,0.366592,267.56,266.652
3,float,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",6,512,16,42.4655,220.555,1.34456,0.362496,265.875,264.728
3,float,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",6,512,17,42.6379,218.149,1.34615,0.364544,263.492,262.497
3,float,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",6,512,18,42.4288,220.203,1.34411,0.364544,265.462,264.341
3,float,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",6,512,19,43.0637,220.482,1.3713,0.371744,266.129,265.289
3,float,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",6,512,20,43.0664,218.989,1.36089,0.362464,264.579,263.779
3,float,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",6,512,21,43.0669,217.824,1.34802,0.36864,263.659,262.608
3,float,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",6,512,22,43.036,221.218,1.34881,0.360416,266.297,265.963
3,float,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",6,512,23,42.4643,222.624,1.34688,0.364512,267.566,266.799
3,float,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",6,512,24,42.6037,221.924,1.34451,0.370688,266.634,266.243
3,float,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",6,512,25,42.5418,223.002,1.34616,0.368672,267.983,267.258
3,float,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",6,512,26,42.4625,219.514,1.34531,0.362464,264.258,263.684
3,float,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",6,512,27,43.7184,217.947,1.34578,0.367616,263.71,263.379
3,float,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",6,512,28,42.6892,219.101,1.38804,0.368608,264.624,263.547
3,float,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",6,512,29,43.4409,221.101,1.38913,0.364544,267.634,266.296
