dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",4,512,0,126.183,0,4859.05,1.92512,4981.32,4987.16
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",4,512,1,124.979,0,4389.36,1.38752,4510.18,4515.73
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",4,512,2,125.221,0,4598.82,1.3824,4688.64,4725.43
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",4,512,3,125.432,0,4599.98,1.39366,4693.96,4726.81
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",4,512,4,125.191,0,4413.79,1.38752,4535.59,4540.37
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",4,512,5,126.845,0,4419.62,1.37728,4539.46,4547.85
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",4,512,6,125.622,0,4418.27,1.38445,4539.19,4545.28
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",4,512,7,125.395,0,4623.83,1.38854,4702.27,4750.61
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",4,512,8,126.994,0,4425.42,1.37626,4547.48,4553.79
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",4,512,9,126.072,0,4417.31,1.38035,4539.65,4544.76
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",4,512,10,125.165,0,4410.03,1.38547,4532.54,4536.58
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",4,512,11,124.84,0,4399.34,1.3783,4522.11,4525.56
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",4,512,12,125.509,0,4614.59,1.3783,4700.41,4741.48
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",4,512,13,125.475,0,4414.52,1.38035,4537.32,4541.38
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",4,512,14,125.095,0,4619.49,1.38544,4709.75,4745.97
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",4,512,15,127.013,0,4433.27,1.3824,4555.83,4561.67
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",4,512,16,125.628,0,4418.99,1.37626,4542,4545.99
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",4,512,17,124.882,0,4410.48,1.37523,4532.95,4536.74
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",4,512,18,125.598,0,4464.12,1.37523,4585.48,4591.09
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",4,512,19,125.131,0,4640.04,1.37526,4733.76,4766.55
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",4,512,20,125.747,0,4436.07,1.3824,4558.08,4563.2
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",4,512,21,125.359,0,4410.52,1.38854,4529.44,4537.27
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",4,512,22,125.366,0,4412.83,1.37626,4534.12,4539.57
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",4,512,23,124.661,0,4408.66,1.38038,4529.5,4534.7
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",4,512,24,125.597,0,4417.27,1.37626,4539.37,4544.24
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",4,512,25,125.36,0,4408.57,1.3783,4530.64,4535.31
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",4,512,26,125.164,0,4457.35,1.37523,4579.98,4583.89
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",4,512,27,125.991,0,4469.79,1.37728,4592.72,4597.16
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",4,512,28,125.552,0,4428.21,1.3783,4548.45,4555.15
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",4,512,29,125.266,0,4625.68,1.39366,4712.68,4752.34
