dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,float,uniform,CPU,"P | P | P | P | P | P",8,512,0,39.9138,0,1955.28,5.98627,1979,2001.18
3,float,uniform,CPU,"P | P | P | P | P | P",8,512,1,30.3195,0,1076.36,0.945184,1091.6,1107.63
3,float,uniform,CPU,"P | P | P | P | P | P",8,512,2,30.1238,0,1016.12,0.943104,1034.56,1047.19
3,float,uniform,CPU,"P | P | P | P | P | P",8,512,3,29.9977,0,1003.82,0.923648,1030.56,1034.74
3,float,uniform,CPU,"P | P | P | P | P | P",8,512,4,31.0913,0,1000.93,0.967584,1026.8,1032.99
3,float,uniform,CPU,"P | P | P | P | P | P",8,512,5,30.541,0,997.727,0.945088,1026.74,1029.21
3,float,uniform,CPU,"P | P | P | P | P | P",8,512,6,32.0911,0,1010.73,0.951232,1043.61,1043.78
3,float,uniform,CPU,"P | P | P | P | P | P",8,512,7,32.1149,0,986.896,0.934912,1019.87,1019.95
3,float,uniform,CPU,"P | P | P | P | P | P",8,512,8,32.1573,0,993.997,0.923616,1026.96,1027.08
3,float,uniform,CPU,"P | P | P | P | P | P",8,512,9,30.3632,0,986.874,0.94096,1009.37,1018.18
3,float,uniform,CPU,"P | P | P | P | P | P",8,512,10,30.4234,0,991.341,0.933792,1017.97,1022.7
3,float,uniform,CPU,"P | P | P | P | P | P",8,512,11,32.4128,0,985.097,0.945184,1018.18,1018.46
3,float,uniform,CPU,"P | P | P | P | P | P",8,512,12,30.1927,0,982.343,0.941056,1009.46,1013.48
3,float,uniform,CPU,"P | P | P | P | P | P",8,512,13,32.1025,0,979.885,0.927648,1012.7,1012.92
3,float,uniform,CPU,"P | P | P | P | P | P",8,512,14,30.6963,0,993.942,0.938976,1020.45,1025.58
3,float,uniform,CPU,"P | P | P | P | P | P",8,512,15,32.2084,0,989.234,0.933888,1022.12,1022.38
3,float,uniform,CPU,"P | P | P | P | P | P",8,512,16,32.0545,0,995.98,0.942048,1028.9,1028.98
3,float,uniform,CPU,"P | P | P | P | P | P",8,512,17,30.0033,0,992.438,0.948192,1021.86,1023.39
3,float,uniform,CPU,"P | P | P | P | P | P",8,512,18,30.1807,0,999.643,0.930784,1021.85,1030.75
3,float,uniform,CPU,"P | P | P | P | P | P",8,512,19,30.2885,0,985.052,0.9216,1007.59,1016.26
3,float,uniform,CPU,"P | P | P | P | P | P",8,512,20,32.0745,0,1092.15,0.922624,1124.89,1125.14
3,float,uniform,CPU,"P | P | P | P | P | P",8,512,21,30.614,0,983.046,0.928704,1006.96,1014.59
3,float,uniform,CPU,"P | P | P | P | P | P",8,512,22,30.007,0,984.517,0.933856,1012.96,1015.46
3,float,uniform,CPU,"P | P | P | P | P | P",8,512,23,32.0155,0,993.843,0.92768,1026.71,1026.79
3,float,uniform,CPU,"P | P | P | P | P | P",8,512,24,30.044,0,989.291,0.918496,1015.45,1020.25
3,float,uniform,CPU,"P | P | P | P | P | P",8,512,25,32.074,0,991.403,0.92368,1024.33,1024.4
3,float,uniform,CPU,"P | P | P | P | P | P",8,512,26,30.2779,0,980.702,0.964544,1006.49,1011.94
3,float,uniform,CPU,"P | P | P | P | P | P",8,512,27,30.3128,0,991.57,0.933856,1017.99,1022.82
3,float,uniform,CPU,"P | P | P | P | P | P",8,512,28,30.1015,0,995.092,0.93184,1024.12,1026.13
3,float,uniform,CPU,"P | P | P | P | P | P",8,512,29,30.2043,0,999.734,0.940992,1018.34,1030.88
