dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,float,uniform,CPU,"P | P | P | P | N | D",4,512,0,60.958,18.4977,5.35248,2.10534,84.9953,86.9134
3,float,uniform,CPU,"P | P | P | P | N | D",4,512,1,59.4512,9.78121,5.3781,1.90259,74.6611,76.5131
3,float,uniform,CPU,"P | P | P | P | N | D",4,512,2,59.4495,9.82165,5.34978,1.90054,74.8357,76.5215
3,float,uniform,CPU,"P | P | P | P | N | D",4,512,3,59.6875,9.78123,5.34925,1.8944,74.5342,76.7124
3,float,uniform,CPU,"P | P | P | P | N | D",4,512,4,58.9056,9.79095,5.34254,1.90157,74.0245,75.9407
3,float,uniform,CPU,"P | P | P | P | N | D",4,512,5,59.0655,9.81948,5.36967,1.89952,74.2993,76.1542
3,float,uniform,CPU,"P | P | P | P | N | D",4,512,6,59.3945,9.8107,5.30504,1.90566,74.546,76.4159
3,float,uniform,CPU,"P | P | P | P | N | D",4,512,7,59.5816,9.78739,5.37595,1.89747,74.8664,76.6424
3,float,uniform,CPU,"P | P | P | P | N | D",4,512,8,59.4848,9.77027,5.34115,1.89747,74.7148,76.4937
3,float,uniform,CPU,"P | P | P | P | N | D",4,512,9,59.4576,9.77742,5.3798,1.91795,74.7676,76.5328
3,float,uniform,CPU,"P | P | P | P | N | D",4,512,10,59.2806,9.8003,5.34404,1.89747,74.4428,76.3224
3,float,uniform,CPU,"P | P | P | P | N | D",4,512,11,59.1267,9.81215,5.35305,1.92307,74.3135,76.215
3,float,uniform,CPU,"P | P | P | P | N | D",4,512,12,58.7423,10.1788,5.35303,1.90259,75.0519,76.1767
3,float,uniform,CPU,"P | P | P | P | N | D",4,512,13,59.1976,9.96477,5.34713,1.89542,74.9081,76.405
3,float,uniform,CPU,"P | P | P | P | N | D",4,512,14,58.8473,9.80707,5.32622,1.89952,74.0479,75.8801
3,float,uniform,CPU,"P | P | P | P | N | D",4,512,15,59.4519,9.78141,5.33476,1.90157,74.4468,76.4697
3,float,uniform,CPU,"P | P | P | P | N | D",4,512,16,58.8825,9.82028,5.33812,1.91283,74.1193,75.9537
3,float,uniform,CPU,"P | P | P | P | N | D",4,512,17,59.2879,9.78375,5.3675,1.89133,74.8111,76.3305
3,float,uniform,CPU,"P | P | P | P | N | D",4,512,18,59.3543,9.7947,5.33919,1.89747,74.4046,76.3856
3,float,uniform,CPU,"P | P | P | P | N | D",4,512,19,59.1385,9.88524,5.36188,1.90566,74.9792,76.2912
3,float,uniform,CPU,"P | P | P | P | N | D",4,512,20,59.0324,9.98647,5.36896,1.90157,74.9452,76.2894
3,float,uniform,CPU,"P | P | P | P | N | D",4,512,21,59.4592,9.78573,5.31565,1.89747,74.4077,76.4581
3,float,uniform,CPU,"P | P | P | P | N | D",4,512,22,59.1042,10.0439,5.2523,1.90259,74.8654,76.303
3,float,uniform,CPU,"P | P | P | P | N | D",4,512,23,59.4971,9.76709,5.32335,1.88826,74.3609,76.4758
3,float,uniform,CPU,"P | P | P | P | N | D",4,512,24,59.6535,9.76299,5.32555,1.90259,74.8391,76.6446
3,float,uniform,CPU,"P | P | P | P | N | D",4,512,25,59.2145,9.74024,5.32866,1.90259,74.4052,76.186
3,float,uniform,CPU,"P | P | P | P | N | D",4,512,26,58.9641,9.74932,5.31787,1.89747,74.0168,75.9287
3,float,uniform,CPU,"P | P | P | P | N | D",4,512,27,59.3291,9.93748,5.33116,1.90362,74.9934,76.5013
3,float,uniform,CPU,"P | P | P | P | N | D",4,512,28,59.4647,9.73383,5.32104,1.90566,74.4556,76.4252
3,float,uniform,CPU,"P | P | P | P | N | D",4,512,29,59.3206,9.79533,5.25143,1.88621,74.3694,76.2535
