dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",4,512,0,60.9754,19.8803,5.38049,2.1033,86.6999,88.3395
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",4,512,1,59.7259,11.4065,5.38386,1.91386,76.1979,78.4301
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",4,512,2,59.2836,11.4349,5.32376,1.91693,75.9187,77.9591
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",4,512,3,59.1749,11.4324,5.35705,1.91078,76.0762,77.8752
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",4,512,4,59.6712,11.4039,5.29833,1.92307,76.9366,78.2966
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",4,512,5,59.0544,11.4144,5.26642,1.91488,76.414,77.65
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",4,512,6,59.3653,11.3998,5.48903,1.92,76.7531,78.1742
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",4,512,7,58.695,11.4539,5.35248,1.91386,75.6003,77.4153
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",4,512,8,58.9771,11.397,5.39484,1.91795,75.6433,77.6869
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",4,512,9,58.8401,11.4094,5.36144,1.91795,75.6834,77.5289
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",4,512,10,58.9269,11.415,5.29826,1.91795,75.8378,77.5581
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",4,512,11,59.5448,11.3695,5.50713,1.92,76.5187,78.3415
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",4,512,12,59.6202,11.368,5.39705,1.9159,75.7908,78.3011
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",4,512,13,59.1657,11.3952,5.54337,1.91693,76.7422,78.0212
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",4,512,14,59.0222,11.4249,5.36438,1.92205,76.4,77.7336
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",4,512,15,59.5044,11.4109,5.31011,1.91898,76.353,78.1444
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",4,512,16,59.0212,11.3881,5.36353,1.90976,75.914,77.6825
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",4,512,17,59.5482,11.4043,5.42827,1.91898,76.3583,78.2998
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",4,512,18,59.5524,11.3653,5.35559,1.91693,75.888,78.1902
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",4,512,19,59.672,11.3817,5.34098,1.92102,75.9904,78.3157
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",4,512,20,59.1487,11.4153,5.37064,1.92205,75.9402,77.8567
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",4,512,21,59.6111,11.3992,5.34731,1.9159,76.3602,78.2735
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",4,512,22,59.1867,11.3681,5.51409,1.90669,75.8863,77.9756
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",4,512,23,58.9328,11.4206,5.29381,1.9159,76.3874,77.5631
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",4,512,24,59.2111,11.3962,5.36374,1.92,75.8372,77.891
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",4,512,25,58.8839,11.3918,5.5544,1.91693,75.4081,77.7471
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",4,512,26,59.0605,11.3647,5.36436,1.91898,76.6172,77.7085
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",4,512,27,58.9211,11.3845,5.57804,1.9159,75.9488,77.7995
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",4,512,28,59.4459,11.4197,5.37218,1.91898,76.0339,78.1568
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",4,512,29,59.3591,11.4048,5.32282,1.91488,75.6778,78.0017
