dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,double,uniform,CPU,"P | P | P | P | Ns | Ds",2,512,0,230.191,35.6881,16.8896,7.34925,289.298,290.118
3,double,uniform,CPU,"P | P | P | P | Ns | Ds",2,512,1,228.566,30.1117,16.8819,7.1977,280.518,282.758
3,double,uniform,CPU,"P | P | P | P | Ns | Ds",2,512,2,226.529,30.3001,16.6305,7.19053,279.732,280.651
3,double,uniform,CPU,"P | P | P | P | Ns | Ds",2,512,3,227.418,30.1422,16.7295,7.18438,281.57,281.474
3,double,uniform,CPU,"P | P | P | P | Ns | Ds",2,512,4,227.512,30.0276,16.8473,7.1936,281.178,281.581
3,double,uniform,CPU,"P | P | P | P | Ns | Ds",2,512,5,226.157,30.0375,16.8853,7.17619,280.354,280.256
3,double,uniform,CPU,"P | P | P | P | Ns | Ds",2,512,6,226.058,30.9027,16.8303,7.21306,280.947,281.004
3,double,uniform,CPU,"P | P | P | P | Ns | Ds",2,512,7,227.732,30.0822,16.7671,7.17312,279.861,281.754
3,double,uniform,CPU,"P | P | P | P | Ns | Ds",2,512,8,225.283,30.0775,16.7128,7.18541,278.635,279.259
3,double,uniform,CPU,"P | P | P | P | Ns | Ds",2,512,9,225.743,30.1261,16.7022,7.1895,279.228,279.761
3,double,uniform,CPU,"P | P | P | P | Ns | Ds",2,512,10,227.657,30.1437,16.749,7.17312,281.093,281.723
3,double,uniform,CPU,"P | P | P | P | Ns | Ds",2,512,11,226.051,30.0225,16.6938,7.15776,280.023,279.925
3,double,uniform,CPU,"P | P | P | P | Ns | Ds",2,512,12,227.277,30,16.9388,7.168,281.045,281.384
3,double,uniform,CPU,"P | P | P | P | Ns | Ds",2,512,13,226.698,30.3085,16.7247,7.18643,280.428,280.918
3,double,uniform,CPU,"P | P | P | P | Ns | Ds",2,512,14,226.916,30.0552,16.7977,7.1895,279.03,280.958
3,double,uniform,CPU,"P | P | P | P | Ns | Ds",2,512,15,225.878,30.7224,16.8516,7.17619,279.945,280.628
3,double,uniform,CPU,"P | P | P | P | Ns | Ds",2,512,16,227.23,30.0232,16.816,7.20691,280.77,281.276
3,double,uniform,CPU,"P | P | P | P | Ns | Ds",2,512,17,225.949,30.0534,16.8381,7.15366,279.285,279.994
3,double,uniform,CPU,"P | P | P | P | Ns | Ds",2,512,18,227.409,30.1209,16.8675,7.1721,280.901,281.57
3,double,uniform,CPU,"P | P | P | P | Ns | Ds",2,512,19,226.291,30.2154,16.7418,7.18029,280.529,280.428
3,double,uniform,CPU,"P | P | P | P | Ns | Ds",2,512,20,227.014,30.2656,16.7063,7.17414,280.704,281.16
3,double,uniform,CPU,"P | P | P | P | Ns | Ds",2,512,21,227.493,30.1445,16.627,7.22534,280.855,281.49
3,double,uniform,CPU,"P | P | P | P | Ns | Ds",2,512,22,225.742,29.976,16.7573,7.13933,279.524,279.615
3,double,uniform,CPU,"P | P | P | P | Ns | Ds",2,512,23,226.459,30.1028,16.7803,7.17107,279.323,280.513
3,double,uniform,CPU,"P | P | P | P | Ns | Ds",2,512,24,226.267,30.0821,16.8042,7.16288,280.413,280.317
3,double,uniform,CPU,"P | P | P | P | Ns | Ds",2,512,25,227.724,29.9554,16.7304,7.18643,279.46,281.597
3,double,uniform,CPU,"P | P | P | P | Ns | Ds",2,512,26,224.871,30.0723,16.772,7.17414,278.368,278.889
3,double,uniform,CPU,"P | P | P | P | Ns | Ds",2,512,27,224.941,30.1314,16.6393,7.16186,278.334,278.874
3,double,uniform,CPU,"P | P | P | P | Ns | Ds",2,512,28,227.051,30.1888,16.7563,7.18234,280.715,281.178
3,double,uniform,CPU,"P | P | P | P | Ns | Ds",2,512,29,228.885,30.047,16.9246,7.18643,282.291,283.043
