dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,double,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",2,512,0,3.32858,23.6763,24.8337,3.28806,55.2401,55.1267
3,double,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",2,512,1,2.88106,19.3792,22.9376,3.11091,48.2541,48.3087
3,double,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",2,512,2,2.87843,17.7091,22.9186,3.10784,46.6891,46.614
3,double,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",2,512,3,2.87165,18.88,21.7103,3.08736,46.4504,46.5494
3,double,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",2,512,4,2.87162,17.7499,21.7607,3.09453,45.539,45.4768
3,double,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",2,512,5,2.8672,17.7681,21.7085,3.09043,45.4816,45.4341
3,double,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",2,512,6,2.87709,17.8247,21.7033,3.08736,45.564,45.4924
3,double,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",2,512,7,2.88086,17.7788,21.7443,3.08224,45.5332,45.4863
3,double,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",2,512,8,2.86416,17.7194,21.7842,3.08736,45.531,45.4551
3,double,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",2,512,9,2.87414,17.7666,21.7008,3.08941,45.4884,45.4309
3,double,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",2,512,10,2.86742,17.764,21.7469,3.08326,45.5021,45.4616
3,double,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",2,512,11,2.87674,17.7165,21.7875,3.08224,45.5394,45.463
3,double,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",2,512,12,2.86518,17.7463,21.7504,3.08326,45.5199,45.4452
3,double,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",2,512,13,2.87594,17.7529,21.7499,3.08634,45.5394,45.465
3,double,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",2,512,14,2.87322,17.8481,21.7367,3.08838,45.6297,45.5464
3,double,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",2,512,15,2.87027,17.7595,21.7697,3.08122,45.5569,45.4808
3,double,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",2,512,16,2.87651,17.7623,21.7692,3.09658,45.5789,45.5046
3,double,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",2,512,17,2.87165,17.8124,21.7566,3.08122,45.5995,45.5219
3,double,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",2,512,18,2.87971,17.8179,21.7221,3.09043,45.5596,45.5102
3,double,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",2,512,19,2.87312,17.8036,21.7679,3.08736,45.6091,45.5319
3,double,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",2,512,20,2.86976,17.8012,21.7406,3.08429,45.5687,45.4958
3,double,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",2,512,21,2.88147,17.7263,21.7056,3.08736,45.4726,45.4007
3,double,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",2,512,22,2.87859,17.7216,21.7434,3.07917,45.4741,45.4227
3,double,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",2,512,23,2.87328,17.7773,21.7131,3.08326,45.4765,45.447
3,double,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",2,512,24,2.88365,17.8273,21.7629,3.09248,45.6566,45.5663
3,double,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",2,512,25,2.87558,17.7474,21.7259,3.08736,45.4956,45.4363
3,double,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",2,512,26,2.88048,17.7241,21.7267,3.08941,45.4996,45.4207
3,double,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",2,512,27,2.87414,17.7351,21.7805,3.08941,45.5569,45.4791
3,double,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",2,512,28,2.87632,17.7542,21.7355,3.08122,45.521,45.4472
3,double,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",2,512,29,2.86621,17.7383,21.7197,3.08429,45.4334,45.4084
