dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,float,uniform,GPU,"D | D | D | D | D | D",6,512,0,0.579936,0,4149.81,1.2759,4140.07,4151.67
3,float,uniform,GPU,"D | D | D | D | D | D",6,512,1,0.501408,0,2170.63,0.6912,2166.04,2171.83
3,float,uniform,GPU,"D | D | D | D | D | D",6,512,2,0.50784,0,2162.5,0.70656,2159.48,2163.71
3,float,uniform,GPU,"D | D | D | D | D | D",6,512,3,0.497216,0,2160.95,0.695296,2158.29,2162.15
3,float,uniform,GPU,"D | D | D | D | D | D",6,512,4,0.497184,0,2168.88,0.69632,2165.96,2170.07
3,float,uniform,GPU,"D | D | D | D | D | D",6,512,5,0.50976,0,2162.08,0.701408,2162.07,2163.3
3,float,uniform,GPU,"D | D | D | D | D | D",6,512,6,0.503936,0,2339.51,0.702464,2306.17,2340.72
3,float,uniform,GPU,"D | D | D | D | D | D",6,512,7,0.498048,0,2148.5,0.69424,2149.78,2149.69
3,float,uniform,GPU,"D | D | D | D | D | D",6,512,8,0.51344,0,2171.98,0.699392,2166.05,2173.2
3,float,uniform,GPU,"D | D | D | D | D | D",6,512,9,0.5008,0,2178.31,0.693248,2173.54,2179.51
3,float,uniform,GPU,"D | D | D | D | D | D",6,512,10,0.496992,0,2175.47,0.697344,2168.73,2176.66
3,float,uniform,GPU,"D | D | D | D | D | D",6,512,11,0.498784,0,2189.88,0.692224,2187.14,2191.07
3,float,uniform,GPU,"D | D | D | D | D | D",6,512,12,0.513632,0,2331.49,0.70656,2294.73,2332.71
3,float,uniform,GPU,"D | D | D | D | D | D",6,512,13,0.498592,0,2180.48,0.6912,2177.14,2181.67
3,float,uniform,GPU,"D | D | D | D | D | D",6,512,14,0.496608,0,2173.95,0.692224,2169.05,2175.14
3,float,uniform,GPU,"D | D | D | D | D | D",6,512,15,0.50832,0,2162.99,0.704512,2163.73,2164.21
3,float,uniform,GPU,"D | D | D | D | D | D",6,512,16,0.499616,0,2174.35,0.709632,2167.68,2175.56
3,float,uniform,GPU,"D | D | D | D | D | D",6,512,17,0.504384,0,2344.26,0.703488,2309.27,2345.47
3,float,uniform,GPU,"D | D | D | D | D | D",6,512,18,0.504704,0,2341.9,0.69632,2305.62,2343.1
3,float,uniform,GPU,"D | D | D | D | D | D",6,512,19,0.499104,0,2175.89,0.697344,2172.13,2177.08
3,float,uniform,GPU,"D | D | D | D | D | D",6,512,20,0.497856,0,2169.15,0.693248,2162.34,2170.34
3,float,uniform,GPU,"D | D | D | D | D | D",6,512,21,0.516352,0,2174.43,0.702464,2167.39,2175.64
3,float,uniform,GPU,"D | D | D | D | D | D",6,512,22,0.500736,0,2153.97,0.697312,2153.52,2155.16
3,float,uniform,GPU,"D | D | D | D | D | D",6,512,23,0.498016,0,2173.97,0.692224,2169.27,2175.16
3,float,uniform,GPU,"D | D | D | D | D | D",6,512,24,0.499392,0,2156.37,0.69632,2152.58,2157.56
3,float,uniform,GPU,"D | D | D | D | D | D",6,512,25,0.504288,0,2339.88,0.694272,2301.57,2341.07
3,float,uniform,GPU,"D | D | D | D | D | D",6,512,26,0.498752,0,2173.28,0.6912,2170.72,2174.47
3,float,uniform,GPU,"D | D | D | D | D | D",6,512,27,0.498048,0,2169.79,0.703488,2167.62,2170.99
3,float,uniform,GPU,"D | D | D | D | D | D",6,512,28,0.496256,0,2175.27,0.690176,2172.08,2176.45
3,float,uniform,GPU,"D | D | D | D | D | D",6,512,29,0.497248,0,2157.32,0.694272,2155.66,2158.51
