dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,float,uniform,CPU,"P | P | P | P | P | P",6,512,0,42.9233,0,2452.3,2.33456,2497.68,2497.56
3,float,uniform,CPU,"P | P | P | P | P | P",6,512,1,42.9039,0,1683.62,1.25395,1727.9,1727.78
3,float,uniform,CPU,"P | P | P | P | P | P",6,512,2,42.8969,0,1647.11,1.2465,1690.57,1691.26
3,float,uniform,CPU,"P | P | P | P | P | P",6,512,3,42.9764,0,1646.79,1.24765,1691.13,1691.01
3,float,uniform,CPU,"P | P | P | P | P | P",6,512,4,42.1261,0,1636.05,1.25866,1679.53,1679.44
3,float,uniform,CPU,"P | P | P | P | P | P",6,512,5,42.8912,0,1636.63,1.2447,1679.85,1680.77
3,float,uniform,CPU,"P | P | P | P | P | P",6,512,6,42.9606,0,1648.25,1.2513,1692.58,1692.46
3,float,uniform,CPU,"P | P | P | P | P | P",6,512,7,41.9792,0,1640.5,1.26013,1683.88,1683.74
3,float,uniform,CPU,"P | P | P | P | P | P",6,512,8,41.8991,0,1638.95,1.25974,1682.14,1682.11
3,float,uniform,CPU,"P | P | P | P | P | P",6,512,9,42.7988,0,1629.49,1.25027,1672.94,1673.53
3,float,uniform,CPU,"P | P | P | P | P | P",6,512,10,42.435,0,1634.8,1.24506,1678.59,1678.48
3,float,uniform,CPU,"P | P | P | P | P | P",6,512,11,42.3934,0,1644.51,1.27677,1688.23,1688.18
3,float,uniform,CPU,"P | P | P | P | P | P",6,512,12,44.0921,0,1646.31,1.30982,1691.91,1691.71
3,float,uniform,CPU,"P | P | P | P | P | P",6,512,13,42.486,0,1643.67,1.24461,1687.52,1687.4
3,float,uniform,CPU,"P | P | P | P | P | P",6,512,14,42.4949,0,1635.18,1.24128,1679.04,1678.92
3,float,uniform,CPU,"P | P | P | P | P | P",6,512,15,41.9788,0,1620.23,1.26922,1663.61,1663.48
3,float,uniform,CPU,"P | P | P | P | P | P",6,512,16,42.9125,0,1627.35,1.27082,1670.93,1671.53
3,float,uniform,CPU,"P | P | P | P | P | P",6,512,17,42.0376,0,1659.51,1.25539,1702.9,1702.81
3,float,uniform,CPU,"P | P | P | P | P | P",6,512,18,41.9164,0,1621.76,1.25542,1664.98,1664.93
3,float,uniform,CPU,"P | P | P | P | P | P",6,512,19,41.9138,0,1632.15,1.26346,1675.38,1675.32
3,float,uniform,CPU,"P | P | P | P | P | P",6,512,20,42.1004,0,1622.5,1.26125,1665.82,1665.86
3,float,uniform,CPU,"P | P | P | P | P | P",6,512,21,41.9443,0,1631.2,1.25581,1674.52,1674.4
3,float,uniform,CPU,"P | P | P | P | P | P",6,512,22,42.146,0,1627.38,1.26355,1670.87,1670.79
3,float,uniform,CPU,"P | P | P | P | P | P",6,512,23,41.9231,0,1653.62,1.2448,1696.91,1696.79
3,float,uniform,CPU,"P | P | P | P | P | P",6,512,24,41.8952,0,1621.2,1.26109,1664.43,1664.35
3,float,uniform,CPU,"P | P | P | P | P | P",6,512,25,42.0865,0,1638.53,1.24538,1681.98,1681.86
3,float,uniform,CPU,"P | P | P | P | P | P",6,512,26,42.0873,0,1626.48,1.24726,1669.79,1669.81
3,float,uniform,CPU,"P | P | P | P | P | P",6,512,27,42.4753,0,1619.99,1.24925,1663.84,1663.72
3,float,uniform,CPU,"P | P | P | P | P | P",6,512,28,41.9888,0,1619.36,1.25568,1662.72,1662.61
3,float,uniform,CPU,"P | P | P | P | P | P",6,512,29,42.059,0,1625.33,1.26566,1668.7,1668.66
