dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,float,uniform,CPU,"P | P | P | P | D | N",4,512,0,62.3631,1052.24,5.03485,2.78941,1119.89,1122.43
3,float,uniform,CPU,"P | P | P | P | D | N",4,512,1,62.3042,1041.76,4.97783,1.78787,1109.85,1110.83
3,float,uniform,CPU,"P | P | P | P | D | N",4,512,2,62.6262,1035.35,4.95607,1.79088,1103.62,1104.72
3,float,uniform,CPU,"P | P | P | P | D | N",4,512,3,62.5635,1011.1,4.96232,1.78275,1078.87,1080.4
3,float,uniform,CPU,"P | P | P | P | D | N",4,512,4,63.3082,1006.02,5.02945,1.8145,1074.49,1076.17
3,float,uniform,CPU,"P | P | P | P | D | N",4,512,5,62.7313,1021.18,4.97828,1.78784,1087.64,1090.67
3,float,uniform,CPU,"P | P | P | P | D | N",4,512,6,62.5798,994.115,4.97212,1.78374,1063.6,1063.45
3,float,uniform,CPU,"P | P | P | P | D | N",4,512,7,62.8058,1054.75,4.97294,1.78886,1122.79,1124.32
3,float,uniform,CPU,"P | P | P | P | D | N",4,512,8,62.7172,1010.17,4.96584,1.78275,1078.59,1079.63
3,float,uniform,CPU,"P | P | P | P | D | N",4,512,9,62.5099,1011.92,4.97639,1.78378,1080.76,1081.19
3,float,uniform,CPU,"P | P | P | P | D | N",4,512,10,62.4227,1041.47,4.96489,1.78576,1108.41,1110.65
3,float,uniform,CPU,"P | P | P | P | D | N",4,512,11,62.6069,1012.12,5.04946,1.8145,1079.7,1081.59
3,float,uniform,CPU,"P | P | P | P | D | N",4,512,12,62.4006,1012.01,4.97214,1.78787,1080.87,1081.17
3,float,uniform,CPU,"P | P | P | P | D | N",4,512,13,62.5143,1008.04,4.98164,1.78784,1077.48,1077.33
3,float,uniform,CPU,"P | P | P | P | D | N",4,512,14,62.7745,1072.56,4.98352,1.78886,1140.67,1142.1
3,float,uniform,CPU,"P | P | P | P | D | N",4,512,15,62.8233,1048.96,4.98054,1.78272,1116.52,1118.54
3,float,uniform,CPU,"P | P | P | P | D | N",4,512,16,62.3481,1040.89,4.97497,1.78682,1108.87,1110
3,float,uniform,CPU,"P | P | P | P | D | N",4,512,17,62.5866,1088.2,4.97083,1.79194,1155.76,1157.55
3,float,uniform,CPU,"P | P | P | P | D | N",4,512,18,63.6308,1046.88,4.97012,1.78477,1114.81,1117.26
3,float,uniform,CPU,"P | P | P | P | D | N",4,512,19,62.2401,1049.84,4.96372,1.7889,1117.5,1118.83
3,float,uniform,CPU,"P | P | P | P | D | N",4,512,20,62.4503,1029.97,4.96451,1.78477,1098.11,1099.17
3,float,uniform,CPU,"P | P | P | P | D | N",4,512,21,62.6002,1013.23,4.97944,1.79091,1080.15,1082.6
3,float,uniform,CPU,"P | P | P | P | D | N",4,512,22,62.2686,994.991,5.04455,1.80534,1064.3,1064.11
3,float,uniform,CPU,"P | P | P | P | D | N",4,512,23,62.3968,1022.12,4.97575,1.78586,1090.94,1091.28
3,float,uniform,CPU,"P | P | P | P | D | N",4,512,24,62.6024,1069.13,4.96616,1.78682,1108.21,1138.48
3,float,uniform,CPU,"P | P | P | P | D | N",4,512,25,62.5271,1070.96,4.96984,1.78688,1122.72,1140.25
3,float,uniform,CPU,"P | P | P | P | D | N",4,512,26,62.4327,1034.06,4.96515,1.7889,1091.59,1103.25
3,float,uniform,CPU,"P | P | P | P | D | N",4,512,27,62.8159,1069.23,4.96172,1.78474,1136.68,1138.8
3,float,uniform,CPU,"P | P | P | P | D | N",4,512,28,62.6764,1025.01,4.9654,1.7848,1092.59,1094.44
3,float,uniform,CPU,"P | P | P | P | D | N",4,512,29,62.474,1020.09,4.95959,1.78685,1087.67,1089.31
