dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,float,uniform,CPU,"P | P | P | P | Ns | Ns",2,512,0,113.957,2031.75,13.0306,4.26291,2162.44,2163
3,float,uniform,CPU,"P | P | P | P | Ns | Ns",2,512,1,113.519,2038.36,12.8924,3.80518,2168.68,2168.58
3,float,uniform,CPU,"P | P | P | P | Ns | Ns",2,512,2,113.26,2039.7,12.9795,3.82771,2169.88,2169.76
3,float,uniform,CPU,"P | P | P | P | Ns | Ns",2,512,3,114.615,2049.8,12.9993,3.8144,2180.93,2181.22
3,float,uniform,CPU,"P | P | P | P | Ns | Ns",2,512,4,113.123,2046.12,12.7896,3.82054,2175.61,2175.86
3,float,uniform,CPU,"P | P | P | P | Ns | Ns",2,512,5,113.606,2039.26,12.9611,3.80621,2168.71,2169.63
3,float,uniform,CPU,"P | P | P | P | Ns | Ns",2,512,6,113.26,2028.89,12.9265,3.82976,2158.76,2158.91
3,float,uniform,CPU,"P | P | P | P | Ns | Ns",2,512,7,112.376,2028.68,12.8327,3.80211,2157.79,2157.69
3,float,uniform,CPU,"P | P | P | P | Ns | Ns",2,512,8,113.371,2031.36,12.8763,3.80723,2160.98,2161.42
3,float,uniform,CPU,"P | P | P | P | Ns | Ns",2,512,9,113.636,2028.01,12.9506,3.82157,2158.39,2158.42
3,float,uniform,CPU,"P | P | P | P | Ns | Ns",2,512,10,112.966,2029.07,12.9819,3.80518,2158.94,2158.82
3,float,uniform,CPU,"P | P | P | P | Ns | Ns",2,512,11,113.006,2036.31,13.0328,3.81952,2166.21,2166.17
3,float,uniform,CPU,"P | P | P | P | Ns | Ns",2,512,12,112.607,2033.62,12.987,3.80928,2163.13,2163.03
3,float,uniform,CPU,"P | P | P | P | Ns | Ns",2,512,13,112.716,2036.66,12.9188,3.81235,2165.66,2166.1
3,float,uniform,CPU,"P | P | P | P | Ns | Ns",2,512,14,112.913,2028.99,12.8291,3.7929,2158.63,2158.52
3,float,uniform,CPU,"P | P | P | P | Ns | Ns",2,512,15,112.632,2023.11,12.789,3.79904,2152.43,2152.33
3,float,uniform,CPU,"P | P | P | P | Ns | Ns",2,512,16,113.544,2023.74,12.8289,3.80518,2154.02,2153.92
3,float,uniform,CPU,"P | P | P | P | Ns | Ns",2,512,17,114.483,2028.08,12.8291,3.79494,2159.3,2159.19
3,float,uniform,CPU,"P | P | P | P | Ns | Ns",2,512,18,113.779,2028.99,12.8835,3.80928,2159.57,2159.47
3,float,uniform,CPU,"P | P | P | P | Ns | Ns",2,512,19,113.195,2027.94,12.9495,3.8185,2158.01,2157.9
3,float,uniform,CPU,"P | P | P | P | Ns | Ns",2,512,20,112.181,2030.63,12.9713,3.80518,2159.52,2159.59
3,float,uniform,CPU,"P | P | P | P | Ns | Ns",2,512,21,113.581,2038.6,12.8941,3.80211,2168.89,2168.87
3,float,uniform,CPU,"P | P | P | P | Ns | Ns",2,512,22,113.643,2039.38,12.7622,3.81341,2168.75,2169.6
3,float,uniform,CPU,"P | P | P | P | Ns | Ns",2,512,23,113.59,2035.45,12.9487,3.80416,2165.9,2165.8
3,float,uniform,CPU,"P | P | P | P | Ns | Ns",2,512,24,112.68,2031.9,12.9745,3.82259,2161.4,2161.38
3,float,uniform,CPU,"P | P | P | P | Ns | Ns",2,512,25,112.442,2031.8,12.9422,3.79699,2160.64,2160.98
3,float,uniform,CPU,"P | P | P | P | Ns | Ns",2,512,26,112.719,2027.97,12.9491,3.81235,2157.56,2157.45
3,float,uniform,CPU,"P | P | P | P | Ns | Ns",2,512,27,112.507,2035.06,12.9936,3.81133,2164.48,2164.37
3,float,uniform,CPU,"P | P | P | P | Ns | Ns",2,512,28,114.006,1993.17,12.3761,3.80211,2123.04,2123.35
3,float,uniform,CPU,"P | P | P | P | Ns | Ns",2,512,29,112.613,1992.69,12.3937,3.7847,2120.7,2121.48
