dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,float,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",1,512,0,3.36784,7.92453,13.1565,7.10246,45.3407,31.5514
3,float,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",1,512,1,2.97171,7.91392,13.2921,6.53926,44.2901,30.717
3,float,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",1,512,2,2.9792,7.91156,13.3639,6.63757,44.5933,30.8923
3,float,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",1,512,3,2.97466,7.91125,13.1644,6.49114,44.116,30.5415
3,float,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",1,512,4,2.97402,7.91021,13.5805,6.51059,44.51,30.9753
3,float,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",1,512,5,2.9791,7.92096,13.4153,6.55258,44.4671,30.8679
3,float,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",1,512,6,2.97418,7.90906,13.449,6.67341,44.3715,31.0056
3,float,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",1,512,7,2.96848,7.91175,13.2337,6.49011,44.2068,30.604
3,float,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",1,512,8,2.98371,7.9146,13.4435,6.45632,44.4306,30.7981
3,float,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",1,512,9,2.96125,7.91036,13.4235,6.52083,44.4322,30.8159
3,float,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",1,512,10,2.97213,7.9109,13.4512,6.54848,44.544,30.8827
3,float,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",1,512,11,2.97216,7.91415,13.334,6.6048,44.2689,30.8251
3,float,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",1,512,12,2.97488,7.91005,13.4721,6.57715,44.5219,30.9342
3,float,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",1,512,13,2.97328,7.91673,13.4758,6.61709,44.5528,30.9829
3,float,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",1,512,14,2.96822,7.91315,13.3154,6.8864,44.7643,31.0832
3,float,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",1,512,15,2.97312,7.90722,13.4489,6.56486,44.5838,30.8941
3,float,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",1,512,16,2.97002,7.91455,13.4474,6.5833,44.5599,30.9153
3,float,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",1,512,17,2.98115,7.91451,13.3411,6.59661,44.4567,30.8334
3,float,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",1,512,18,2.97565,7.91126,13.3909,6.63654,44.3981,30.9143
3,float,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",1,512,19,2.97562,7.91321,12.9995,6.94784,44.4376,30.8362
3,float,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",1,512,20,2.97427,7.91582,13.2562,6.53517,44.2785,30.6815
3,float,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",1,512,21,2.97411,7.9091,13.4605,6.51366,44.4786,30.8574
3,float,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",1,512,22,2.97117,7.91476,13.4031,6.59251,44.4585,30.8816
3,float,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",1,512,23,2.96547,7.91133,13.1327,6.53107,44.1712,30.5406
3,float,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",1,512,24,2.9577,7.91116,13.5049,6.48704,44.3624,30.8608
3,float,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",1,512,25,2.96592,7.90943,13.4551,6.64781,44.7792,30.9783
3,float,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",1,512,26,2.96758,7.91417,13.0359,6.60582,44.1054,30.5234
3,float,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",1,512,27,2.97686,7.91052,13.3947,6.50957,44.2319,30.7917
3,float,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",1,512,28,2.96688,7.91629,13.1388,6.62733,44.1396,30.6493
3,float,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",1,512,29,2.96995,7.91089,13.4242,6.57818,44.5151,30.8833
