dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",4,512,0,60.0884,20.8087,4.14981,1.08237,84.862,86.1293
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",4,512,1,59.1099,11.4114,4.13317,0.95232,74.4905,75.6067
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",4,512,2,59.4243,11.4128,4.10202,0.955392,73.6322,75.8945
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",4,512,3,59.8127,11.4106,4.10838,0.955392,74.4251,76.2871
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",4,512,4,58.7889,11.4312,4.10334,0.950272,74.003,75.2737
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",4,512,5,59.1974,11.4017,4.10286,0.95232,73.5558,75.6543
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",4,512,6,59.158,11.4585,4.10874,0.950272,74.0965,75.6756
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",4,512,7,59.3833,11.4356,4.10673,0.955392,74.2106,75.8811
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",4,512,8,58.9591,11.4053,4.10712,0.950272,73.3738,75.4218
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",4,512,9,59.1735,11.3728,4.10135,0.950272,73.9213,75.598
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",4,512,10,59.0018,11.423,4.10451,0.953344,73.602,75.4827
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",4,512,11,59.1032,11.3919,4.1049,0.955392,73.7025,75.5553
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",4,512,12,59.3997,11.4078,4.1024,0.955392,73.9093,75.8653
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",4,512,13,59.4776,11.3926,4.10108,0.954368,73.9049,75.9257
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",4,512,14,58.985,11.4118,4.11388,0.955392,74.1557,75.4661
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",4,512,15,59.4155,11.3757,4.09518,0.9472,74.1374,75.8335
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",4,512,16,59.0332,11.5509,4.10044,0.96256,73.6985,75.647
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",4,512,17,59.2103,11.4026,4.10099,0.9472,74.1246,75.6611
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",4,512,18,59.4226,11.3897,4.09946,0.948224,73.4849,75.8599
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",4,512,19,58.9573,11.3892,4.10255,0.951296,73.9379,75.4004
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",4,512,20,58.8939,11.3911,4.10297,0.9472,73.3104,75.3352
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",4,512,21,59.2214,11.3987,4.09948,0.954368,73.9802,75.6739
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",4,512,22,59.3536,11.3776,4.10429,0.95232,73.1632,75.7879
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",4,512,23,59.481,11.4197,4.1027,0.950272,74.1309,75.9536
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",4,512,24,58.9648,11.3655,4.0999,0.953344,73.8886,75.3836
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",4,512,25,59.5234,11.3771,4.10343,0.953344,73.6076,75.9573
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",4,512,26,59.226,11.3641,4.10135,0.954368,73.6683,75.6458
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",4,512,27,59.3154,11.3953,4.10624,0.951296,73.3549,75.7682
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",4,512,28,58.8076,11.3892,4.10432,0.954368,73.2669,75.2555
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",4,512,29,59.6716,11.3716,4.10461,0.949248,73.891,76.097
