dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",6,512,0,1.24099,376.415,2.88167,1.05878,381.568,381.596
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",6,512,1,0.613952,225.194,2.86406,0.618432,228.623,229.29
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",6,512,2,0.61072,222.841,2.83214,0.614368,226.819,226.899
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",6,512,3,0.60144,220.485,2.77782,0.705536,223.852,224.57
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",6,512,4,0.615552,224.45,2.83376,0.616416,228.395,228.515
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",6,512,5,0.612832,219.558,2.83179,0.61232,223.492,223.615
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",6,512,6,0.614592,222.99,2.83454,0.617408,226.39,227.056
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",6,512,7,0.616064,222.165,2.83705,0.627712,226.123,226.246
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",6,512,8,0.611136,226.017,2.83568,0.616384,229.965,230.08
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",6,512,9,0.61664,219.891,2.82843,0.615392,223.834,223.952
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",6,512,10,0.607584,224.298,2.82749,0.615392,228.285,228.349
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",6,512,11,0.618016,227.314,2.83133,0.611264,230.701,231.374
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",6,512,12,0.610208,227.153,2.83227,0.61744,231.095,231.213
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",6,512,13,0.612224,227.067,2.83128,0.613344,231.062,231.124
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",6,512,14,0.614496,227.59,2.8378,0.61744,231.543,231.66
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",6,512,15,0.612224,229.359,2.83162,0.614336,233.385,233.417
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",6,512,16,0.646976,220.855,2.90928,0.63584,224.967,225.047
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",6,512,17,0.619552,219.92,2.83891,0.615392,223.877,223.994
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",6,512,18,0.613824,221.349,2.82342,0.614432,225.276,225.4
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",6,512,19,0.615808,228.054,2.83875,0.622656,231.467,232.131
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",6,512,20,0.614208,225.319,2.837,0.61024,228.712,229.381
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",6,512,21,0.619584,220.89,2.82996,0.613344,224.833,224.953
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",6,512,22,0.601664,227.459,2.78809,0.70144,230.858,231.55
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",6,512,23,0.619168,220.245,2.84067,0.621536,224.212,224.326
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",6,512,24,0.616224,221.519,2.85881,0.626656,224.89,225.62
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",6,512,25,0.617184,220.002,2.8889,0.622528,224.021,224.131
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",6,512,26,0.605824,220.239,2.83168,0.61232,224.174,224.289
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",6,512,27,0.621024,222.124,2.83501,0.617408,226.073,226.197
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",6,512,28,0.61568,219.945,2.8359,0.618432,223.908,224.015
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",6,512,29,0.61408,218.839,2.84643,0.61232,222.801,222.912
