dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,float,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",4,512,0,1.25632,19.1674,1.9788,0.663552,25.6821,23.0661
3,float,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",4,512,1,0.772704,8.90965,1.9704,0.564224,14.7154,12.217
3,float,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",4,512,2,0.77296,8.92964,1.93836,0.564224,14.7046,12.2052
3,float,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",4,512,3,0.776768,8.89108,1.94887,0.562176,14.6984,12.1789
3,float,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",4,512,4,0.774912,8.91469,1.95283,0.556032,14.6991,12.1985
3,float,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",4,512,5,0.771264,8.97293,1.94309,0.55808,14.7689,12.2454
3,float,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",4,512,6,0.780864,8.83862,1.98981,0.574464,14.6924,12.1838
3,float,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",4,512,7,0.779392,9.03254,1.94308,0.567296,14.7855,12.3223
3,float,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",4,512,8,0.776736,8.91646,1.95236,0.567296,14.6624,12.2129
3,float,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",4,512,9,0.778304,9.04517,1.9529,0.560128,14.7483,12.3365
3,float,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",4,512,10,0.776864,8.95685,1.94548,0.569344,14.7026,12.2485
3,float,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",4,512,11,0.775104,8.92279,1.94302,0.566272,14.6913,12.2072
3,float,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",4,512,12,0.775168,8.92219,1.94224,0.559104,14.7694,12.1987
3,float,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",4,512,13,0.777536,8.96276,1.94021,0.569344,14.6927,12.2499
3,float,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",4,512,14,0.775808,8.96934,1.93889,0.560128,14.6929,12.2442
3,float,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",4,512,15,0.777696,8.93019,1.94661,0.561152,14.7426,12.2157
3,float,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",4,512,16,0.777568,8.89482,1.94014,0.5632,14.7133,12.1757
3,float,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",4,512,17,0.77712,8.97492,1.93708,0.560128,14.7229,12.2492
3,float,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",4,512,18,0.781056,9.03005,1.93986,0.555008,14.7763,12.306
3,float,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",4,512,19,0.775072,8.95393,1.93705,0.55808,14.7298,12.2241
3,float,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",4,512,20,0.77856,8.83924,1.98024,0.570368,14.6693,12.1684
3,float,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",4,512,21,0.781568,8.99477,1.93596,0.565248,14.6825,12.2776
3,float,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",4,512,22,0.774656,8.95795,1.95422,0.561152,14.6724,12.248
3,float,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",4,512,23,0.778688,9.06616,1.94201,0.56832,14.8096,12.3552
3,float,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",4,512,24,0.769888,8.96355,1.93873,0.565248,14.7325,12.2374
3,float,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",4,512,25,0.776704,8.90479,1.93607,0.564224,14.7432,12.1818
3,float,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",4,512,26,0.775808,8.93283,1.94759,0.564224,14.5948,12.2204
3,float,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",4,512,27,0.773856,8.94945,1.9397,0.562176,14.758,12.2252
3,float,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",4,512,28,0.778656,8.94545,1.94479,0.56832,14.6812,12.2372
3,float,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",4,512,29,0.776096,8.94438,1.94407,0.567296,14.7292,12.2318
