dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,double,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",4,512,0,118.501,24.6551,11.5791,3.63213,154.176,158.367
3,double,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",4,512,1,117.136,16.9805,11.577,3.46419,145.834,149.158
3,double,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",4,512,2,116.985,16.9135,11.5338,3.46112,145.344,148.893
3,double,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",4,512,3,117.055,16.999,11.4914,3.4601,146.033,149.005
3,double,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",4,512,4,116.191,16.9373,11.5121,3.4601,144.087,148.1
3,double,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",4,512,5,116.493,16.9098,11.5865,3.4601,144.141,148.45
3,double,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",4,512,6,116.431,16.9477,11.466,3.4601,143.787,148.305
3,double,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",4,512,7,116.884,16.9345,11.5198,3.456,145.469,148.794
3,double,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",4,512,8,116.412,17.0048,11.58,3.46112,144.683,148.458
3,double,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",4,512,9,117.082,16.8723,11.6351,3.46214,145.383,149.052
3,double,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",4,512,10,116.726,16.9152,11.5386,3.45702,144.059,148.637
3,double,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",4,512,11,117.142,16.8384,11.5762,3.46214,144.005,149.019
3,double,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",4,512,12,116.792,16.9078,11.5217,3.45805,144.084,148.679
3,double,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",4,512,13,116.817,16.917,11.4969,3.45805,144.043,148.689
3,double,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",4,512,14,117.065,16.9889,11.5605,3.46214,145.014,149.077
3,double,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",4,512,15,116.789,16.9815,11.499,3.46112,144.546,148.731
3,double,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",4,512,16,116.891,16.9124,11.5169,3.45907,144.467,148.779
3,double,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",4,512,17,116.941,16.9188,11.5098,3.46317,145.569,148.832
3,double,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",4,512,18,116.346,16.982,11.5618,3.45907,145.306,148.349
3,double,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",4,512,19,116.708,16.9214,11.5527,3.46624,144.911,148.648
3,double,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",4,512,20,116.618,16.9375,11.4739,3.46214,144.129,148.491
3,double,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",4,512,21,116.184,16.9805,11.635,3.45907,145.449,148.259
3,double,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",4,512,22,115.973,16.9651,11.542,3.4601,144.711,147.94
3,double,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",4,512,23,117.036,16.9226,11.5175,3.46214,145.917,148.938
3,double,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",4,512,24,115.846,16.9191,11.594,3.45805,145.58,147.818
3,double,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",4,512,25,115.514,16.9867,11.5453,3.46317,145.671,147.509
3,double,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",4,512,26,117.194,16.9048,11.5249,3.45907,145.739,149.083
3,double,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",4,512,27,117.223,16.9045,11.4985,3.45907,144.61,149.086
3,double,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",4,512,28,116.751,16.8407,11.5874,3.46214,144.699,148.641
3,double,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",4,512,29,116.672,16.9516,11.6113,3.45702,144.621,148.692
