dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,double,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",2,512,0,3.3064,36.8485,25.3855,7.41376,73.0806,72.9542
3,double,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",2,512,1,2.87008,30.8869,25.425,7.21818,66.4861,66.4001
3,double,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",2,512,2,2.86141,30.8879,25.664,7.1721,66.6711,66.5854
3,double,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",2,512,3,2.86854,30.8924,25.4591,7.20589,66.5107,66.4259
3,double,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",2,512,4,2.868,31.0007,25.4514,7.18746,66.587,66.5076
3,double,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",2,512,5,2.87021,30.923,25.499,7.20077,66.5835,66.493
3,double,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",2,512,6,2.87782,30.8771,25.5258,7.1721,66.5374,66.4528
3,double,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",2,512,7,2.87533,30.9531,25.4976,7.1977,66.6082,66.5237
3,double,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",2,512,8,2.87712,30.975,25.5235,7.18643,66.6511,66.5621
3,double,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",2,512,9,2.8743,30.9658,25.3434,7.2233,66.4816,66.4069
3,double,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",2,512,10,2.87309,31.0344,25.3355,7.17517,66.5033,66.4182
3,double,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",2,512,11,2.87536,30.91,25.5174,7.18234,66.56,66.4851
3,double,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",2,512,12,2.87072,30.8885,25.5282,7.17926,66.5557,66.4667
3,double,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",2,512,13,2.86931,30.9421,25.4507,7.18746,66.5345,66.4496
3,double,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",2,512,14,2.86784,30.8944,25.5582,7.21101,66.6223,66.5315
3,double,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",2,512,15,2.88144,30.9746,25.5601,7.19565,66.6432,66.6118
3,double,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",2,512,16,2.87376,30.9959,25.5645,7.19667,66.7084,66.6308
3,double,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",2,512,17,2.86342,30.8922,25.5913,7.20179,66.633,66.5488
3,double,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",2,512,18,2.87466,30.9331,25.4922,7.19565,66.5774,66.4956
3,double,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",2,512,19,2.88256,30.8786,25.5599,7.18746,66.6035,66.5085
3,double,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",2,512,20,2.86448,30.9297,25.5717,7.18848,66.6275,66.5544
3,double,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",2,512,21,2.87261,30.8752,25.516,7.16698,66.5147,66.4308
3,double,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",2,512,22,2.86211,31.0691,25.3138,7.20384,66.5323,66.4489
3,double,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",2,512,23,2.87923,31.036,25.3337,7.20691,66.5429,66.4558
3,double,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",2,512,24,2.87053,30.9283,25.5861,7.20179,66.6693,66.5867
3,double,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",2,512,25,2.87869,31.0245,25.5241,7.19872,66.7058,66.626
3,double,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",2,512,26,2.8689,30.8827,25.5511,7.21408,66.6042,66.5167
3,double,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",2,512,27,2.87357,30.9047,25.5841,7.19258,66.6355,66.5549
3,double,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",2,512,28,2.86966,30.8974,25.4281,7.17414,66.4513,66.3694
3,double,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",2,512,29,2.86826,31.0146,25.4352,7.17619,66.5784,66.4943
