dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,double,uniform,CPU,"P | P | P | P | Ns | Ns",8,512,0,61.1798,1213.9,4.92144,2.11146,1269.13,1282.11
3,double,uniform,CPU,"P | P | P | P | Ns | Ns",8,512,1,59.5861,957.315,4.81569,1.68544,1010.62,1023.4
3,double,uniform,CPU,"P | P | P | P | Ns | Ns",8,512,2,60.9492,966.76,4.82303,1.69469,1020.96,1034.23
3,double,uniform,CPU,"P | P | P | P | Ns | Ns",8,512,3,59.9745,932.608,4.88983,1.70694,989.039,999.18
3,double,uniform,CPU,"P | P | P | P | Ns | Ns",8,512,4,59.8852,943.948,4.83482,1.6967,1003.75,1010.36
3,double,uniform,CPU,"P | P | P | P | Ns | Ns",8,512,5,60.1674,934.847,4.83451,1.69571,998.586,1001.54
3,double,uniform,CPU,"P | P | P | P | Ns | Ns",8,512,6,60.615,948.562,4.80742,1.68141,1001.08,1015.67
3,double,uniform,CPU,"P | P | P | P | Ns | Ns",8,512,7,64.1806,977.184,4.79773,1.68746,1043.32,1047.85
3,double,uniform,CPU,"P | P | P | P | Ns | Ns",8,512,8,63.9511,952.456,4.81765,1.68646,1023.03,1022.91
3,double,uniform,CPU,"P | P | P | P | Ns | Ns",8,512,9,60.112,942.129,4.80355,1.6855,996.282,1008.73
3,double,uniform,CPU,"P | P | P | P | Ns | Ns",8,512,10,63.5377,946.324,4.81071,1.68957,1016.49,1016.36
3,double,uniform,CPU,"P | P | P | P | Ns | Ns",8,512,11,64.1975,940.809,4.79811,1.6855,1010.66,1011.49
3,double,uniform,CPU,"P | P | P | P | Ns | Ns",8,512,12,64.4568,936.248,4.90992,1.71107,1007.47,1007.33
3,double,uniform,CPU,"P | P | P | P | Ns | Ns",8,512,13,60.0908,971.423,4.81097,1.6936,1037.08,1038.02
3,double,uniform,CPU,"P | P | P | P | Ns | Ns",8,512,14,60.259,962.573,4.81582,1.6967,1014.91,1029.34
3,double,uniform,CPU,"P | P | P | P | Ns | Ns",8,512,15,59.8087,952.385,4.79579,1.68141,1013.03,1018.67
3,double,uniform,CPU,"P | P | P | P | Ns | Ns",8,512,16,63.4525,938.016,4.8236,1.69366,1008.11,1007.99
3,double,uniform,CPU,"P | P | P | P | Ns | Ns",8,512,17,60.108,954.705,4.83746,1.69571,1003.31,1021.35
3,double,uniform,CPU,"P | P | P | P | Ns | Ns",8,512,18,60.4172,935.342,4.81795,1.68234,985.812,1002.26
3,double,uniform,CPU,"P | P | P | P | Ns | Ns",8,512,19,64.1656,950.225,4.79659,1.68544,1014.54,1020.87
3,double,uniform,CPU,"P | P | P | P | Ns | Ns",8,512,20,59.7949,980.017,4.81984,1.69056,1045.71,1046.32
3,double,uniform,CPU,"P | P | P | P | Ns | Ns",8,512,21,63.906,955.101,4.82544,1.70186,1025.69,1025.53
3,double,uniform,CPU,"P | P | P | P | Ns | Ns",8,512,22,60.1431,939.933,4.80126,1.6824,1003.1,1006.56
3,double,uniform,CPU,"P | P | P | P | Ns | Ns",8,512,23,60.3538,942.868,4.8194,1.68851,1004.03,1009.73
3,double,uniform,CPU,"P | P | P | P | Ns | Ns",8,512,24,60.3628,937.997,4.80245,1.6896,1004.04,1004.85
3,double,uniform,CPU,"P | P | P | P | Ns | Ns",8,512,25,64.0343,931.099,4.9037,1.70592,1001.86,1001.74
3,double,uniform,CPU,"P | P | P | P | Ns | Ns",8,512,26,59.9055,954.69,4.86538,1.70285,1020.18,1021.16
3,double,uniform,CPU,"P | P | P | P | Ns | Ns",8,512,27,63.3258,931.167,4.81258,1.69366,998.898,1001
3,double,uniform,CPU,"P | P | P | P | Ns | Ns",8,512,28,64.1709,964.793,4.80014,1.68851,1027.1,1035.45
3,double,uniform,CPU,"P | P | P | P | Ns | Ns",8,512,29,59.8985,936.804,4.8026,1.68646,997.403,1003.19
