dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,float,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",4,512,0,60.2766,17.9839,4.12771,1.15302,81.4699,83.5413
3,float,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",4,512,1,59.137,8.91366,4.09409,1.02195,71.9212,73.1667
3,float,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",4,512,2,59.3594,8.95626,4.07054,1.01376,71.2029,73.4
3,float,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",4,512,3,59.4611,8.91177,4.07955,1.01274,72.1489,73.4652
3,float,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",4,512,4,59.2402,8.94744,4.07279,1.01274,71.8723,73.2731
3,float,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",4,512,5,59.4174,8.89613,4.07034,1.01376,71.2016,73.3977
3,float,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",4,512,6,59.1604,8.92876,4.07205,1.01683,71.9227,73.178
3,float,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",4,512,7,59.4915,8.89805,4.07656,1.00864,71.9424,73.4747
3,float,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",4,512,8,59.3711,8.92012,4.07443,1.01888,72.048,73.3845
3,float,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",4,512,9,58.755,9.15606,4.00307,1.00864,71.6553,72.9228
3,float,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",4,512,10,58.7516,8.85184,4.00514,1.00762,71.0406,72.6162
3,float,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",4,512,11,59.4493,8.92367,4.06814,1.01274,71.7793,73.4538
3,float,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",4,512,12,59.4512,8.83484,4.01045,1.00762,71.3902,73.3041
3,float,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",4,512,13,59.5352,8.8493,4.00325,1.00966,71.4649,73.3975
3,float,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",4,512,14,58.5404,8.8363,4.00817,1.00454,70.755,72.3894
3,float,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",4,512,15,59.1141,8.83345,4.00055,1.00147,71.6092,72.9496
3,float,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",4,512,16,59.3683,8.90663,4.07073,1.01171,71.7659,73.3573
3,float,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",4,512,17,58.7976,8.84131,4.00407,1.00966,71.0101,72.6526
3,float,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",4,512,18,58.135,9.50313,3.99735,1.00659,71.7602,72.6421
3,float,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",4,512,19,59.1345,8.93411,4.00772,1.01581,71.3638,73.0922
3,float,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",4,512,20,59.4055,8.83595,3.99956,1.00557,71.6465,73.2466
3,float,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",4,512,21,59.1436,8.89914,4.00431,1.01171,71.2417,73.0587
3,float,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",4,512,22,59.2664,8.839,4.00779,1.00147,71.3297,73.1146
3,float,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",4,512,23,59.5431,8.86552,4.01171,1.00557,71.1646,73.4259
3,float,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",4,512,24,59.1928,8.94702,4.00072,1.00864,71.7468,73.1492
3,float,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",4,512,25,58.611,9.0992,4.00282,1.00045,71.762,72.7135
3,float,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",4,512,26,59.1283,8.83494,4.00463,1.00966,71.7027,72.9776
3,float,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",4,512,27,59.4432,8.83273,4.00196,1.00762,71.0778,73.2855
3,float,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",4,512,28,59.1667,8.83903,4.01436,1.00659,71.5576,73.0266
3,float,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",4,512,29,59.5125,8.84364,4.00088,1.00458,71.7264,73.3616
