dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,double,uniform,CPU,"P | P | P | P | Ns | Ds",6,512,0,86.2721,1074.52,6.46674,2.63059,1136.69,1169.89
3,double,uniform,CPU,"P | P | P | P | Ns | Ds",6,512,1,85.6364,825.428,6.42977,2.26198,883.503,919.756
3,double,uniform,CPU,"P | P | P | P | Ns | Ds",6,512,2,84.8139,835.62,6.43686,2.25683,915.025,929.128
3,double,uniform,CPU,"P | P | P | P | Ns | Ds",6,512,3,85.4846,820.235,6.398,2.27427,914.508,914.392
3,double,uniform,CPU,"P | P | P | P | Ns | Ds",6,512,4,84.8492,820.098,6.39968,2.26301,910.215,913.61
3,double,uniform,CPU,"P | P | P | P | Ns | Ds",6,512,5,84.6756,822.871,6.4348,2.264,914.628,916.245
3,double,uniform,CPU,"P | P | P | P | Ns | Ds",6,512,6,85.0155,823.435,6.44995,2.26912,912.373,917.17
3,double,uniform,CPU,"P | P | P | P | Ns | Ds",6,512,7,84.7831,823.036,6.36666,2.2599,916.563,916.446
3,double,uniform,CPU,"P | P | P | P | Ns | Ds",6,512,8,84.4437,824.312,6.38354,2.26298,917.534,917.403
3,double,uniform,CPU,"P | P | P | P | Ns | Ds",6,512,9,84.5786,821.812,6.39255,2.26192,915.176,915.046
3,double,uniform,CPU,"P | P | P | P | Ns | Ds",6,512,10,84.5578,822.245,6.43787,2.2599,915.619,915.5
3,double,uniform,CPU,"P | P | P | P | Ns | Ds",6,512,11,84.7947,822.114,6.4242,2.2609,910.247,915.594
3,double,uniform,CPU,"P | P | P | P | Ns | Ds",6,512,12,85.3464,821.697,6.40809,2.25994,915.83,915.712
3,double,uniform,CPU,"P | P | P | P | Ns | Ds",6,512,13,84.6432,820.343,6.41752,2.26397,912.363,913.668
3,double,uniform,CPU,"P | P | P | P | Ns | Ds",6,512,14,84.7897,820.768,6.38272,2.26099,914.319,914.202
3,double,uniform,CPU,"P | P | P | P | Ns | Ds",6,512,15,85.6055,819.263,6.4176,2.25789,913.661,913.544
3,double,uniform,CPU,"P | P | P | P | Ns | Ds",6,512,16,84.6029,817.858,6.39546,2.25891,910.333,911.115
3,double,uniform,CPU,"P | P | P | P | Ns | Ds",6,512,17,84.4727,820.33,6.41688,2.26093,913.602,913.48
3,double,uniform,CPU,"P | P | P | P | Ns | Ds",6,512,18,84.5026,823.108,6.4136,2.26301,916.402,916.287
3,double,uniform,CPU,"P | P | P | P | Ns | Ds",6,512,19,84.8028,822.476,6.46804,2.27523,910.371,916.022
3,double,uniform,CPU,"P | P | P | P | Ns | Ds",6,512,20,85.648,822.563,6.3865,2.25891,916.985,916.857
3,double,uniform,CPU,"P | P | P | P | Ns | Ds",6,512,21,84.9146,825.381,6.42659,2.25987,917.637,918.982
3,double,uniform,CPU,"P | P | P | P | Ns | Ds",6,512,22,85.5512,823.761,6.46363,2.25782,918.156,918.034
3,double,uniform,CPU,"P | P | P | P | Ns | Ds",6,512,23,84.7815,816.396,6.38547,2.26195,907.315,909.825
3,double,uniform,CPU,"P | P | P | P | Ns | Ds",6,512,24,84.7967,819.638,6.37638,2.25994,911.966,913.071
3,double,uniform,CPU,"P | P | P | P | Ns | Ds",6,512,25,84.547,818.222,6.38775,2.25894,911.536,911.416
3,double,uniform,CPU,"P | P | P | P | Ns | Ds",6,512,26,84.8978,818.674,6.41057,2.25888,911.019,912.241
3,double,uniform,CPU,"P | P | P | P | Ns | Ds",6,512,27,85.1756,822.783,6.36224,2.25888,916.703,916.58
3,double,uniform,CPU,"P | P | P | P | Ns | Ds",6,512,28,84.5202,822.6,6.42603,2.26403,915.534,915.811
3,double,uniform,CPU,"P | P | P | P | Ns | Ds",6,512,29,84.7219,823.045,6.4083,2.25994,912.259,916.436
