dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,float,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",8,512,0,31.4203,647.715,1.47116,0.813056,676.769,681.42
3,float,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",8,512,1,30.3711,483.189,1.44817,0.56016,512.89,515.568
3,float,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",8,512,2,31.8017,492.477,1.43953,0.562208,527.493,526.28
3,float,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",8,512,3,30.1048,494.591,1.43858,0.55904,517.29,526.693
3,float,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",8,512,4,32.0136,496.513,1.43913,0.559104,531.723,530.525
3,float,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",8,512,5,30.4437,511.908,1.48841,0.568288,545.364,544.408
3,float,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",8,512,6,30.1312,499.294,1.44729,0.562144,511.362,531.435
3,float,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",8,512,7,30.4978,481.508,1.43016,0.566304,510.241,514.003
3,float,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",8,512,8,30.52,487.499,1.44239,0.56416,520.231,520.025
3,float,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",8,512,9,32.3239,490.197,1.45067,0.56832,525.701,524.54
3,float,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",8,512,10,31.708,492.058,1.43523,0.573408,526.93,525.775
3,float,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",8,512,11,30.2194,480.651,1.46303,0.566272,512.904,512.9
3,float,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",8,512,12,32.0623,479.056,1.47114,0.56928,514.446,513.158
3,float,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",8,512,13,30.3657,481.496,1.43542,0.56624,506.681,513.864
3,float,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",8,512,14,30.0433,490.361,1.43708,0.560128,517.528,522.401
3,float,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",8,512,15,29.8013,488.74,1.43783,0.562176,518.318,520.542
3,float,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",8,512,16,31.9019,489.07,1.43302,0.565184,524.086,522.97
3,float,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",8,512,17,32.2049,501.365,1.4321,0.567264,536.755,535.569
3,float,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",8,512,18,32.1556,501.922,1.42921,0.56624,537.041,536.073
3,float,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",8,512,19,30.5079,508.354,1.4438,0.559104,540.448,540.865
3,float,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",8,512,20,32.299,492.168,1.44083,0.561152,527.678,526.469
3,float,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",8,512,21,32.136,498.949,1.44501,0.565248,534.127,533.096
3,float,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",8,512,22,30.3674,512.327,1.44164,0.5632,543.8,544.7
3,float,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",8,512,23,31.8115,493.23,1.43861,0.566304,528.17,527.046
3,float,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",8,512,24,31.8523,504.259,1.43886,0.56112,539.311,538.112
3,float,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",8,512,25,30.129,489.281,1.45049,0.561152,522.418,521.422
3,float,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",8,512,26,29.953,505.813,1.43338,0.56112,524.309,537.76
3,float,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",8,512,27,32.0244,513.509,1.44084,0.561152,548.742,547.536
3,float,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",8,512,28,30.1184,500.092,1.43496,0.560128,526.066,532.206
3,float,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",8,512,29,32.2748,520.637,1.4371,0.557056,556.122,554.906
