dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",2,512,0,225.751,36.2664,30.3282,7.17824,299.676,299.524
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",2,512,1,226.203,30.5676,30.2186,6.92634,291.659,293.916
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",2,512,2,222.084,30.606,30.0759,6.92429,289.137,289.69
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",2,512,3,224.508,30.4614,29.3619,6.92838,291.354,291.259
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",2,512,4,222.486,30.4057,29.5765,6.92019,288.46,289.389
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",2,512,5,223.069,30.4845,30.2119,6.93043,290.791,290.696
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",2,512,6,222.015,30.7966,29.9084,6.92736,289.169,289.647
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",2,512,7,224.524,30.4784,30.2289,6.92736,292.258,292.159
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",2,512,8,223.658,30.4337,30.1621,6.92941,291.288,291.184
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",2,512,9,222.603,30.7737,29.9059,6.92941,289.279,290.212
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",2,512,10,220.726,30.9241,29.9382,6.92326,288.61,288.512
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",2,512,11,221.361,31.268,29.4379,6.92531,289.093,288.992
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",2,512,12,221.958,30.6028,30.2606,6.92634,289.085,289.748
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",2,512,13,220.987,30.6125,30.224,6.93043,288.77,288.754
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",2,512,14,223.347,30.5542,29.4746,6.92224,290.416,290.298
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",2,512,15,224.013,31.0266,29.5056,6.93555,291.436,291.481
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",2,512,16,223.074,31.4304,29.4878,6.92224,291.015,290.915
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",2,512,17,223.062,31.1875,29.5653,6.92531,290.838,290.74
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",2,512,18,225.9,30.7058,29.1632,6.92634,290.718,292.695
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",2,512,19,225.247,31.3067,29.4411,6.92634,290.813,292.921
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",2,512,20,225.894,31.5583,29.5881,6.92326,292.892,293.964
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",2,512,21,223.462,30.6606,30.1851,6.93043,291.359,291.238
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",2,512,22,221.36,31.132,29.5126,6.92326,289.027,288.928
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",2,512,23,223.132,30.5697,30.2169,6.92429,290.939,290.842
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",2,512,24,222.752,30.6957,30.102,6.92941,289.759,290.479
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",2,512,25,224.636,30.6495,30.1443,6.92941,290.259,292.359
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",2,512,26,223.742,30.4336,30.1842,6.92531,291.388,291.285
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",2,512,27,223.102,30.527,30.113,6.93146,289.825,290.673
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",2,512,28,226.857,30.5402,30.9436,6.92634,293.094,295.267
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",2,512,29,222.694,30.5672,30.1715,6.92224,289.463,290.354
