dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",1,512,0,443.897,10.5458,50.8121,6.15936,511.536,511.414
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",1,512,1,447.279,10.533,46.0593,5.92896,509.883,509.801
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",1,512,2,447.731,10.5356,46.1022,5.92486,510.374,510.294
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",1,512,3,443.581,10.5386,46.0492,5.92486,506.172,506.093
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",1,512,4,442.032,10.5305,46.1291,5.93101,504.702,504.622
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",1,512,5,444.322,10.5423,46.0055,5.93818,506.895,506.808
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",1,512,6,447.41,10.5338,46.0864,5.92691,510.035,509.957
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",1,512,7,444.159,10.5295,46.0257,5.91462,506.706,506.629
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",1,512,8,447.833,10.5373,45.8387,5.92077,510.213,510.13
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",1,512,9,441.319,10.5357,45.8973,5.92589,503.753,503.678
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",1,512,10,449.374,10.5345,45.8956,5.94125,511.821,511.746
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",1,512,11,443.411,10.5335,46.1615,5.93101,506.113,506.037
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",1,512,12,448.669,10.535,46.0678,5.9136,511.264,511.185
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",1,512,13,447.461,10.5329,45.8578,5.9351,509.861,509.787
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",1,512,14,440.739,10.5318,46.094,5.92486,503.364,503.289
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",1,512,15,448.662,10.5376,46.1613,5.91667,511.367,511.278
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",1,512,16,447.958,10.533,46.1549,5.93203,510.654,510.578
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",1,512,17,440.962,10.5314,46.0653,5.92384,503.557,503.482
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",1,512,18,449.398,10.5381,45.9361,5.93203,511.881,511.804
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",1,512,19,446.255,10.5335,46.024,5.93408,508.822,508.747
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",1,512,20,446.507,10.5369,45.689,5.93306,508.743,508.666
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",1,512,21,451.419,10.5384,45.9762,5.9351,513.941,513.868
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",1,512,22,447.737,10.5328,46.0922,5.92589,510.361,510.288
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",1,512,23,447.162,10.5342,46.0496,5.92486,509.748,509.671
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",1,512,24,443.125,10.5354,45.9862,5.93306,505.657,505.58
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",1,512,25,450.258,10.5326,46.1284,5.92282,512.919,512.842
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",1,512,26,443.427,10.5337,46.118,5.91667,506.075,505.995
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",1,512,27,441.308,10.533,45.9718,5.92896,503.819,503.742
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",1,512,28,442.177,10.5338,46.1354,5.93818,504.856,504.784
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",1,512,29,441.325,10.5364,45.9366,5.92486,503.796,503.723
