dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,float,uniform,CPU,"P | P | P | P | N | D",2,512,0,115.915,22.1134,12.1377,3.93318,154.25,154.099
3,float,uniform,CPU,"P | P | P | P | N | D",2,512,1,113.068,16.0839,11.9625,3.73965,144.946,144.854
3,float,uniform,CPU,"P | P | P | P | N | D",2,512,2,113.36,16.0104,12.1117,3.75296,145.331,145.235
3,float,uniform,CPU,"P | P | P | P | N | D",2,512,3,114.014,16.0188,12.0336,3.73453,145.229,145.801
3,float,uniform,CPU,"P | P | P | P | N | D",2,512,4,113.001,16.018,12.0568,3.75706,144.762,144.832
3,float,uniform,CPU,"P | P | P | P | N | D",2,512,5,114.123,16.034,12.1545,3.76218,146.18,146.074
3,float,uniform,CPU,"P | P | P | P | N | D",2,512,6,114.173,16.0136,12.0751,3.76422,145.232,146.026
3,float,uniform,CPU,"P | P | P | P | N | D",2,512,7,113.893,16.0102,12.0358,3.74989,145.787,145.689
3,float,uniform,CPU,"P | P | P | P | N | D",2,512,8,114.657,16.0208,11.9696,3.74067,146.108,146.388
3,float,uniform,CPU,"P | P | P | P | N | D",2,512,9,114.273,16.0255,11.9637,3.74682,145.954,146.009
3,float,uniform,CPU,"P | P | P | P | N | D",2,512,10,113.959,16.037,12.1305,3.75194,145.622,145.878
3,float,uniform,CPU,"P | P | P | P | N | D",2,512,11,114.139,16.002,12.0417,3.74477,146.026,145.927
3,float,uniform,CPU,"P | P | P | P | N | D",2,512,12,114.108,16.0149,12.1246,3.74682,145.536,145.995
3,float,uniform,CPU,"P | P | P | P | N | D",2,512,13,114.134,16.1381,11.9522,3.75706,145.476,145.981
3,float,uniform,CPU,"P | P | P | P | N | D",2,512,14,114.159,16.0158,12.1684,3.75603,146.196,146.099
3,float,uniform,CPU,"P | P | P | P | N | D",2,512,15,113.231,16.0141,12.1204,3.75398,145.053,145.119
3,float,uniform,CPU,"P | P | P | P | N | D",2,512,16,114.819,16.0244,12.0654,3.7591,146.162,146.668
3,float,uniform,CPU,"P | P | P | P | N | D",2,512,17,114.416,16.1843,11.9242,3.75501,145.593,146.28
3,float,uniform,CPU,"P | P | P | P | N | D",2,512,18,114.141,16.0184,12.0381,3.74784,146.046,145.945
3,float,uniform,CPU,"P | P | P | P | N | D",2,512,19,113.931,16.0204,12.0842,3.74989,145.689,145.785
3,float,uniform,CPU,"P | P | P | P | N | D",2,512,20,114.578,16.0386,12.0084,3.75194,145.642,146.377
3,float,uniform,CPU,"P | P | P | P | N | D",2,512,21,114.533,16.0463,12.0053,3.74579,146.103,146.331
3,float,uniform,CPU,"P | P | P | P | N | D",2,512,22,113.571,16.0026,12.0461,3.7673,145.498,145.387
3,float,uniform,CPU,"P | P | P | P | N | D",2,512,23,114.748,16.0234,12.0437,3.75501,145.626,146.57
3,float,uniform,CPU,"P | P | P | P | N | D",2,512,24,114.141,16.0295,12.1058,3.76013,145.49,146.036
3,float,uniform,CPU,"P | P | P | P | N | D",2,512,25,114.349,16.0483,12.0159,3.75296,145.637,146.166
3,float,uniform,CPU,"P | P | P | P | N | D",2,512,26,114.757,16.2221,11.8143,3.7591,146.291,146.553
3,float,uniform,CPU,"P | P | P | P | N | D",2,512,27,114.099,16.0152,12.0594,3.74886,145.385,145.923
3,float,uniform,CPU,"P | P | P | P | N | D",2,512,28,113.492,16.0926,12.0142,3.74579,145.355,145.345
3,float,uniform,CPU,"P | P | P | P | N | D",2,512,29,114.267,16.1587,11.9511,3.74784,146.068,146.124
