dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,float,uniform,GPU,"P | P | P | P | Ns | Ds",4,512,0,0.811904,1047.05,4.53417,2.42989,1055.04,1054.82
3,float,uniform,GPU,"P | P | P | P | Ns | Ds",4,512,1,0.71792,1054.64,4.69798,1.92102,1061.13,1061.98
3,float,uniform,GPU,"P | P | P | P | Ns | Ds",4,512,2,0.726272,1047.9,4.3828,1.7889,1054.08,1054.8
3,float,uniform,GPU,"P | P | P | P | Ns | Ds",4,512,3,0.72432,1023.1,4.47537,1.78576,1030.22,1030.08
3,float,uniform,GPU,"P | P | P | P | Ns | Ds",4,512,4,0.731232,1047.77,4.56435,1.79914,1055.03,1054.87
3,float,uniform,GPU,"P | P | P | P | Ns | Ds",4,512,5,0.70304,1025.79,4.42024,1.7889,1031.93,1032.7
3,float,uniform,GPU,"P | P | P | P | Ns | Ds",4,512,6,0.72208,1065.78,4.48355,1.78378,1072.91,1072.77
3,float,uniform,GPU,"P | P | P | P | Ns | Ds",4,512,7,0.724064,1043.98,4.47447,1.78278,1051.1,1050.96
3,float,uniform,GPU,"P | P | P | P | Ns | Ds",4,512,8,0.729248,1009.21,4.39693,1.79091,1015.94,1016.13
3,float,uniform,GPU,"P | P | P | P | Ns | Ds",4,512,9,0.734016,1031.76,4.53353,1.81043,1039,1038.84
3,float,uniform,GPU,"P | P | P | P | Ns | Ds",4,512,10,0.7256,1013.59,4.45837,1.78275,1020.7,1020.56
3,float,uniform,GPU,"P | P | P | P | Ns | Ds",4,512,11,0.704,1024.88,4.38167,1.78678,1029.81,1031.75
3,float,uniform,GPU,"P | P | P | P | Ns | Ds",4,512,12,0.70176,1022.93,4.39965,1.78474,1029.43,1029.81
3,float,uniform,GPU,"P | P | P | P | Ns | Ds",4,512,13,0.721728,1028.48,4.78227,1.9159,1036.04,1035.9
3,float,uniform,GPU,"P | P | P | P | Ns | Ds",4,512,14,0.720896,1018.18,4.81201,1.91078,1025.76,1025.63
3,float,uniform,GPU,"P | P | P | P | Ns | Ds",4,512,15,0.724224,1010.83,4.39438,1.78688,1017.04,1017.73
3,float,uniform,GPU,"P | P | P | P | Ns | Ds",4,512,16,0.723168,1054.01,4.44854,1.7817,1061.1,1060.96
3,float,uniform,GPU,"P | P | P | P | Ns | Ds",4,512,17,0.736608,1012.91,4.46749,1.80426,1020.05,1019.92
3,float,uniform,GPU,"P | P | P | P | Ns | Ds",4,512,18,0.723936,1019.74,4.48561,1.7817,1026.87,1026.73
3,float,uniform,GPU,"P | P | P | P | Ns | Ds",4,512,19,0.724256,1013.79,4.46606,1.78074,1020.9,1020.76
3,float,uniform,GPU,"P | P | P | P | Ns | Ds",4,512,20,0.724288,1019.24,4.46213,1.78381,1026.35,1026.21
3,float,uniform,GPU,"P | P | P | P | Ns | Ds",4,512,21,0.72832,1006.78,4.38456,1.78784,1013.13,1013.68
3,float,uniform,GPU,"P | P | P | P | Ns | Ds",4,512,22,0.72576,1038.08,4.45844,1.77965,1045.19,1045.05
3,float,uniform,GPU,"P | P | P | P | Ns | Ds",4,512,23,0.724864,1048.13,4.47462,1.78477,1055.25,1055.11
3,float,uniform,GPU,"P | P | P | P | Ns | Ds",4,512,24,0.73328,1021.57,4.5293,1.80429,1028.79,1028.63
3,float,uniform,GPU,"P | P | P | P | Ns | Ds",4,512,25,0.7224,1037.32,4.52991,1.78682,1044.5,1044.36
3,float,uniform,GPU,"P | P | P | P | Ns | Ds",4,512,26,0.717728,1026.11,4.78306,1.90464,1033.64,1033.52
3,float,uniform,GPU,"P | P | P | P | Ns | Ds",4,512,27,0.722464,1020.65,4.47872,1.7817,1027.77,1027.63
3,float,uniform,GPU,"P | P | P | P | Ns | Ds",4,512,28,0.724,1010.57,4.49105,1.78579,1017.72,1017.58
3,float,uniform,GPU,"P | P | P | P | Ns | Ds",4,512,29,0.724064,1067,4.39247,1.78272,1049.22,1073.9
