dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",4,512,0,62.6142,0,3650.38,1.55853,3707.27,3714.56
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",4,512,1,62.7426,0,3217.71,1.03117,3272.87,3281.49
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",4,512,2,62.4985,0,3180.7,1.0199,3235.97,3244.22
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",4,512,3,62.5132,0,3203.24,1.04141,3260.33,3266.8
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",4,512,4,62.5011,0,3227.62,1.02502,3283.89,3291.15
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",4,512,5,62.6546,0,3224.7,1.04346,3278.48,3288.4
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",4,512,6,62.6555,0,3210.52,1.02403,3267.26,3274.2
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",4,512,7,62.7357,0,3198.3,1.04653,3257.02,3262.08
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",4,512,8,62.6602,0,3202.88,1.02502,3260.9,3266.56
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",4,512,9,62.5276,0,3197.58,1.03526,3251.21,3261.14
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",4,512,10,62.2613,0,3186.66,1.03322,3240.65,3249.96
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",4,512,11,62.4564,0,3196.53,1.02605,3250.04,3260.01
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",4,512,12,62.2767,0,3188.76,1.024,3246.77,3252.06
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",4,512,13,63.4392,0,3206.32,1.02093,3256.81,3270.78
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",4,512,14,62.5903,0,3204.2,1.03526,3257.67,3267.83
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",4,512,15,62.5467,0,3381.93,1.03117,3400.45,3445.51
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",4,512,16,62.6044,0,3201.34,1.02707,3255.8,3264.97
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",4,512,17,62.7584,0,3198.22,1.01581,3253.48,3262
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",4,512,18,62.3905,0,3192.48,1.02298,3246.03,3255.89
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",4,512,19,62.5849,0,3208.77,1.024,3260.59,3272.38
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",4,512,20,62.4761,0,3194.57,1.02298,3251.42,3258.07
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",4,512,21,62.2088,0,3195.19,1.03219,3246.88,3258.43
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",4,512,22,62.4582,0,3202.44,1.02909,3256.34,3265.93
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",4,512,23,62.7009,0,3192.39,1.0281,3245.12,3256.12
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",4,512,24,62.258,0,3190.28,1.02502,3246.85,3253.57
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",4,512,25,62.2971,0,3196.98,1.01888,3251.01,3260.29
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",4,512,26,62.7054,0,3206.45,1.01683,3258.22,3270.17
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",4,512,27,62.4973,0,3199.84,1.03011,3256.56,3263.36
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",4,512,28,62.4935,0,3397.55,1.02707,3422.32,3461.07
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",4,512,29,62.6693,0,3405.1,1.03629,3425.36,3468.8
