dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,double,uniform,CPU,"P | P | P | P | P | P",8,512,0,66.3861,0,2484.2,2.2415,2552.61,2552.83
3,double,uniform,CPU,"P | P | P | P | P | P",8,512,1,64.369,0,1967.52,1.74285,2033.81,2033.63
3,double,uniform,CPU,"P | P | P | P | P | P",8,512,2,63.5598,0,1946.4,1.6895,2011.58,2011.65
3,double,uniform,CPU,"P | P | P | P | P | P",8,512,3,60.341,0,1943.62,1.71923,1996.86,2005.68
3,double,uniform,CPU,"P | P | P | P | P | P",8,512,4,64.3494,0,1965.88,1.68963,2031.56,2031.92
3,double,uniform,CPU,"P | P | P | P | P | P",8,512,5,59.6674,0,1973.1,1.70192,2030.89,2034.47
3,double,uniform,CPU,"P | P | P | P | P | P",8,512,6,60.1186,0,1991.44,1.70794,2038.93,2053.26
3,double,uniform,CPU,"P | P | P | P | P | P",8,512,7,64.5897,0,2049.78,1.70694,2116.2,2116.08
3,double,uniform,CPU,"P | P | P | P | P | P",8,512,8,59.7942,0,1929.35,1.69472,1984.35,1990.83
3,double,uniform,CPU,"P | P | P | P | P | P",8,512,9,64.1792,0,1980.19,1.7049,2045.73,2046.07
3,double,uniform,CPU,"P | P | P | P | P | P",8,512,10,59.4124,0,1938.5,1.68755,1991.3,1999.6
3,double,uniform,CPU,"P | P | P | P | P | P",8,512,11,64.4336,0,2099.25,1.68851,2164.85,2165.37
3,double,uniform,CPU,"P | P | P | P | P | P",8,512,12,59.3854,0,1994.32,1.6855,2048.7,2055.39
3,double,uniform,CPU,"P | P | P | P | P | P",8,512,13,60.1358,0,1942.15,1.71718,2001.8,2004
3,double,uniform,CPU,"P | P | P | P | P | P",8,512,14,63.5101,0,1922,1.69155,1987.15,1987.2
3,double,uniform,CPU,"P | P | P | P | P | P",8,512,15,63.8812,0,1958.77,1.70189,2024.47,2024.36
3,double,uniform,CPU,"P | P | P | P | P | P",8,512,16,60.2271,0,1938.26,1.69571,1992.07,2000.19
3,double,uniform,CPU,"P | P | P | P | P | P",8,512,17,63.4985,0,1956.3,1.7008,2021.41,2021.5
3,double,uniform,CPU,"P | P | P | P | P | P",8,512,18,60.1142,0,1937.15,1.7008,1988.73,1998.96
3,double,uniform,CPU,"P | P | P | P | P | P",8,512,19,59.4009,0,1924.57,1.69267,1985.08,1985.66
3,double,uniform,CPU,"P | P | P | P | P | P",8,512,20,60.1672,0,1984.01,1.68755,2041.33,2045.86
3,double,uniform,CPU,"P | P | P | P | P | P",8,512,21,59.2376,0,1922.53,1.6855,1980,1983.45
3,double,uniform,CPU,"P | P | P | P | P | P",8,512,22,59.6507,0,2016.05,1.68448,2072.57,2077.39
3,double,uniform,CPU,"P | P | P | P | P | P",8,512,23,60.3036,0,1935.58,1.69779,1983.31,1997.58
3,double,uniform,CPU,"P | P | P | P | P | P",8,512,24,64.0218,0,1929.2,1.70083,1995.04,1994.92
3,double,uniform,CPU,"P | P | P | P | P | P",8,512,25,64.197,0,1930.66,1.69773,1996.45,1996.56
3,double,uniform,CPU,"P | P | P | P | P | P",8,512,26,63.6272,0,1959.02,1.70691,2024.16,2024.35
3,double,uniform,CPU,"P | P | P | P | P | P",8,512,27,59.8632,0,1932.88,1.70384,1993.79,1994.45
3,double,uniform,CPU,"P | P | P | P | P | P",8,512,28,59.1417,0,1932.04,1.68854,1989.83,1992.87
3,double,uniform,CPU,"P | P | P | P | P | P",8,512,29,60.8825,0,1947.88,1.69469,2002.07,2010.46
