dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",6,512,0,1.0353,0,3465.55,1.47661,3468.29,3468.06
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",6,512,1,0.97696,0,3010.57,0.94416,3012.61,3012.49
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",6,512,2,0.958016,0,2989.71,0.934912,2991.7,2991.61
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",6,512,3,0.968672,0,3015.95,0.94208,3017.98,3017.87
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",6,512,4,0.970976,0,3011.08,0.941056,3013.11,3012.99
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",6,512,5,0.958048,0,3004.49,0.934912,3006.49,3006.39
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",6,512,6,0.968448,0,2997.71,0.940032,2999.73,2999.62
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",6,512,7,0.954592,0,2992.68,0.935936,2994.68,2994.57
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",6,512,8,0.955936,0,2985.51,0.928768,2987.49,2987.39
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",6,512,9,0.976128,0,3000.32,0.940032,3002.35,3002.23
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",6,512,10,0.960544,0,3084.7,0.932864,3078.7,3086.6
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",6,512,11,0.962752,0,2994.6,0.945152,2996.63,2996.51
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",6,512,12,0.956832,0,2977.6,0.933888,2979.59,2979.5
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",6,512,13,0.9568,0,3006.71,0.92672,3008.7,3008.59
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",6,512,14,0.956736,0,2984.22,0.934912,2986.21,2986.11
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",6,512,15,0.95792,0,2989.67,0.927744,2991.65,2991.56
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",6,512,16,0.954912,0,2990.71,0.923648,2992.68,2992.59
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",6,512,17,0.958144,0,2994.94,0.930784,2996.92,2996.83
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",6,512,18,0.965568,0,3090.9,0.928768,3084.72,3092.79
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",6,512,19,0.95696,0,2989.27,0.92672,2991.26,2991.16
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",6,512,20,0.96352,0,2979.35,0.938976,2981.37,2981.25
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",6,512,21,0.95632,0,2973.61,0.933888,2975.6,2975.5
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",6,512,22,0.960352,0,3103.02,0.925728,3095.87,3104.91
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",6,512,23,0.956096,0,2984.74,0.93072,2986.72,2986.63
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",6,512,24,0.957472,0,2985.65,0.93088,2987.63,2987.54
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",6,512,25,0.957792,0,2971.95,0.925696,2973.93,2973.84
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",6,512,26,0.96752,0,2976.91,0.938976,2978.92,2978.81
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",6,512,27,0.957632,0,2988.9,0.933824,2990.89,2990.79
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",6,512,28,0.955296,0,2989.27,0.92672,2991.24,2991.15
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",6,512,29,0.958272,0,2993.35,0.93184,2995.35,2995.24
