dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,double,uniform,CPU,"D | D | D | D | N | D",4,512,0,125.653,1350.93,16.1263,2.23843,1494.85,1494.95
3,double,uniform,CPU,"D | D | D | D | N | D",4,512,1,125.438,1341.8,16.1269,1.55955,1484.85,1484.92
3,double,uniform,CPU,"D | D | D | D | N | D",4,512,2,126.176,1356.6,16.1776,1.55853,1500.64,1500.51
3,double,uniform,CPU,"D | D | D | D | N | D",4,512,3,125.988,1363.82,16.1098,1.54931,1507.17,1507.47
3,double,uniform,CPU,"D | D | D | D | N | D",4,512,4,126.001,1328.81,16.1039,1.5503,1472.39,1472.47
3,double,uniform,CPU,"D | D | D | D | N | D",4,512,5,125.707,1339.58,16.1266,1.54826,1483.09,1482.96
3,double,uniform,CPU,"D | D | D | D | N | D",4,512,6,125.659,1318.26,16.1128,1.55136,1461.59,1461.58
3,double,uniform,CPU,"D | D | D | D | N | D",4,512,7,125.348,1351.1,16.1978,1.56976,1494.35,1494.22
3,double,uniform,CPU,"D | D | D | D | N | D",4,512,8,125.42,1336.93,16.1091,1.55133,1479.83,1480.01
3,double,uniform,CPU,"D | D | D | D | N | D",4,512,9,125.89,1356.9,16.1252,1.54931,1500.59,1500.46
3,double,uniform,CPU,"D | D | D | D | N | D",4,512,10,124.951,1340.19,16.1214,1.55334,1482.94,1482.82
3,double,uniform,CPU,"D | D | D | D | N | D",4,512,11,125.465,1344.96,16.1127,1.55235,1488.21,1488.09
3,double,uniform,CPU,"D | D | D | D | N | D",4,512,12,126.383,1355.38,16.1177,1.55133,1499.56,1499.43
3,double,uniform,CPU,"D | D | D | D | N | D",4,512,13,127.202,1340.25,16.1062,1.5503,1484.6,1485.11
3,double,uniform,CPU,"D | D | D | D | N | D",4,512,14,125.298,1340.41,16.1195,1.5544,1483.51,1483.38
3,double,uniform,CPU,"D | D | D | D | N | D",4,512,15,126.33,1394.85,16.1229,1.54931,1539,1538.86
3,double,uniform,CPU,"D | D | D | D | N | D",4,512,16,127.032,1338.21,16.211,1.56362,1483.14,1483.02
3,double,uniform,CPU,"D | D | D | D | N | D",4,512,17,125.422,1348.67,16.1084,1.55139,1491.87,1491.75
3,double,uniform,CPU,"D | D | D | D | N | D",4,512,18,125.53,1343.08,16.1216,1.55238,1486.44,1486.28
3,double,uniform,CPU,"D | D | D | D | N | D",4,512,19,126.107,1364.55,16.1156,1.55027,1508.45,1508.32
3,double,uniform,CPU,"D | D | D | D | N | D",4,512,20,125.372,1322.51,16.1239,1.55133,1465.68,1465.56
3,double,uniform,CPU,"D | D | D | D | N | D",4,512,21,125.056,1335.33,16.1198,1.55347,1478.18,1478.06
3,double,uniform,CPU,"D | D | D | D | N | D",4,512,22,125.31,1333.86,16.1136,1.54723,1476.96,1476.83
3,double,uniform,CPU,"D | D | D | D | N | D",4,512,23,125.109,1343.82,16.1211,1.54624,1486.72,1486.6
3,double,uniform,CPU,"D | D | D | D | N | D",4,512,24,125.515,1329.56,16.1156,1.54624,1472.86,1472.74
3,double,uniform,CPU,"D | D | D | D | N | D",4,512,25,126.365,1361.13,16.1137,1.54931,1505.29,1505.16
3,double,uniform,CPU,"D | D | D | D | N | D",4,512,26,125.353,1313.01,16.1189,1.55027,1456.16,1456.03
3,double,uniform,CPU,"D | D | D | D | N | D",4,512,27,125.454,1324.84,16.1037,1.55034,1468.06,1467.95
3,double,uniform,CPU,"D | D | D | D | N | D",4,512,28,125.111,1337.08,16.1158,1.55027,1479.99,1479.85
3,double,uniform,CPU,"D | D | D | D | N | D",4,512,29,125.738,1335.01,16.0947,1.5503,1478.41,1478.39
