dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",4,512,0,1.35965,19.0245,3.95305,1.09568,25.554,25.4329
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",4,512,1,0.886336,8.88933,4.12842,0.971776,14.9506,14.8759
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",4,512,2,0.886144,8.91511,4.09193,0.968672,14.9382,14.8619
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",4,512,3,0.886272,8.90506,4.09002,0.975872,14.9316,14.8572
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",4,512,4,0.895136,8.92201,4.0907,0.975872,14.9649,14.8837
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",4,512,5,0.889696,8.89689,4.10028,0.973824,14.9376,14.8607
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",4,512,6,0.88528,8.92086,4.0972,0.979968,14.9276,14.8833
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",4,512,7,0.88608,8.90534,4.09748,0.975872,14.9216,14.8648
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",4,512,8,0.891648,8.89458,4.09812,0.974848,14.9327,14.8592
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",4,512,9,0.886336,8.90696,4.09206,0.978944,14.9452,14.8643
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",4,512,10,0.879136,8.90597,4.10558,0.981984,14.9242,14.8727
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",4,512,11,0.885792,8.91657,4.09595,0.975872,14.9477,14.8742
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",4,512,12,0.88704,8.90908,4.09813,0.966656,14.9345,14.8609
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",4,512,13,0.889312,8.91213,4.10132,0.974848,14.9459,14.8776
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",4,512,14,0.880576,8.92961,4.08586,0.9728,14.9515,14.8688
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",4,512,15,0.88736,8.89045,4.09923,0.979968,14.9199,14.857
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",4,512,16,0.881024,8.89336,4.10498,0.9728,14.9092,14.8522
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",4,512,17,0.886592,8.89765,4.10614,0.974848,14.9098,14.8652
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",4,512,18,0.885984,8.92083,4.08976,0.971776,14.9474,14.8684
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",4,512,19,0.883904,8.92406,4.0924,0.976896,14.9573,14.8773
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",4,512,20,0.881632,8.89554,4.09621,0.97792,14.9137,14.8513
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",4,512,21,0.886912,8.89309,4.09697,0.971776,14.917,14.8488
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",4,512,22,0.884384,8.8961,4.08896,0.979968,14.9259,14.8494
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",4,512,23,0.88224,8.91718,4.10083,0.97792,14.9593,14.8782
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",4,512,24,0.886048,8.91035,4.08797,0.970752,14.9361,14.8551
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",4,512,25,0.881376,8.89125,4.09826,0.976896,14.9207,14.8478
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",4,512,26,0.8856,8.90593,4.10081,0.979968,14.924,14.8723
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",4,512,27,0.885664,8.88934,4.09929,0.9728,14.9214,14.8471
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",4,512,28,0.888096,8.88686,4.09606,0.976896,14.9147,14.8479
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",4,512,29,0.882816,8.89818,4.08666,0.9728,14.9174,14.8405
