dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,double,uniform,CPU,"P | P | P | P | Ns | Ds",8,512,0,65.5589,1095.17,3.82888,2.12166,1166.89,1166.68
3,double,uniform,CPU,"P | P | P | P | Ns | Ds",8,512,1,59.6357,1008.07,3.75013,1.68445,1064.02,1073.14
3,double,uniform,CPU,"P | P | P | P | Ns | Ds",8,512,2,59.3957,958.58,3.80215,1.70394,1012.21,1023.48
3,double,uniform,CPU,"P | P | P | P | Ns | Ds",8,512,3,59.7616,963.418,3.70816,1.68243,1019.77,1028.57
3,double,uniform,CPU,"P | P | P | P | Ns | Ds",8,512,4,60.2489,939.292,3.73035,1.69069,985.605,1004.96
3,double,uniform,CPU,"P | P | P | P | Ns | Ds",8,512,5,59.719,946.668,3.70594,1.68854,996.169,1011.78
3,double,uniform,CPU,"P | P | P | P | Ns | Ds",8,512,6,64.0358,965.233,3.70826,1.68544,1034.8,1034.66
3,double,uniform,CPU,"P | P | P | P | Ns | Ds",8,512,7,64.0347,941.013,3.72567,1.68442,1010.58,1010.46
3,double,uniform,CPU,"P | P | P | P | Ns | Ds",8,512,8,64.3864,961.102,3.7094,1.68854,1012.4,1030.89
3,double,uniform,CPU,"P | P | P | P | Ns | Ds",8,512,9,59.9391,954.583,3.77741,1.7039,1020.04,1020
3,double,uniform,CPU,"P | P | P | P | Ns | Ds",8,512,10,60.1943,930.066,3.72841,1.68643,993.058,995.675
3,double,uniform,CPU,"P | P | P | P | Ns | Ds",8,512,11,64.4507,943.981,3.69767,1.68438,1002.24,1013.81
3,double,uniform,CPU,"P | P | P | P | Ns | Ds",8,512,12,63.8066,929.364,3.72157,1.70083,998.755,998.593
3,double,uniform,CPU,"P | P | P | P | Ns | Ds",8,512,13,63.5573,949.494,3.7238,1.69882,1018.69,1018.47
3,double,uniform,CPU,"P | P | P | P | Ns | Ds",8,512,14,59.8562,957.662,3.73358,1.6936,1012.04,1022.95
3,double,uniform,CPU,"P | P | P | P | Ns | Ds",8,512,15,59.9467,931.667,3.72452,1.68346,991.014,997.022
3,double,uniform,CPU,"P | P | P | P | Ns | Ds",8,512,16,63.6273,933.305,3.71667,1.68547,995.83,1002.33
3,double,uniform,CPU,"P | P | P | P | Ns | Ds",8,512,17,63.9761,933.501,3.72238,1.6855,1003.01,1002.88
3,double,uniform,CPU,"P | P | P | P | Ns | Ds",8,512,18,63.665,939.764,3.70876,1.68646,1006.75,1008.82
3,double,uniform,CPU,"P | P | P | P | Ns | Ds",8,512,19,63.562,964.936,3.7029,1.6865,1018.62,1033.89
3,double,uniform,CPU,"P | P | P | P | Ns | Ds",8,512,20,59.492,945.71,3.72543,1.69158,1007.15,1010.62
3,double,uniform,CPU,"P | P | P | P | Ns | Ds",8,512,21,63.5141,954.992,3.69772,1.68858,1024.01,1023.89
3,double,uniform,CPU,"P | P | P | P | Ns | Ds",8,512,22,58.8714,934.426,3.89718,1.79405,991.69,998.989
3,double,uniform,CPU,"P | P | P | P | Ns | Ds",8,512,23,59.5269,943.603,3.70809,1.6855,986.733,1008.52
3,double,uniform,CPU,"P | P | P | P | Ns | Ds",8,512,24,59.678,965.189,3.70515,1.68346,1017.84,1030.26
3,double,uniform,CPU,"P | P | P | P | Ns | Ds",8,512,25,64.4017,941.566,3.70881,1.69466,1011.51,1011.37
3,double,uniform,CPU,"P | P | P | P | Ns | Ds",8,512,26,58.8456,953.345,3.85676,1.79507,1005.32,1017.84
3,double,uniform,CPU,"P | P | P | P | Ns | Ds",8,512,27,59.1108,965.1,3.71931,1.68038,1022.64,1029.61
3,double,uniform,CPU,"P | P | P | P | Ns | Ds",8,512,28,63.6615,951.318,3.71175,1.69162,1020.51,1020.38
3,double,uniform,CPU,"P | P | P | P | Ns | Ds",8,512,29,64.299,943.507,3.70964,1.68448,1004.08,1013.2
