dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,float,uniform,CPU,"P | P | P | P | Ns | Ns",6,512,0,41.8317,861.975,3.44832,2.13094,909.582,909.386
3,float,uniform,CPU,"P | P | P | P | Ns | Ns",6,512,1,42.2285,868.83,3.41625,1.33216,915.96,915.807
3,float,uniform,CPU,"P | P | P | P | Ns | Ns",6,512,2,42.3742,1022.45,3.46315,1.36189,846.413,1069.65
3,float,uniform,CPU,"P | P | P | P | Ns | Ns",6,512,3,41.942,797.509,3.38588,1.32912,830.979,844.166
3,float,uniform,CPU,"P | P | P | P | Ns | Ns",6,512,4,42.0281,789.27,3.38718,1.33731,836.172,836.023
3,float,uniform,CPU,"P | P | P | P | Ns | Ns",6,512,5,42.6718,770.402,3.40207,1.33219,817.971,817.808
3,float,uniform,CPU,"P | P | P | P | Ns | Ns",6,512,6,42.5632,788.274,3.48018,1.35674,835.837,835.675
3,float,uniform,CPU,"P | P | P | P | Ns | Ns",6,512,7,42.9649,777.655,3.46521,1.35776,824.929,825.442
3,float,uniform,CPU,"P | P | P | P | Ns | Ns",6,512,8,42.423,769.022,3.37434,1.33315,815.474,816.153
3,float,uniform,CPU,"P | P | P | P | Ns | Ns",6,512,9,41.8462,782.034,3.39002,1.33123,828.746,828.602
3,float,uniform,CPU,"P | P | P | P | Ns | Ns",6,512,10,41.9095,777.68,3.3991,1.33418,817.765,824.323
3,float,uniform,CPU,"P | P | P | P | Ns | Ns",6,512,11,41.8305,787.948,3.38887,1.33213,833.606,834.5
3,float,uniform,CPU,"P | P | P | P | Ns | Ns",6,512,12,41.9302,762.177,3.40321,1.33629,806.591,808.847
3,float,uniform,CPU,"P | P | P | P | Ns | Ns",6,512,13,41.7933,791.774,3.38765,1.33318,838.083,838.288
3,float,uniform,CPU,"P | P | P | P | Ns | Ns",6,512,14,42.7644,772.569,3.45758,1.34963,819.054,820.14
3,float,uniform,CPU,"P | P | P | P | Ns | Ns",6,512,15,41.957,766.226,3.39287,1.33011,811.148,812.906
3,float,uniform,CPU,"P | P | P | P | Ns | Ns",6,512,16,41.863,760.225,3.39585,1.33731,806.283,806.822
3,float,uniform,CPU,"P | P | P | P | Ns | Ns",6,512,17,41.8173,776.278,3.39265,1.33936,821.495,822.827
3,float,uniform,CPU,"P | P | P | P | Ns | Ns",6,512,18,41.9344,758.464,3.40983,1.32605,805.282,805.134
3,float,uniform,CPU,"P | P | P | P | Ns | Ns",6,512,19,41.9741,779.934,3.39491,1.34349,823.563,826.647
3,float,uniform,CPU,"P | P | P | P | Ns | Ns",6,512,20,41.9598,775.177,3.3898,1.33222,817.643,821.859
3,float,uniform,CPU,"P | P | P | P | Ns | Ns",6,512,21,41.7332,779.376,3.39184,1.33318,818.351,825.834
3,float,uniform,CPU,"P | P | P | P | Ns | Ns",6,512,22,41.9843,762.577,3.39855,1.32806,809.429,809.288
3,float,uniform,CPU,"P | P | P | P | Ns | Ns",6,512,23,41.8432,774.433,3.40337,1.33325,821.181,821.013
3,float,uniform,CPU,"P | P | P | P | Ns | Ns",6,512,24,41.7356,795.123,3.39915,1.33117,835.083,841.589
3,float,uniform,CPU,"P | P | P | P | Ns | Ns",6,512,25,41.9942,768.088,3.38211,1.33008,814.419,814.794
3,float,uniform,CPU,"P | P | P | P | Ns | Ns",6,512,26,41.7229,766.415,3.39184,1.33117,811.235,812.861
3,float,uniform,CPU,"P | P | P | P | Ns | Ns",6,512,27,41.6983,776.718,3.41305,1.33933,816.644,823.169
3,float,uniform,CPU,"P | P | P | P | Ns | Ns",6,512,28,41.9992,790.49,3.43346,1.34646,830.645,837.269
3,float,uniform,CPU,"P | P | P | P | Ns | Ns",6,512,29,41.9177,788.7,3.38502,1.33018,831.531,835.333
