dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,float,uniform,CPU,"P | P | P | P | Ns | Ns",1,512,0,224.248,5.30076,27.2324,7.75475,264.656,264.536
3,float,uniform,CPU,"P | P | P | P | Ns | Ns",1,512,1,224.188,5.30207,27.2858,7.56122,264.438,264.337
3,float,uniform,CPU,"P | P | P | P | Ns | Ns",1,512,2,223.985,5.29363,27.1575,7.56224,264.084,263.999
3,float,uniform,CPU,"P | P | P | P | Ns | Ns",1,512,3,224.62,5.29288,27.3512,7.57043,264.92,264.835
3,float,uniform,CPU,"P | P | P | P | Ns | Ns",1,512,4,224.34,5.28894,27.1847,7.5776,264.476,264.391
3,float,uniform,CPU,"P | P | P | P | Ns | Ns",1,512,5,222.854,5.2916,27.3479,7.56019,263.142,263.054
3,float,uniform,CPU,"P | P | P | P | Ns | Ns",1,512,6,224.402,5.29195,27.3742,7.57658,264.73,264.645
3,float,uniform,CPU,"P | P | P | P | Ns | Ns",1,512,7,221.089,5.2916,27.321,7.55098,261.34,261.252
3,float,uniform,CPU,"P | P | P | P | Ns | Ns",1,512,8,222.536,5.29108,27.2565,7.5817,262.751,262.665
3,float,uniform,CPU,"P | P | P | P | Ns | Ns",1,512,9,224.204,5.29328,27.2943,7.57658,264.459,264.368
3,float,uniform,CPU,"P | P | P | P | Ns | Ns",1,512,10,225.707,5.28913,27.338,7.57248,265.993,265.907
3,float,uniform,CPU,"P | P | P | P | Ns | Ns",1,512,11,222.69,5.29113,27.1931,7.56122,262.828,262.735
3,float,uniform,CPU,"P | P | P | P | Ns | Ns",1,512,12,224.572,5.29344,27.3663,7.57248,264.893,264.804
3,float,uniform,CPU,"P | P | P | P | Ns | Ns",1,512,13,223.978,5.29195,27.2937,7.56122,264.212,264.125
3,float,uniform,CPU,"P | P | P | P | Ns | Ns",1,512,14,224.444,5.29106,27.3469,7.58374,264.75,264.665
3,float,uniform,CPU,"P | P | P | P | Ns | Ns",1,512,15,224.238,5.29239,27.2651,7.56224,264.446,264.357
3,float,uniform,CPU,"P | P | P | P | Ns | Ns",1,512,16,224.312,5.29122,27.1137,7.57248,264.375,264.29
3,float,uniform,CPU,"P | P | P | P | Ns | Ns",1,512,17,222.318,5.29275,27.2059,7.57043,262.475,262.387
3,float,uniform,CPU,"P | P | P | P | Ns | Ns",1,512,18,223.839,5.2914,27.2211,7.55712,263.993,263.909
3,float,uniform,CPU,"P | P | P | P | Ns | Ns",1,512,19,222.251,5.29194,27.2728,7.56224,262.464,262.378
3,float,uniform,CPU,"P | P | P | P | Ns | Ns",1,512,20,225.052,5.29654,27.0332,7.55917,265.027,264.941
3,float,uniform,CPU,"P | P | P | P | Ns | Ns",1,512,21,225.172,5.2917,27.3612,7.57146,265.483,265.396
3,float,uniform,CPU,"P | P | P | P | Ns | Ns",1,512,22,224.533,5.29239,27.0511,7.56838,264.531,264.445
3,float,uniform,CPU,"P | P | P | P | Ns | Ns",1,512,23,225.448,5.29106,27.2582,7.56838,265.654,265.566
3,float,uniform,CPU,"P | P | P | P | Ns | Ns",1,512,24,220.905,5.29095,27.4027,7.58579,261.27,261.185
3,float,uniform,CPU,"P | P | P | P | Ns | Ns",1,512,25,224.465,5.29332,26.7783,7.58784,264.215,264.125
3,float,uniform,CPU,"P | P | P | P | Ns | Ns",1,512,26,224.251,5.2935,27.3074,7.60013,264.54,264.452
3,float,uniform,CPU,"P | P | P | P | Ns | Ns",1,512,27,222.356,5.29079,27.2737,7.56326,262.571,262.483
3,float,uniform,CPU,"P | P | P | P | Ns | Ns",1,512,28,224.239,5.2902,27.2584,7.58067,264.458,264.368
3,float,uniform,CPU,"P | P | P | P | Ns | Ns",1,512,29,222.288,5.29246,27.2819,7.56736,262.518,262.43
