dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,float,uniform,GPU,"P | P | P | P | P | P",6,512,0,0.579488,0,1863.99,2.33162,1867.08,1866.9
3,float,uniform,GPU,"P | P | P | P | P | P",6,512,1,0.497856,0,1633.55,1.27277,1635.43,1635.32
3,float,uniform,GPU,"P | P | P | P | P | P",6,512,2,0.514688,0,1621.73,1.27171,1623.64,1623.52
3,float,uniform,GPU,"P | P | P | P | P | P",6,512,3,0.496704,0,1621.64,1.25034,1623.51,1623.39
3,float,uniform,GPU,"P | P | P | P | P | P",6,512,4,0.509408,0,1621.64,1.27072,1623.54,1623.42
3,float,uniform,GPU,"P | P | P | P | P | P",6,512,5,0.496384,0,1614.78,1.24618,1616.63,1616.53
3,float,uniform,GPU,"P | P | P | P | P | P",6,512,6,0.497792,0,1645.8,1.23594,1647.66,1647.54
3,float,uniform,GPU,"P | P | P | P | P | P",6,512,7,0.50784,0,1620.62,1.24621,1622.5,1622.37
3,float,uniform,GPU,"P | P | P | P | P | P",6,512,8,0.49664,0,1625.48,1.25536,1627.34,1627.23
3,float,uniform,GPU,"P | P | P | P | P | P",6,512,9,0.502208,0,1618.12,1.24006,1619.95,1619.86
3,float,uniform,GPU,"P | P | P | P | P | P",6,512,10,0.498624,0,1621.29,1.24304,1623.14,1623.03
3,float,uniform,GPU,"P | P | P | P | P | P",6,512,11,0.502368,0,1629.17,1.23907,1631,1630.91
3,float,uniform,GPU,"P | P | P | P | P | P",6,512,12,0.505344,0,1624.49,1.2585,1626.38,1626.26
3,float,uniform,GPU,"P | P | P | P | P | P",6,512,13,0.5032,0,1628.58,1.25738,1630.44,1630.34
3,float,uniform,GPU,"P | P | P | P | P | P",6,512,14,0.502752,0,1840.39,1.23594,1842.22,1842.12
3,float,uniform,GPU,"P | P | P | P | P | P",6,512,15,0.50016,0,1698.34,1.25126,1700.19,1700.09
3,float,uniform,GPU,"P | P | P | P | P | P",6,512,16,0.495648,0,1661.25,1.23898,1663.08,1662.98
3,float,uniform,GPU,"P | P | P | P | P | P",6,512,17,0.505472,0,1632.78,1.25331,1634.65,1634.54
3,float,uniform,GPU,"P | P | P | P | P | P",6,512,18,0.497536,0,1632.95,1.23693,1634.79,1634.68
3,float,uniform,GPU,"P | P | P | P | P | P",6,512,19,0.496256,0,1614.29,1.24208,1616.12,1616.02
3,float,uniform,GPU,"P | P | P | P | P | P",6,512,20,0.4968,0,1617.14,1.24304,1618.98,1618.88
3,float,uniform,GPU,"P | P | P | P | P | P",6,512,21,0.508608,0,1624.27,1.24512,1626.15,1626.03
3,float,uniform,GPU,"P | P | P | P | P | P",6,512,22,0.503616,0,1622.16,1.25533,1624.03,1623.92
3,float,uniform,GPU,"P | P | P | P | P | P",6,512,23,0.499104,0,1626.45,1.24922,1628.28,1628.2
3,float,uniform,GPU,"P | P | P | P | P | P",6,512,24,0.4968,0,1634.18,1.24512,1636.03,1635.93
3,float,uniform,GPU,"P | P | P | P | P | P",6,512,25,0.495584,0,1616.16,1.2431,1618,1617.9
3,float,uniform,GPU,"P | P | P | P | P | P",6,512,26,0.495616,0,1616.39,1.24205,1618.23,1618.13
3,float,uniform,GPU,"P | P | P | P | P | P",6,512,27,0.508608,0,1614.92,1.23898,1616.77,1616.67
3,float,uniform,GPU,"P | P | P | P | P | P",6,512,28,0.496032,0,1618.2,1.2431,1620.04,1619.94
3,float,uniform,GPU,"P | P | P | P | P | P",6,512,29,0.498688,0,1616.02,1.23078,1617.85,1617.74
