dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",8,512,0,1.32784,1110.56,3.23236,1.0168,1115.52,1116.14
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",8,512,1,0.749472,937.696,3.22167,0.774144,938.314,942.441
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",8,512,2,0.754336,956.32,3.21898,0.77824,950.968,961.072
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",8,512,3,0.749568,960.313,3.19445,0.776192,944.691,965.034
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",8,512,4,0.754656,963.711,3.22691,0.779264,957.715,968.472
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",8,512,5,0.760128,975.05,3.20806,0.771072,979.821,979.79
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",8,512,6,0.748736,964.092,3.20439,0.769024,967.645,968.814
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",8,512,7,0.752608,975.832,3.22177,0.77312,980.588,980.579
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",8,512,8,0.76112,936.152,3.22022,0.774144,935.79,940.907
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",8,512,9,0.754208,974.008,3.23784,0.777216,978.8,978.777
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",8,512,10,0.750592,932.662,3.20215,0.774144,931.596,937.389
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",8,512,11,0.722592,957.529,3.16751,0.720864,955.799,962.14
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",8,512,12,0.722912,1019.26,3.18736,0.72496,1018.82,1023.9
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",8,512,13,0.752032,948.524,3.21493,0.777216,953.278,953.268
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",8,512,14,0.75648,931.537,3.19443,0.772096,933.234,936.26
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",8,512,15,0.75712,974.407,3.21641,0.768,977.561,979.148
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",8,512,16,0.72896,930.352,3.15636,0.722912,931.81,934.96
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",8,512,17,0.750208,955.179,3.21916,0.77312,959.935,959.922
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",8,512,18,0.74912,951.07,3.21204,0.771072,955.795,955.802
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",8,512,19,0.756384,965.83,3.20323,0.769024,966.368,970.558
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",8,512,20,0.746304,984.19,3.19845,0.775168,977.311,988.91
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",8,512,21,0.750752,960.516,3.20937,0.779264,965.26,965.255
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",8,512,22,0.729632,934.87,3.17841,0.734176,933.647,939.512
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",8,512,23,0.750688,982.754,3.20658,0.768,982.715,987.48
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",8,512,24,0.72944,959.033,3.16449,0.721856,962.398,963.649
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",8,512,25,0.766112,947.06,3.1995,0.770048,951.847,951.795
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",8,512,26,0.723648,944.785,3.18759,0.722944,948.901,949.419
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",8,512,27,0.752384,949.725,3.2111,0.776192,950.709,954.465
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",8,512,28,0.752288,983.596,3.21393,0.772096,971.137,988.334
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",8,512,29,0.721536,953.978,3.18009,0.720896,958.534,958.6
