dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,double,uniform,GPU,"D | D | D | D | D | D",2,512,0,3.30336,23.0985,31.6644,3.10682,61.2456,61.1731
3,double,uniform,GPU,"D | D | D | D | D | D",2,512,1,2.8952,17.7066,31.6057,2.95424,55.2369,55.1617
3,double,uniform,GPU,"D | D | D | D | D | D",2,512,2,2.88413,17.631,31.6693,2.9655,55.2269,55.1499
3,double,uniform,GPU,"D | D | D | D | D | D",2,512,3,2.88397,17.7259,31.5358,2.95424,55.1539,55.0999
3,double,uniform,GPU,"D | D | D | D | D | D",2,512,4,2.88774,17.8035,31.6292,2.95014,55.345,55.2705
3,double,uniform,GPU,"D | D | D | D | D | D",2,512,5,2.8935,17.7279,31.579,2.96653,55.2417,55.1669
3,double,uniform,GPU,"D | D | D | D | D | D",2,512,6,2.88915,17.6647,31.6676,2.95322,55.2495,55.1746
3,double,uniform,GPU,"D | D | D | D | D | D",2,512,7,2.88317,17.7342,31.6088,2.95219,55.2553,55.1784
3,double,uniform,GPU,"D | D | D | D | D | D",2,512,8,2.89219,17.7589,31.6506,2.95629,55.2858,55.2579
3,double,uniform,GPU,"D | D | D | D | D | D",2,512,9,2.89219,17.8098,31.5857,2.95219,55.2858,55.2399
3,double,uniform,GPU,"D | D | D | D | D | D",2,512,10,2.90813,17.756,31.6511,2.95731,55.3887,55.2726
3,double,uniform,GPU,"D | D | D | D | D | D",2,512,11,2.90381,17.7109,31.6324,2.95629,55.2783,55.2034
3,double,uniform,GPU,"D | D | D | D | D | D",2,512,12,2.88621,17.8064,31.5903,2.95219,55.261,55.235
3,double,uniform,GPU,"D | D | D | D | D | D",2,512,13,2.89712,17.7138,31.6403,2.95526,55.2238,55.2064
3,double,uniform,GPU,"D | D | D | D | D | D",2,512,14,2.88998,17.717,31.5843,2.94707,55.2161,55.1384
3,double,uniform,GPU,"D | D | D | D | D | D",2,512,15,2.89898,17.7106,31.5959,2.95117,55.2306,55.1566
3,double,uniform,GPU,"D | D | D | D | D | D",2,512,16,2.89568,17.7938,31.5381,2.95731,55.262,55.1849
3,double,uniform,GPU,"D | D | D | D | D | D",2,512,17,2.89136,17.7465,31.5906,2.95424,55.2607,55.1826
3,double,uniform,GPU,"D | D | D | D | D | D",2,512,18,2.88496,17.8178,31.5339,2.95424,55.2661,55.1909
3,double,uniform,GPU,"D | D | D | D | D | D",2,512,19,2.88653,17.7719,31.5425,2.95424,55.1698,55.1552
3,double,uniform,GPU,"D | D | D | D | D | D",2,512,20,2.89187,17.7851,31.5557,2.95424,55.2632,55.1869
3,double,uniform,GPU,"D | D | D | D | D | D",2,512,21,2.8944,17.7622,31.5769,2.95117,55.1813,55.1847
3,double,uniform,GPU,"D | D | D | D | D | D",2,512,22,2.8881,17.7304,31.6159,2.95731,55.2651,55.1918
3,double,uniform,GPU,"D | D | D | D | D | D",2,512,23,2.88051,17.6263,31.6566,2.95526,55.1965,55.1187
3,double,uniform,GPU,"D | D | D | D | D | D",2,512,24,2.90006,17.7009,31.5533,2.96346,55.063,55.1177
3,double,uniform,GPU,"D | D | D | D | D | D",2,512,25,2.90768,17.6901,31.6884,2.95629,55.3166,55.2425
3,double,uniform,GPU,"D | D | D | D | D | D",2,512,26,2.88442,17.7061,31.6361,2.96243,55.2648,55.1891
3,double,uniform,GPU,"D | D | D | D | D | D",2,512,27,2.88525,17.7088,31.6146,2.96448,55.2489,55.1732
3,double,uniform,GPU,"D | D | D | D | D | D",2,512,28,2.8857,17.7005,31.7168,2.95424,55.228,55.2573
3,double,uniform,GPU,"D | D | D | D | D | D",2,512,29,2.89366,17.6689,31.5425,2.94707,55.129,55.0522
