dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,float,uniform,GPU,"P | P | P | P | N | D",4,512,0,0.766592,1105.2,5.08827,2.36339,1112,1113.42
3,float,uniform,GPU,"P | P | P | P | N | D",4,512,1,0.72064,1023.57,5.0345,1.90362,1029.03,1031.23
3,float,uniform,GPU,"P | P | P | P | N | D",4,512,2,0.729056,1022.47,5.05064,1.90464,1030.06,1030.16
3,float,uniform,GPU,"P | P | P | P | N | D",4,512,3,0.725344,1021.17,4.98357,1.78896,1026.93,1028.67
3,float,uniform,GPU,"P | P | P | P | N | D",4,512,4,0.721408,1002.03,5.02997,1.80941,1008.53,1009.59
3,float,uniform,GPU,"P | P | P | P | N | D",4,512,5,0.7048,1038.04,4.99735,1.79398,1044.74,1045.53
3,float,uniform,GPU,"P | P | P | P | N | D",4,512,6,0.701216,1013.26,4.9797,1.78582,1019.68,1020.72
3,float,uniform,GPU,"P | P | P | P | N | D",4,512,7,0.726112,1015.02,4.97848,1.78374,1022.64,1022.5
3,float,uniform,GPU,"P | P | P | P | N | D",4,512,8,0.701152,1015.43,4.95331,1.78576,1022.23,1022.87
3,float,uniform,GPU,"P | P | P | P | N | D",4,512,9,0.7016,1023.21,4.9627,1.78576,1030.62,1030.66
3,float,uniform,GPU,"P | P | P | P | N | D",4,512,10,0.72,1037.25,5.2353,1.92102,1045.28,1045.13
3,float,uniform,GPU,"P | P | P | P | N | D",4,512,11,0.738656,1029.7,5.02396,1.80525,1035.17,1037.27
3,float,uniform,GPU,"P | P | P | P | N | D",4,512,12,0.721728,1015.02,4.99296,1.78378,1022.66,1022.52
3,float,uniform,GPU,"P | P | P | P | N | D",4,512,13,0.72816,1014.66,4.96532,1.78784,1020.1,1022.14
3,float,uniform,GPU,"P | P | P | P | N | D",4,512,14,0.723168,1017.04,4.97769,1.7817,1023.36,1024.52
3,float,uniform,GPU,"P | P | P | P | N | D",4,512,15,0.724032,1044.58,4.97805,1.7817,1052.21,1052.07
3,float,uniform,GPU,"P | P | P | P | N | D",4,512,16,0.725984,1031.07,4.98238,1.78374,1037.99,1038.57
3,float,uniform,GPU,"P | P | P | P | N | D",4,512,17,0.7272,1026.21,4.97885,1.78576,1031.88,1033.71
3,float,uniform,GPU,"P | P | P | P | N | D",4,512,18,0.72528,1032.19,4.96522,1.78173,1037.93,1039.66
3,float,uniform,GPU,"P | P | P | P | N | D",4,512,19,0.716224,1033.73,5.03156,1.80938,1039.76,1041.29
3,float,uniform,GPU,"P | P | P | P | N | D",4,512,20,0.706656,1011.03,4.99622,1.78986,1017.2,1018.52
3,float,uniform,GPU,"P | P | P | P | N | D",4,512,21,0.72544,1009.5,4.96138,1.78474,1015.21,1016.97
3,float,uniform,GPU,"P | P | P | P | N | D",4,512,22,0.729344,1041.7,4.9521,1.78986,1049.05,1049.17
3,float,uniform,GPU,"P | P | P | P | N | D",4,512,23,0.726336,1015.98,4.97458,1.78173,1022.06,1023.46
3,float,uniform,GPU,"P | P | P | P | N | D",4,512,24,0.724416,1001.16,4.96546,1.78474,1008.04,1008.64
3,float,uniform,GPU,"P | P | P | P | N | D",4,512,25,0.724608,1031.09,4.96797,1.78176,1037.78,1038.57
3,float,uniform,GPU,"P | P | P | P | N | D",4,512,26,0.71984,1039.24,5.05049,1.80726,1045.67,1046.82
3,float,uniform,GPU,"P | P | P | P | N | D",4,512,27,0.702016,1016.8,4.99255,1.79702,1023.91,1024.29
3,float,uniform,GPU,"P | P | P | P | N | D",4,512,28,0.727488,1017.45,4.97602,1.78688,1024.02,1024.94
3,float,uniform,GPU,"P | P | P | P | N | D",4,512,29,0.723456,1025.87,4.98911,1.78166,1033.5,1033.37
