dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,float,uniform,GPU,"D | D | D | D | D | D",4,512,0,1.35034,18.2631,8.61667,1.1305,28.4508,29.3606
3,float,uniform,GPU,"D | D | D | D | D | D",4,512,1,0.885408,8.87061,8.61699,0.9984,18.2353,19.3714
3,float,uniform,GPU,"D | D | D | D | D | D",4,512,2,0.888352,8.87467,8.60045,1.00147,18.2485,19.3649
3,float,uniform,GPU,"D | D | D | D | D | D",4,512,3,0.891168,8.88515,8.61092,0.997376,18.2509,19.3846
3,float,uniform,GPU,"D | D | D | D | D | D",4,512,4,0.885312,8.87829,8.60053,0.999392,18.2385,19.3635
3,float,uniform,GPU,"D | D | D | D | D | D",4,512,5,0.885664,8.88265,8.60021,1.00045,18.2462,19.369
3,float,uniform,GPU,"D | D | D | D | D | D",4,512,6,0.881888,8.873,8.60587,1.00147,18.2326,19.3622
3,float,uniform,GPU,"D | D | D | D | D | D",4,512,7,0.88848,8.88237,8.60827,1.00352,18.2604,19.3826
3,float,uniform,GPU,"D | D | D | D | D | D",4,512,8,0.880224,8.87688,8.60692,1.00147,18.2316,19.3655
3,float,uniform,GPU,"D | D | D | D | D | D",4,512,9,0.885088,8.87809,8.6037,0.996352,18.2355,19.3632
3,float,uniform,GPU,"D | D | D | D | D | D",4,512,10,0.890048,8.87498,8.60332,1.00147,18.2353,19.3698
3,float,uniform,GPU,"D | D | D | D | D | D",4,512,11,0.887936,8.89922,8.61211,0.995328,18.2699,19.3946
3,float,uniform,GPU,"D | D | D | D | D | D",4,512,12,0.886304,8.8731,8.59452,1.00864,18.2291,19.3626
3,float,uniform,GPU,"D | D | D | D | D | D",4,512,13,0.885472,8.88098,8.598,0.9984,18.2239,19.3628
3,float,uniform,GPU,"D | D | D | D | D | D",4,512,14,0.88672,8.87064,8.59562,1.00762,18.2339,19.3606
3,float,uniform,GPU,"D | D | D | D | D | D",4,512,15,0.889024,8.86364,8.60697,0.996352,18.2285,19.356
3,float,uniform,GPU,"D | D | D | D | D | D",4,512,16,0.886208,8.87298,8.6003,0.997376,18.2277,19.3569
3,float,uniform,GPU,"D | D | D | D | D | D",4,512,17,0.883168,8.87535,8.59607,0.996352,18.2255,19.3509
3,float,uniform,GPU,"D | D | D | D | D | D",4,512,18,0.887648,8.86924,8.59213,0.999424,18.211,19.3484
3,float,uniform,GPU,"D | D | D | D | D | D",4,512,19,0.884928,8.87185,8.59159,1.00147,18.2161,19.3498
3,float,uniform,GPU,"D | D | D | D | D | D",4,512,20,0.888832,8.87218,8.60513,0.9984,18.2261,19.3645
3,float,uniform,GPU,"D | D | D | D | D | D",4,512,21,0.886656,8.87721,8.60445,1.00352,18.2394,19.3718
3,float,uniform,GPU,"D | D | D | D | D | D",4,512,22,0.887232,8.86892,8.59928,1.00147,18.2218,19.3569
3,float,uniform,GPU,"D | D | D | D | D | D",4,512,23,0.89184,8.87627,8.60129,1.00045,18.2275,19.3698
3,float,uniform,GPU,"D | D | D | D | D | D",4,512,24,0.889504,8.86196,8.59739,1.0025,18.2159,19.3513
3,float,uniform,GPU,"D | D | D | D | D | D",4,512,25,0.885152,8.86677,8.60213,0.9984,18.2223,19.3525
3,float,uniform,GPU,"D | D | D | D | D | D",4,512,26,0.883008,8.8739,8.60283,1.00352,18.2302,19.3633
3,float,uniform,GPU,"D | D | D | D | D | D",4,512,27,0.885984,8.86639,8.60519,0.999424,18.2218,19.357
3,float,uniform,GPU,"D | D | D | D | D | D",4,512,28,0.884544,8.87104,8.59341,1.00762,18.2189,19.3566
3,float,uniform,GPU,"D | D | D | D | D | D",4,512,29,0.887264,8.87127,8.59669,0.996352,18.2307,19.3516
