dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,float,uniform,CPU,"P | P | P | P | Ns | Ns",6,512,0,44.4963,556.191,3.44216,1.54307,605.873,605.672
3,float,uniform,CPU,"P | P | P | P | Ns | Ns",6,512,1,42.6748,421.391,3.41969,1.18781,468.804,468.673
3,float,uniform,CPU,"P | P | P | P | Ns | Ns",6,512,2,42.8776,438.104,3.37193,1.18262,484.362,485.536
3,float,uniform,CPU,"P | P | P | P | Ns | Ns",6,512,3,42.7055,612.327,3.37693,1.18368,645.731,659.594
3,float,uniform,CPU,"P | P | P | P | Ns | Ns",6,512,4,42.7511,436.032,3.40663,1.19805,481.745,483.388
3,float,uniform,CPU,"P | P | P | P | Ns | Ns",6,512,5,42.6143,448.482,3.40304,1.18675,477.892,495.686
3,float,uniform,CPU,"P | P | P | P | Ns | Ns",6,512,6,42.5225,425.454,3.41527,1.18467,472.695,472.576
3,float,uniform,CPU,"P | P | P | P | Ns | Ns",6,512,7,42.5178,418.396,3.44294,1.20829,465.728,465.565
3,float,uniform,CPU,"P | P | P | P | Ns | Ns",6,512,8,42.6294,415.565,3.38676,1.18058,461.237,462.762
3,float,uniform,CPU,"P | P | P | P | Ns | Ns",6,512,9,42.6345,424.236,3.39462,1.1888,460.962,471.454
3,float,uniform,CPU,"P | P | P | P | Ns | Ns",6,512,10,42.7724,421.151,3.40147,1.18573,464.205,468.51
3,float,uniform,CPU,"P | P | P | P | Ns | Ns",6,512,11,42.6643,420.483,3.40062,1.19085,465.655,467.739
3,float,uniform,CPU,"P | P | P | P | Ns | Ns",6,512,12,42.7425,431.127,3.39546,1.18982,474.98,478.455
3,float,uniform,CPU,"P | P | P | P | Ns | Ns",6,512,13,42.5653,415.962,3.40814,1.17968,463.23,463.115
3,float,uniform,CPU,"P | P | P | P | Ns | Ns",6,512,14,43.1386,413.64,3.38451,1.18675,459.188,461.35
3,float,uniform,CPU,"P | P | P | P | Ns | Ns",6,512,15,42.5852,416.935,3.41333,1.19187,464.243,464.126
3,float,uniform,CPU,"P | P | P | P | Ns | Ns",6,512,16,43.7708,415.628,3.46682,1.21027,460.628,464.076
3,float,uniform,CPU,"P | P | P | P | Ns | Ns",6,512,17,42.7904,416.157,3.39198,1.18266,461.066,463.522
3,float,uniform,CPU,"P | P | P | P | Ns | Ns",6,512,18,42.4911,413.799,3.40614,1.1817,460.993,460.878
3,float,uniform,CPU,"P | P | P | P | Ns | Ns",6,512,19,42.6855,435.496,3.40368,1.18371,482.883,482.769
3,float,uniform,CPU,"P | P | P | P | Ns | Ns",6,512,20,43.147,443.754,3.39114,1.18778,489.321,491.479
3,float,uniform,CPU,"P | P | P | P | Ns | Ns",6,512,21,43.2121,426.44,3.38181,1.18365,473.615,474.218
3,float,uniform,CPU,"P | P | P | P | Ns | Ns",6,512,22,43.041,422.91,3.40978,1.18573,470.658,470.546
3,float,uniform,CPU,"P | P | P | P | Ns | Ns",6,512,23,42.6394,413.074,3.39459,1.18272,460.405,460.29
3,float,uniform,CPU,"P | P | P | P | Ns | Ns",6,512,24,42.5462,417.412,3.41283,1.18675,464.684,464.558
3,float,uniform,CPU,"P | P | P | P | Ns | Ns",6,512,25,44.5625,416.014,3.48556,1.20419,465.417,465.266
3,float,uniform,CPU,"P | P | P | P | Ns | Ns",6,512,26,43.0062,421.719,3.40661,1.1888,469.464,469.321
3,float,uniform,CPU,"P | P | P | P | Ns | Ns",6,512,27,43.2106,412.566,3.39654,1.18266,460.234,460.356
3,float,uniform,CPU,"P | P | P | P | Ns | Ns",6,512,28,42.6027,413.417,3.37133,1.18467,458.005,460.576
3,float,uniform,CPU,"P | P | P | P | Ns | Ns",6,512,29,42.7235,412.798,3.38257,1.18266,460.106,460.087
