dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",8,512,0,65.5472,1148,4.34778,1.16934,1219.26,1219.06
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",8,512,1,59.3897,988.302,4.2409,0.722944,1039.54,1052.66
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",8,512,2,63.7856,987.257,4.22968,0.744448,1056.14,1056.02
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",8,512,3,59.7788,1014.1,4.20417,0.782336,1075.69,1078.87
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",8,512,4,63.8311,970.116,4.28535,0.747552,1039.12,1038.98
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",8,512,5,59.9949,949.555,4.17513,0.770048,1008.5,1014.49
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",8,512,6,60.3796,976.524,4.20328,0.790528,1039.59,1041.9
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",8,512,7,63.7308,953.039,4.24504,0.739264,1021.88,1021.75
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",8,512,8,64.2097,993.812,4.23533,0.736192,1063.12,1062.99
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",8,512,9,60.83,926.337,4.17392,0.771072,991.584,992.112
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",8,512,10,63.6045,931.056,4.22836,0.738272,999.753,999.627
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",8,512,11,61.385,929.595,4.19779,0.772096,994.644,995.95
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",8,512,12,63.907,1024.69,4.28525,0.736288,1093.73,1093.61
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",8,512,13,60.1687,1071.64,4.21225,0.72704,1126.82,1136.75
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",8,512,14,63.2187,1031.79,4.21892,0.72496,1092.71,1099.95
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",8,512,15,64.2195,1030.47,4.22152,0.724992,1099.76,1099.64
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",8,512,16,63.3118,1040.3,4.21458,0.722912,1108.66,1108.55
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",8,512,17,59.2806,1066.74,4.21392,0.77824,1130.91,1131.02
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",8,512,18,60.2669,974.712,4.21046,0.722944,1040.07,1039.91
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",8,512,19,63.6679,982.221,4.2017,0.720832,1050.91,1050.81
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",8,512,20,60.3117,1036.47,4.17325,0.774144,1094.35,1101.73
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",8,512,21,63.5912,1000.28,4.2131,0.722944,1068.42,1068.8
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",8,512,22,64.162,999.89,4.23168,0.731104,1066.78,1069.01
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",8,512,23,63.6361,992.794,4.30611,0.740352,1061.65,1061.48
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",8,512,24,63.4383,934.908,4.23658,0.739328,1003.44,1003.32
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",8,512,25,63.5542,1003.41,4.20859,0.728,1067.38,1071.91
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",8,512,26,63.5039,945.714,4.22163,0.724928,1014.28,1014.16
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",8,512,27,63.4651,950.409,4.22723,0.722912,1018.93,1018.82
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",8,512,28,60.2149,935.449,4.17711,0.775168,995.931,1000.62
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",8,512,29,63.5014,973.507,4.21988,0.731104,1042.08,1041.96
