dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,double,uniform,CPU,"D | D | D | D | D | D",8,512,0,65.7795,658.325,8.74091,1.07824,734.104,733.923
3,double,uniform,CPU,"D | D | D | D | D | D",8,512,1,64.3173,483.503,8.68332,0.73728,557.084,557.241
3,double,uniform,CPU,"D | D | D | D | D | D",8,512,2,64.3705,485.149,8.67976,0.740352,558.481,558.94
3,double,uniform,CPU,"D | D | D | D | D | D",8,512,3,63.6088,485.025,8.7418,0.753632,557.926,558.129
3,double,uniform,CPU,"D | D | D | D | D | D",8,512,4,64.2277,488.187,8.73009,0.734144,561.989,561.879
3,double,uniform,CPU,"D | D | D | D | D | D",8,512,5,63.9422,501.468,8.71265,0.745472,574.99,574.869
3,double,uniform,CPU,"D | D | D | D | D | D",8,512,6,59.2361,494.926,8.70126,0.743392,560.67,563.607
3,double,uniform,CPU,"D | D | D | D | D | D",8,512,7,63.6008,496.109,8.74485,0.765888,569.147,569.22
3,double,uniform,CPU,"D | D | D | D | D | D",8,512,8,59.2708,485.954,8.67055,0.73216,553.102,554.628
3,double,uniform,CPU,"D | D | D | D | D | D",8,512,9,59.6946,491.189,8.67631,0.736256,556.681,560.296
3,double,uniform,CPU,"D | D | D | D | D | D",8,512,10,59.7925,497.083,8.67231,0.73216,564.508,566.28
3,double,uniform,CPU,"D | D | D | D | D | D",8,512,11,59.6319,494.242,8.66692,0.735232,557.971,563.276
3,double,uniform,CPU,"D | D | D | D | D | D",8,512,12,63.8993,491.42,8.67021,0.735232,564.754,564.725
3,double,uniform,CPU,"D | D | D | D | D | D",8,512,13,60.1704,494.186,8.69293,0.734176,561.824,563.784
3,double,uniform,CPU,"D | D | D | D | D | D",8,512,14,63.5957,487.474,8.67817,0.737216,560.458,560.485
3,double,uniform,CPU,"D | D | D | D | D | D",8,512,15,63.9678,492.87,8.70497,0.741376,566.408,566.284
3,double,uniform,CPU,"D | D | D | D | D | D",8,512,16,63.8086,489.375,8.67615,0.739296,562.716,562.599
3,double,uniform,CPU,"D | D | D | D | D | D",8,512,17,59.4995,486.284,8.68799,0.743424,552.844,555.215
3,double,uniform,CPU,"D | D | D | D | D | D",8,512,18,64.2312,488.528,8.66729,0.734176,562.164,562.16
3,double,uniform,CPU,"D | D | D | D | D | D",8,512,19,59.8342,497.82,8.6697,0.734208,566.747,567.058
3,double,uniform,CPU,"D | D | D | D | D | D",8,512,20,64.2339,498.952,8.68113,0.733216,572.709,572.601
3,double,uniform,CPU,"D | D | D | D | D | D",8,512,21,59.7675,492.751,8.66844,0.733184,560.471,561.92
3,double,uniform,CPU,"D | D | D | D | D | D",8,512,22,59.7712,506.618,8.67013,0.73216,574.732,575.791
3,double,uniform,CPU,"D | D | D | D | D | D",8,512,23,64.3503,500.463,8.67651,0.741376,574.035,574.231
3,double,uniform,CPU,"D | D | D | D | D | D",8,512,24,59.4778,506.73,8.66177,0.73216,569.287,575.601
3,double,uniform,CPU,"D | D | D | D | D | D",8,512,25,64.266,512.29,8.66529,0.7352,585.82,585.957
3,double,uniform,CPU,"D | D | D | D | D | D",8,512,26,59.2818,503.867,8.66161,0.73216,572.164,572.542
3,double,uniform,CPU,"D | D | D | D | D | D",8,512,27,60.2368,526.356,8.68762,0.744512,592.344,596.025
3,double,uniform,CPU,"D | D | D | D | D | D",8,512,28,59.5378,525.168,8.66191,0.73728,583.312,594.105
3,double,uniform,CPU,"D | D | D | D | D | D",8,512,29,59.6521,510.427,8.66917,0.733184,577.795,579.482
