dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,double,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",8,512,0,61.2625,629.472,2.11953,0.577504,692.188,693.431
3,double,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",8,512,1,59.7527,512.106,2.10019,0.374752,569.544,574.334
3,double,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",8,512,2,59.5161,498.685,2.08234,0.370688,558.635,560.654
3,double,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",8,512,3,59.8036,496.63,2.07066,0.371712,559.032,558.876
3,double,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",8,512,4,59.8413,493.315,2.07798,0.372704,555.526,555.607
3,double,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",8,512,5,59.654,490.526,2.10705,0.379904,549.579,552.667
3,double,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",8,512,6,64.1854,497.118,2.12083,0.3768,565.064,563.801
3,double,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",8,512,7,59.9468,495.727,2.07337,0.373728,557.07,558.12
3,double,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",8,512,8,63.5405,499.298,2.10319,0.384992,566.159,565.327
3,double,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",8,512,9,63.586,494.939,2.08073,0.37376,562.199,560.979
3,double,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",8,512,10,63.4274,510.309,2.07355,0.371712,577.133,576.181
3,double,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",8,512,11,63.4326,509.116,2.07682,0.374784,576.015,575.001
3,double,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",8,512,12,63.4841,512.401,2.07663,0.372704,579.243,578.335
3,double,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",8,512,13,63.5078,499.775,2.07079,0.372768,566.946,565.726
3,double,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",8,512,14,63.4194,521.049,2.07785,0.373728,588.125,586.92
3,double,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",8,512,15,59.5007,509.723,2.07137,0.372704,570.942,571.668
3,double,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",8,512,16,59.7608,512.291,2.07814,0.3768,571.545,574.507
3,double,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",8,512,17,63.6222,505.108,2.07029,0.372736,572.327,571.174
3,double,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",8,512,18,59.8046,524.768,2.07951,0.37376,584.661,587.026
3,double,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",8,512,19,59.9981,516.927,2.07449,0.37168,580.223,579.371
3,double,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",8,512,20,59.6708,508.838,2.07872,0.370688,564.907,570.959
3,double,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",8,512,21,59.8384,506.032,2.07212,0.372704,566.345,568.316
3,double,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",8,512,22,63.4636,494.591,2.0837,0.370688,561.362,560.509
3,double,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",8,512,23,63.5876,525.089,2.07841,0.373728,592.076,591.128
3,double,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",8,512,24,60.183,517.125,2.07771,0.373728,580.767,579.76
3,double,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",8,512,25,60.1248,500.568,2.08079,0.373728,563.656,563.147
3,double,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",8,512,26,63.419,510.028,2.07428,0.374816,577.133,575.896
3,double,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",8,512,27,63.4556,511.928,2.076,0.375776,578.904,577.835
3,double,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",8,512,28,60.4704,505.552,2.09695,0.374784,565.748,568.494
3,double,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",8,512,29,64.1436,508.206,2.07276,0.374752,575.331,574.797
