dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,double,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",6,512,0,74.9887,944.834,2.81708,0.842752,941.549,1023.48
3,double,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",6,512,1,75.0883,903.048,2.78372,0.749568,896.021,981.67
3,double,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",6,512,2,75.4019,877.949,2.7582,0.7424,871.458,956.851
3,double,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",6,512,3,74.6711,878.878,2.77679,0.75776,872.382,957.084
3,double,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",6,512,4,75.3292,877.071,2.76143,0.735232,870.404,955.896
3,double,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",6,512,5,75.1895,893.593,2.77285,0.751616,895.746,972.307
3,double,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",6,512,6,74.5335,882.952,2.77167,0.67072,871.286,960.927
3,double,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",6,512,7,74.9181,881.116,2.76572,0.751616,884.767,959.552
3,double,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",6,512,8,75.8234,873.87,2.7631,0.763904,874.257,953.22
3,double,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",6,512,9,75.4254,892.15,2.7633,0.74752,876.473,971.086
3,double,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",6,512,10,75.2589,880.341,2.76462,0.731136,884.063,959.095
3,double,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",6,512,11,75.4268,876.459,2.7893,0.741376,858.226,955.416
3,double,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",6,512,12,75.35,882.294,2.76684,0.741376,870.401,961.152
3,double,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",6,512,13,73.7294,867.029,2.78437,0.754688,857.995,944.298
3,double,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",6,512,14,75.3069,890.909,2.76102,0.735232,884.25,969.712
3,double,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",6,512,15,75.1511,890.166,2.76504,0.74752,893.986,968.829
3,double,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",6,512,16,74.7411,885.695,2.76584,0.751616,870.146,963.953
3,double,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",6,512,17,74.6782,876.126,2.7624,0.73216,893.097,954.299
3,double,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",6,512,18,74.6362,872.511,2.76384,0.734208,881.908,950.645
3,double,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",6,512,19,74.3307,877.244,2.76669,0.756736,868.935,955.098
3,double,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",6,512,20,74.5092,883.946,2.76234,0.734208,882.588,961.951
3,double,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",6,512,21,74.4999,888.831,2.76514,0.760832,878.647,966.857
3,double,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",6,512,22,74.716,887.743,2.77,0.763904,890.218,965.993
3,double,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",6,512,23,74.9323,878.803,2.77765,0.759808,857.328,957.273
3,double,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",6,512,24,75.6945,877.491,2.76182,0.741376,871.791,956.689
3,double,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",6,512,25,76.0244,888.378,2.77013,0.746496,884.583,967.919
3,double,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",6,512,26,75.7575,899.862,2.77258,0.748544,897.221,979.14
3,double,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",6,512,27,75.2822,903.59,2.76653,0.739328,900.816,982.378
3,double,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",6,512,28,75.4938,911.358,2.75934,0.739328,907.096,990.35
3,double,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",6,512,29,75.6919,895.971,2.76505,0.738304,888.986,975.166
