dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,double,uniform,GPU,"P | P | P | P | N | D",6,512,0,1.59558,1058.7,6.70607,2.68998,1066.11,1069.69
3,double,uniform,GPU,"P | P | P | P | N | D",6,512,1,0.974912,826.248,7.21468,2.33267,836.586,836.77
3,double,uniform,GPU,"P | P | P | P | N | D",6,512,2,0.978112,851.513,7.17234,2.35418,851.053,862.018
3,double,uniform,GPU,"P | P | P | P | N | D",6,512,3,0.984416,827.852,7.21143,2.33062,838.221,838.378
3,double,uniform,GPU,"P | P | P | P | N | D",6,512,4,0.977056,835.746,7.19135,2.31629,834.734,846.231
3,double,uniform,GPU,"P | P | P | P | N | D",6,512,5,0.932128,822.675,6.67115,2.26198,832.091,832.54
3,double,uniform,GPU,"P | P | P | P | N | D",6,512,6,0.980256,819.595,7.22159,2.34701,827.229,830.144
3,double,uniform,GPU,"P | P | P | P | N | D",6,512,7,0.957504,823.779,6.76648,2.38899,833.703,833.892
3,double,uniform,GPU,"P | P | P | P | N | D",6,512,8,0.98096,833.213,7.1525,2.32243,843.526,843.669
3,double,uniform,GPU,"P | P | P | P | N | D",6,512,9,0.931104,821.559,6.68992,2.26093,831.549,831.441
3,double,uniform,GPU,"P | P | P | P | N | D",6,512,10,0.962176,821.987,6.77577,2.37875,829.182,832.104
3,double,uniform,GPU,"P | P | P | P | N | D",6,512,11,0.977408,833.392,7.21261,2.33062,836.227,843.913
3,double,uniform,GPU,"P | P | P | P | N | D",6,512,12,0.977376,822.46,7.14592,2.32243,831.631,832.906
3,double,uniform,GPU,"P | P | P | P | N | D",6,512,13,0.964288,827.18,6.78503,2.3767,836.993,837.306
3,double,uniform,GPU,"P | P | P | P | N | D",6,512,14,0.963904,820.716,6.77657,2.38592,830.877,830.843
3,double,uniform,GPU,"P | P | P | P | N | D",6,512,15,0.97328,832.181,7.15026,2.37158,842.538,842.676
3,double,uniform,GPU,"P | P | P | P | N | D",6,512,16,0.932992,829.438,6.67014,2.2599,835.625,839.301
3,double,uniform,GPU,"P | P | P | P | N | D",6,512,17,0.97584,823.657,7.17082,2.32448,831.373,834.128
3,double,uniform,GPU,"P | P | P | P | N | D",6,512,18,0.97968,820.888,7.17476,2.34701,831.118,831.39
3,double,uniform,GPU,"P | P | P | P | N | D",6,512,19,0.973216,827.45,7.17395,2.33472,837.158,837.932
3,double,uniform,GPU,"P | P | P | P | N | D",6,512,20,0.97984,819.193,7.16579,2.31526,829.71,829.654
3,double,uniform,GPU,"P | P | P | P | N | D",6,512,21,0.930944,823,6.69368,2.25885,833,832.883
3,double,uniform,GPU,"P | P | P | P | N | D",6,512,22,0.976256,821.71,7.17661,2.34701,824.372,832.21
3,double,uniform,GPU,"P | P | P | P | N | D",6,512,23,0.929728,828.418,6.65446,2.26707,832.39,838.269
3,double,uniform,GPU,"P | P | P | P | N | D",6,512,24,0.980416,822.529,7.22879,2.31219,830.877,833.05
3,double,uniform,GPU,"P | P | P | P | N | D",6,512,25,0.979104,823.87,7.15253,2.34906,831.495,834.35
3,double,uniform,GPU,"P | P | P | P | N | D",6,512,26,0.938496,820.373,6.69276,2.26195,830.375,830.266
3,double,uniform,GPU,"P | P | P | P | N | D",6,512,27,0.976096,819.107,7.20648,2.31526,829.493,829.605
3,double,uniform,GPU,"P | P | P | P | N | D",6,512,28,0.932064,890.828,6.70112,2.26096,900.842,900.722
3,double,uniform,GPU,"P | P | P | P | N | D",6,512,29,0.93072,882.29,6.69248,2.26093,892.284,892.174
