dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,double,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",6,512,0,1.5751,706.717,5.77988,1.42234,714.345,715.495
3,double,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",6,512,1,0.975552,460.714,5.68825,1.08544,467.33,468.463
3,double,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",6,512,2,0.93184,446.628,5.69803,1.01885,453.955,454.277
3,double,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",6,512,3,0.973248,442.433,5.64453,1.08954,449.065,450.14
3,double,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",6,512,4,0.929952,444.611,5.70411,1.01677,451.155,452.262
3,double,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",6,512,5,0.926688,439.442,5.69414,1.0127,446.912,447.076
3,double,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",6,512,6,0.930304,442.956,5.70676,1.01885,449.474,450.612
3,double,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",6,512,7,0.928608,444.618,5.69627,1.01677,451.942,452.26
3,double,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",6,512,8,0.934624,444.255,5.79505,1.03421,451.883,452.019
3,double,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",6,512,9,0.942656,437.493,5.70364,1.01578,444.991,445.155
3,double,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",6,512,10,0.928864,443.257,5.70073,1.01274,449.761,450.899
3,double,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",6,512,11,0.939424,446.328,5.7049,1.01882,452.841,453.991
3,double,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",6,512,12,0.929088,439.752,5.7039,1.05059,447.275,447.435
3,double,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",6,512,13,0.930368,440.441,5.69455,1.01373,447.92,448.08
3,double,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",6,512,14,0.928736,443.222,5.69916,1.01373,450.705,450.864
3,double,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",6,512,15,0.930048,437.238,5.69474,1.01376,444.717,444.877
3,double,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",6,512,16,0.932448,537.081,5.70506,1.0199,544.584,544.739
3,double,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",6,512,17,0.934784,437.232,5.69906,1.01885,444.73,444.884
3,double,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",6,512,18,0.93296,443.795,5.77052,1.02912,450.394,451.527
3,double,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",6,512,19,0.936512,440.967,5.72162,1.02707,448.493,448.652
3,double,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",6,512,20,0.93648,453.411,5.69877,1.01168,459.919,461.058
3,double,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",6,512,21,0.929952,444.327,5.70302,1.0168,451.817,451.977
3,double,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",6,512,22,0.929504,447.298,5.69886,1.01267,454.776,454.939
3,double,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",6,512,23,0.974112,447.582,5.63292,1.08646,454.056,455.275
3,double,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",6,512,24,0.928928,437.318,5.70154,1.0168,443.801,444.965
3,double,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",6,512,25,0.928416,442.448,5.69455,1.01677,448.928,450.088
3,double,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",6,512,26,0.972448,444.549,5.63177,1.08749,451.113,452.241
3,double,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",6,512,27,0.973312,438.999,5.64772,1.08851,445.533,446.708
3,double,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",6,512,28,0.932576,441.533,5.71514,1.01882,449.044,449.2
3,double,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",6,512,29,0.930784,438.334,5.70206,1.01782,445.821,445.984
