dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,float,uniform,CPU,"D | D | D | D | D | D",6,512,0,43.0623,0,4173.32,1.25542,4217.83,4217.64
3,float,uniform,CPU,"D | D | D | D | D | D",6,512,1,42.7982,0,2405.71,0.692224,2416.39,2449.2
3,float,uniform,CPU,"D | D | D | D | D | D",6,512,2,41.7544,0,2389.88,0.705536,2399.7,2432.34
3,float,uniform,CPU,"D | D | D | D | D | D",6,512,3,43.3369,0,2217.59,0.693248,2261.36,2261.62
3,float,uniform,CPU,"D | D | D | D | D | D",6,512,4,42.8104,0,2206.91,0.697344,2250.53,2250.42
3,float,uniform,CPU,"D | D | D | D | D | D",6,512,5,41.6128,0,2171.13,0.714752,2213.6,2213.46
3,float,uniform,CPU,"D | D | D | D | D | D",6,512,6,41.7875,0,2167.27,0.695296,2209.86,2209.75
3,float,uniform,CPU,"D | D | D | D | D | D",6,512,7,41.7955,0,2375.41,0.704512,2385.09,2417.91
3,float,uniform,CPU,"D | D | D | D | D | D",6,512,8,42.3615,0,2179.09,0.695296,2221.47,2222.15
3,float,uniform,CPU,"D | D | D | D | D | D",6,512,9,41.7876,0,2166.23,0.692224,2208.82,2208.71
3,float,uniform,CPU,"D | D | D | D | D | D",6,512,10,42.4476,0,2167.48,0.705472,2210.76,2210.64
3,float,uniform,CPU,"D | D | D | D | D | D",6,512,11,41.8375,0,2159.75,0.706528,2202.4,2202.29
3,float,uniform,CPU,"D | D | D | D | D | D",6,512,12,41.8024,0,2368.44,0.692192,2375.64,2410.93
3,float,uniform,CPU,"D | D | D | D | D | D",6,512,13,41.6373,0,2156.9,0.6912,2199.33,2199.23
3,float,uniform,CPU,"D | D | D | D | D | D",6,512,14,41.7142,0,2157.23,0.694272,2199.6,2199.63
3,float,uniform,CPU,"D | D | D | D | D | D",6,512,15,41.8664,0,2155.83,0.69632,2198.49,2198.39
3,float,uniform,CPU,"D | D | D | D | D | D",6,512,16,41.8703,0,2166.29,0.693248,2208.66,2208.86
3,float,uniform,CPU,"D | D | D | D | D | D",6,512,17,42.3451,0,2164.5,0.692224,2207.64,2207.54
3,float,uniform,CPU,"D | D | D | D | D | D",6,512,18,41.9337,0,2156.54,0.699488,2199.29,2199.18
3,float,uniform,CPU,"D | D | D | D | D | D",6,512,19,41.8181,0,2157.8,0.694272,2200.42,2200.31
3,float,uniform,CPU,"D | D | D | D | D | D",6,512,20,41.8406,0,2146.07,0.722944,2188.77,2188.63
3,float,uniform,CPU,"D | D | D | D | D | D",6,512,21,41.8341,0,2152.59,0.698368,2195.17,2195.13
3,float,uniform,CPU,"D | D | D | D | D | D",6,512,22,41.9037,0,2158.48,0.699392,2201.19,2201.09
3,float,uniform,CPU,"D | D | D | D | D | D",6,512,23,41.7397,0,2148.12,0.690176,2190.66,2190.55
3,float,uniform,CPU,"D | D | D | D | D | D",6,512,24,41.8838,0,2152.16,0.693248,2194.84,2194.74
3,float,uniform,CPU,"D | D | D | D | D | D",6,512,25,41.7769,0,2355.67,0.698368,2364.69,2398.15
3,float,uniform,CPU,"D | D | D | D | D | D",6,512,26,41.8215,0,2345.82,0.70144,2355.53,2388.35
3,float,uniform,CPU,"D | D | D | D | D | D",6,512,27,41.8947,0,2165.52,0.694272,2208.21,2208.11
3,float,uniform,CPU,"D | D | D | D | D | D",6,512,28,41.7707,0,2157.19,0.693248,2199.76,2199.65
3,float,uniform,CPU,"D | D | D | D | D | D",6,512,29,42.0498,0,2153.09,0.690176,2195.94,2195.83
