dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,float,uniform,GPU,"P | P | P | P | P | P",4,512,0,1.53062,0,146.32,2.21184,149.993,150.062
3,float,uniform,GPU,"P | P | P | P | P | P",4,512,1,0.876256,0,35.1238,1.8688,37.766,37.8689
3,float,uniform,GPU,"P | P | P | P | P | P",4,512,2,0.869088,0,35.0612,1.88006,37.5525,37.8103
3,float,uniform,GPU,"P | P | P | P | P | P",4,512,3,0.87152,0,34.2854,1.86573,37.0762,37.0226
3,float,uniform,GPU,"P | P | P | P | P | P",4,512,4,0.867968,0,34.2896,1.86778,37.0758,37.0253
3,float,uniform,GPU,"P | P | P | P | P | P",4,512,5,0.8648,0,34.2843,1.8729,37.0742,37.022
3,float,uniform,GPU,"P | P | P | P | P | P",4,512,6,0.868,0,34.2048,1.87085,37.0197,36.9437
3,float,uniform,GPU,"P | P | P | P | P | P",4,512,7,0.860128,0,33.8221,1.86266,36.6146,36.5449
3,float,uniform,GPU,"P | P | P | P | P | P",4,512,8,0.861152,0,33.7926,1.86163,36.5719,36.5154
3,float,uniform,GPU,"P | P | P | P | P | P",4,512,9,0.85904,0,33.7932,1.86163,36.58,36.5139
3,float,uniform,GPU,"P | P | P | P | P | P",4,512,10,0.860384,0,33.8143,1.86675,36.6088,36.5414
3,float,uniform,GPU,"P | P | P | P | P | P",4,512,11,0.861856,0,33.8027,1.86368,36.6042,36.5283
3,float,uniform,GPU,"P | P | P | P | P | P",4,512,12,0.860704,0,33.7892,1.86266,36.5895,36.5126
3,float,uniform,GPU,"P | P | P | P | P | P",4,512,13,0.86384,0,33.8011,1.8647,36.5909,36.5296
3,float,uniform,GPU,"P | P | P | P | P | P",4,512,14,0.858944,0,33.8018,1.8647,36.5984,36.5255
3,float,uniform,GPU,"P | P | P | P | P | P",4,512,15,0.86272,0,33.7994,1.86266,36.5835,36.5248
3,float,uniform,GPU,"P | P | P | P | P | P",4,512,16,0.864576,0,33.7834,1.86061,36.5779,36.5086
3,float,uniform,GPU,"P | P | P | P | P | P",4,512,17,0.857184,0,33.8001,1.8647,36.582,36.522
3,float,uniform,GPU,"P | P | P | P | P | P",4,512,18,0.861248,0,33.7924,1.86163,36.5687,36.5153
3,float,uniform,GPU,"P | P | P | P | P | P",4,512,19,0.864192,0,33.811,1.86675,36.6262,36.5419
3,float,uniform,GPU,"P | P | P | P | P | P",4,512,20,0.858336,0,33.8075,1.86573,36.6067,36.5315
3,float,uniform,GPU,"P | P | P | P | P | P",4,512,21,0.8632,0,33.7885,1.86368,36.5895,36.5154
3,float,uniform,GPU,"P | P | P | P | P | P",4,512,22,0.861408,0,33.7745,1.86778,36.5686,36.5037
3,float,uniform,GPU,"P | P | P | P | P | P",4,512,23,0.860864,0,33.7762,1.86163,36.5722,36.4987
3,float,uniform,GPU,"P | P | P | P | P | P",4,512,24,0.865152,0,33.7761,1.86163,36.5725,36.5028
3,float,uniform,GPU,"P | P | P | P | P | P",4,512,25,0.859808,0,33.7756,1.86266,36.5565,36.498
3,float,uniform,GPU,"P | P | P | P | P | P",4,512,26,0.858688,0,33.7962,1.85958,36.5796,36.5145
3,float,uniform,GPU,"P | P | P | P | P | P",4,512,27,0.861344,0,33.7658,1.86266,36.5643,36.4898
3,float,uniform,GPU,"P | P | P | P | P | P",4,512,28,0.859072,0,33.7956,1.86778,36.589,36.5225
3,float,uniform,GPU,"P | P | P | P | P | P",4,512,29,0.86352,0,33.7987,1.8647,36.6011,36.5269
