dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",6,512,0,0.540576,496.572,3.11923,1.15814,443.665,501.39
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",6,512,1,0.491712,456.419,3.06182,0.677888,410.32,460.65
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",6,512,2,0.491904,448.477,3.03474,0.68096,399.017,452.685
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",6,512,3,0.509472,440.115,3.06439,0.676864,402.267,444.365
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",6,512,4,0.514432,440.401,3.09163,0.681984,399.468,444.689
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",6,512,5,0.494016,443.834,3.12131,0.685056,401.103,448.134
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",6,512,6,0.491904,441.003,3.09664,0.677888,392.53,445.269
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",6,512,7,0.493344,444.395,3.04253,0.672768,401.992,448.603
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",6,512,8,0.49248,442.168,2.9744,0.689152,405.401,446.324
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",6,512,9,0.50864,439.782,3.05269,0.677888,397.744,444.022
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",6,512,10,0.492448,448.867,3.0619,0.677888,397.195,453.1
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",6,512,11,0.495616,445.653,2.96069,0.668672,394.624,449.778
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",6,512,12,0.493216,438.184,3.08925,0.676864,397.121,442.443
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",6,512,13,0.51488,445.982,3.06493,0.678912,398.31,450.241
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",6,512,14,0.49248,451.639,3.09289,0.688128,405.987,455.913
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",6,512,15,0.490432,448.253,3.02939,0.678912,406.359,452.451
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",6,512,16,0.492096,438.825,3.07748,0.679936,399.819,443.075
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",6,512,17,0.492352,440.267,2.97384,0.669696,402.062,444.403
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",6,512,18,0.493312,462.832,2.97783,0.677888,416.062,466.981
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",6,512,19,0.494016,445.937,3.06434,0.677888,401.539,450.173
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",6,512,20,0.493888,447.746,3.03061,0.673792,394.21,451.945
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",6,512,21,0.49328,440.556,3.02374,0.676864,395.9,444.75
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",6,512,22,0.494752,457.187,3.05341,0.68096,412.516,461.416
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",6,512,23,0.496192,444.751,3.02905,0.678912,406.033,448.955
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",6,512,24,0.49648,456.503,3.0238,0.68096,413.244,460.704
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",6,512,25,0.495968,447.202,3.05318,0.676864,406.563,451.428
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",6,512,26,0.492672,442.598,3.08464,0.674816,404.393,446.85
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",6,512,27,0.49232,462.351,3.03333,0.672768,408.491,466.549
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",6,512,28,0.494016,456.214,3.06711,0.672768,413.008,460.448
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",6,512,29,0.49376,445.294,3.07812,0.678912,405.163,449.544
