dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",8,512,0,33.9642,624.185,1.8356,1.21856,658.05,661.203
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",8,512,1,31.975,489.658,1.78031,0.423936,521.714,523.837
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",8,512,2,32.0286,492.238,1.76341,0.42496,526.053,526.455
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",8,512,3,32.1115,493.898,1.88322,0.465888,528.509,528.359
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",8,512,4,32.1287,479.888,1.82645,0.432128,514.388,514.275
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",8,512,5,32.2846,474.681,1.78388,0.419808,507.237,509.169
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",8,512,6,30.6581,496.642,1.84365,0.44544,528.704,529.589
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",8,512,7,29.8558,530.615,1.76872,0.419872,558.645,562.659
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",8,512,8,32.282,525.512,1.8953,0.437184,560.246,560.127
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",8,512,9,30.0345,502.869,1.82888,0.463872,534.522,535.196
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",8,512,10,32.3798,511.814,1.78588,0.420832,546.502,546.4
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",8,512,11,30.1579,532.506,1.76739,0.427968,560.909,564.859
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",8,512,12,30.029,512.47,1.83837,0.451584,541.92,544.789
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",8,512,13,30.217,520.607,1.77779,0.4208,543.658,553.022
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",8,512,14,29.3636,532.237,1.88714,0.453632,555.781,563.941
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",8,512,15,29.6035,517.036,1.85129,0.448512,544.469,548.94
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",8,512,16,32.022,537.759,1.83912,0.429024,572.182,572.049
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",8,512,17,32.3228,503.447,1.81298,0.431072,538.126,538.014
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",8,512,18,32.0545,504.049,1.85863,0.44032,523.734,538.402
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",8,512,19,32.0138,500.38,1.78816,0.434176,534.161,534.616
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",8,512,20,30.0747,513.91,1.76745,0.421888,544.976,546.174
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",8,512,21,30.4855,485.828,1.85666,0.448512,509.38,518.619
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",8,512,22,31.9831,521.692,1.77849,0.431104,543.68,555.884
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",8,512,23,29.8992,549.165,1.84344,0.447488,573.071,581.355
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",8,512,24,31.9265,493.883,1.83873,0.424928,528.19,528.074
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",8,512,25,30.8213,516.393,1.85268,0.451584,537.984,549.519
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",8,512,26,31.9449,530.083,1.77538,0.425952,560.812,564.229
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",8,512,27,32.0083,472.776,1.76226,0.42288,501.017,506.969
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",8,512,28,31.9518,511.365,1.77515,0.421952,545.621,545.514
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",8,512,29,29.7399,500.867,1.77176,0.41984,529.771,532.799
