dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",2,512,0,3.27558,36.3321,21.8906,3.18362,64.7762,64.682
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",2,512,1,2.84045,30.5086,21.829,3.05766,58.3115,58.2357
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",2,512,2,2.8432,30.5744,21.8637,3.04845,58.4027,58.3297
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",2,512,3,2.84186,30.5069,21.8213,3.05766,58.3023,58.2277
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",2,512,4,2.848,30.5039,21.8338,3.04947,58.3091,58.2352
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",2,512,5,2.84134,30.5644,21.8019,3.06176,58.3148,58.2694
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",2,512,6,2.84246,30.5306,21.8565,3.04947,58.3399,58.2791
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",2,512,7,2.84339,30.6387,21.8301,3.0464,58.4315,58.3586
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",2,512,8,2.8457,30.6174,21.7213,3.05254,58.2946,58.2369
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",2,512,9,2.84323,30.5948,21.7251,3.05562,58.2944,58.2188
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",2,512,10,2.84566,30.5634,21.8557,3.05254,58.3911,58.3173
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",2,512,11,2.84272,30.6121,21.7783,3.04538,58.3406,58.2785
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",2,512,12,2.84784,30.5546,21.8691,3.05152,58.398,58.323
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",2,512,13,2.84794,30.5221,21.8678,3.05562,58.3729,58.2935
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",2,512,14,2.84131,30.5532,21.7511,3.05459,58.2619,58.2002
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",2,512,15,2.8415,30.6482,21.6912,3.05254,58.3032,58.2334
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",2,512,16,2.84352,30.5954,21.7457,3.05459,58.3133,58.2392
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",2,512,17,2.84659,30.5148,21.9063,3.05357,58.4058,58.3213
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",2,512,18,2.84605,30.5941,21.8508,3.05254,58.418,58.3436
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",2,512,19,2.84691,30.572,21.8224,3.06074,58.376,58.302
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",2,512,20,2.84394,30.7878,21.6028,3.05562,58.3621,58.2902
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",2,512,21,2.86166,30.7074,21.729,3.06074,58.4592,58.3588
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",2,512,22,2.84458,30.5982,21.7012,3.05357,58.2643,58.1975
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",2,512,23,2.84166,30.6028,21.7626,3.05254,58.3092,58.2596
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",2,512,24,2.83981,30.6738,21.7007,3.05766,58.3385,58.272
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",2,512,25,2.84048,30.7077,21.7287,3.0505,58.4038,58.3274
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",2,512,26,2.8448,30.5558,21.8298,3.04947,58.3538,58.2798
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",2,512,27,2.8473,30.7982,21.5973,3.05254,58.3648,58.2953
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",2,512,28,2.844,30.6565,21.6664,3.05357,58.2829,58.2205
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",2,512,29,2.84755,30.569,21.8704,3.05152,58.4196,58.3385
