dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",6,512,0,78.7001,1592.13,6.44563,3.03098,1677.4,1680.31
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",6,512,1,83.1293,1563.76,6.39338,2.46163,1652.54,1655.74
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",6,512,2,83.0694,1541.19,6.47842,2.46675,1621.31,1633.21
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",6,512,3,84.199,1571.03,6.46818,2.49133,1664.36,1664.19
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",6,512,4,84.06,1514.25,6.41322,2.4576,1607.33,1607.18
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",6,512,5,83.6622,1524.28,6.41121,2.45344,1616.96,1616.8
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",6,512,6,84.8403,1529.53,6.40184,2.45958,1623.39,1623.23
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",6,512,7,83.7355,1546.66,6.40958,2.45859,1638.83,1639.26
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",6,512,8,83.5779,1527.35,6.56067,2.46678,1619.75,1619.95
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",6,512,9,83.6856,1551.92,6.37972,2.45146,1642.2,1644.44
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",6,512,10,83.6116,1514.38,6.34857,2.45242,1594.22,1606.8
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",6,512,11,84.5685,1529.48,6.42927,2.45142,1618.97,1622.93
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",6,512,12,83.627,1518.33,6.39964,2.45242,1608.54,1610.81
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",6,512,13,83.5014,1517.87,6.39976,2.45658,1589.95,1610.23
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",6,512,14,83.9905,1535.1,6.40952,2.45034,1623.04,1627.95
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",6,512,15,84.528,1500.3,6.3773,2.45139,1592.17,1593.66
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",6,512,16,83.8628,1543.39,6.34599,2.45856,1636.2,1636.05
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",6,512,17,83.6145,1524.52,6.48497,2.47293,1617.09,1617.09
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",6,512,18,83.4548,1547.32,6.46587,2.45651,1633.74,1639.69
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",6,512,19,83.5756,1520.27,6.37441,2.4535,1611.97,1612.67
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",6,512,20,83.1585,1502.56,6.40174,2.4504,1592.88,1594.57
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",6,512,21,83.5358,1540.39,6.37551,2.45344,1627.92,1632.76
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",6,512,22,83.8368,1571.28,6.41005,2.45341,1664.13,1663.98
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",6,512,23,83.7966,1502.85,6.43112,2.45344,1590.69,1595.54
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",6,512,24,83.2166,1505.4,6.37262,2.45245,1591.25,1597.44
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",6,512,25,83.4242,1501.01,6.37828,2.45142,1591.61,1593.26
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",6,512,26,83.6746,1518.74,6.3357,2.44835,1590.08,1611.2
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",6,512,27,83.2807,1532.11,6.47025,2.47699,1623.78,1624.34
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",6,512,28,83.373,1528.53,6.34463,2.45859,1604.83,1620.71
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",6,512,29,83.7295,1533.41,6.47304,2.45552,1626.22,1626.07
