dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,float,uniform,GPU,"P | P | P | P | Ns | Ns",1,512,0,2.79549,7.92298,29.8923,8.10496,48.8542,48.7157
3,float,uniform,GPU,"P | P | P | P | Ns | Ns",1,512,1,2.76064,7.90843,29.5842,7.6759,48.0692,47.9292
3,float,uniform,GPU,"P | P | P | P | Ns | Ns",1,512,2,2.7609,7.91159,28.3112,7.6032,46.7202,46.5868
3,float,uniform,GPU,"P | P | P | P | Ns | Ns",1,512,3,2.7551,7.91421,27.3461,7.58579,45.7391,45.6012
3,float,uniform,GPU,"P | P | P | P | Ns | Ns",1,512,4,2.75674,7.91473,27.559,7.55405,45.9288,45.7845
3,float,uniform,GPU,"P | P | P | P | Ns | Ns",1,512,5,2.75347,7.91276,27.4142,7.5735,45.7944,45.6539
3,float,uniform,GPU,"P | P | P | P | Ns | Ns",1,512,6,2.75494,7.91281,27.3638,7.58374,45.7545,45.6153
3,float,uniform,GPU,"P | P | P | P | Ns | Ns",1,512,7,2.75562,7.91335,27.3683,7.58477,45.7613,45.622
3,float,uniform,GPU,"P | P | P | P | Ns | Ns",1,512,8,2.75664,7.9146,27.4229,7.5735,45.8059,45.6676
3,float,uniform,GPU,"P | P | P | P | Ns | Ns",1,512,9,2.75347,7.91165,27.2829,7.5776,45.6661,45.5256
3,float,uniform,GPU,"P | P | P | P | Ns | Ns",1,512,10,2.75552,7.91057,27.3359,7.57555,45.7161,45.5775
3,float,uniform,GPU,"P | P | P | P | Ns | Ns",1,512,11,2.75667,7.91174,27.2708,7.57146,45.649,45.5107
3,float,uniform,GPU,"P | P | P | P | Ns | Ns",1,512,12,2.75645,7.91143,27.3326,7.5776,45.7207,45.5781
3,float,uniform,GPU,"P | P | P | P | Ns | Ns",1,512,13,2.75584,7.91017,27.3876,7.56531,45.7581,45.6189
3,float,uniform,GPU,"P | P | P | P | Ns | Ns",1,512,14,2.75462,7.916,27.3549,7.58579,45.7486,45.6113
3,float,uniform,GPU,"P | P | P | P | Ns | Ns",1,512,15,2.75491,7.91115,27.3066,7.56838,45.6807,45.541
3,float,uniform,GPU,"P | P | P | P | Ns | Ns",1,512,16,2.7553,7.91237,27.3901,7.56429,45.7636,45.6221
3,float,uniform,GPU,"P | P | P | P | Ns | Ns",1,512,17,2.75133,7.91442,27.242,7.58682,45.6319,45.4946
3,float,uniform,GPU,"P | P | P | P | Ns | Ns",1,512,18,2.756,7.91137,27.2904,7.58374,45.683,45.5415
3,float,uniform,GPU,"P | P | P | P | Ns | Ns",1,512,19,2.75613,7.9107,27.4406,7.57862,45.8252,45.686
3,float,uniform,GPU,"P | P | P | P | Ns | Ns",1,512,20,2.75702,7.91201,27.2781,7.56429,45.6502,45.5114
3,float,uniform,GPU,"P | P | P | P | Ns | Ns",1,512,21,2.75466,7.91001,27.4648,7.56736,45.8363,45.6968
3,float,uniform,GPU,"P | P | P | P | Ns | Ns",1,512,22,2.75421,7.91372,27.3102,7.55814,45.6737,45.5363
3,float,uniform,GPU,"P | P | P | P | Ns | Ns",1,512,23,2.75558,7.91364,27.3072,7.60115,45.7179,45.5776
3,float,uniform,GPU,"P | P | P | P | Ns | Ns",1,512,24,2.75574,7.91083,27.4076,7.55712,45.7708,45.6313
3,float,uniform,GPU,"P | P | P | P | Ns | Ns",1,512,25,2.75549,7.91153,27.3576,7.56736,45.731,45.592
3,float,uniform,GPU,"P | P | P | P | Ns | Ns",1,512,26,2.75613,7.9119,27.159,7.59296,45.5574,45.42
3,float,uniform,GPU,"P | P | P | P | Ns | Ns",1,512,27,2.75638,7.91348,27.3311,7.56941,45.7099,45.5704
3,float,uniform,GPU,"P | P | P | P | Ns | Ns",1,512,28,2.75517,7.91639,27.1639,7.56941,45.5427,45.4049
3,float,uniform,GPU,"P | P | P | P | Ns | Ns",1,512,29,2.75731,7.90928,27.2778,7.58272,45.6683,45.5271
