dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,double,uniform,CPU,"P | P | P | P | N | D",8,512,0,66.1448,1170.71,4.88327,2.06326,1244.03,1243.8
3,double,uniform,CPU,"P | P | P | P | N | D",8,512,1,64.2764,999.534,4.84213,1.6936,1070.49,1070.35
3,double,uniform,CPU,"P | P | P | P | N | D",8,512,2,64.3021,949.882,4.83862,1.70701,1020.86,1020.73
3,double,uniform,CPU,"P | P | P | P | N | D",8,512,3,63.4923,941.751,4.92511,1.7265,1012.06,1011.89
3,double,uniform,CPU,"P | P | P | P | N | D",8,512,4,63.6281,975.465,4.8382,1.69056,1045.76,1045.62
3,double,uniform,CPU,"P | P | P | P | N | D",8,512,5,63.5329,935.631,4.8337,1.69667,1005.82,1005.69
3,double,uniform,CPU,"P | P | P | P | N | D",8,512,6,59.6928,980.735,4.80515,1.68243,1045.71,1046.92
3,double,uniform,CPU,"P | P | P | P | N | D",8,512,7,59.9635,989.557,4.90095,1.70282,1045.35,1056.12
3,double,uniform,CPU,"P | P | P | P | N | D",8,512,8,60.4496,936.284,4.84967,1.69363,999.568,1003.28
3,double,uniform,CPU,"P | P | P | P | N | D",8,512,9,59.134,955.946,4.8098,1.68131,1019.35,1021.57
3,double,uniform,CPU,"P | P | P | P | N | D",8,512,10,59.8301,968.337,4.79786,1.68141,1030.67,1034.65
3,double,uniform,CPU,"P | P | P | P | N | D",8,512,11,63.8889,981.933,4.84675,1.7008,1052.5,1052.37
3,double,uniform,CPU,"P | P | P | P | N | D",8,512,12,63.8917,951.778,4.8367,1.69674,1022.33,1022.2
3,double,uniform,CPU,"P | P | P | P | N | D",8,512,13,59.6133,979.562,4.80532,1.68448,1033.6,1045.66
3,double,uniform,CPU,"P | P | P | P | N | D",8,512,14,63.4528,956.035,4.81312,1.68445,1026.1,1025.99
3,double,uniform,CPU,"P | P | P | P | N | D",8,512,15,60.0725,964.02,4.86646,1.72032,1028.52,1030.68
3,double,uniform,CPU,"P | P | P | P | N | D",8,512,16,63.6142,966.93,4.80978,1.6937,1028.87,1037.05
3,double,uniform,CPU,"P | P | P | P | N | D",8,512,17,59.5872,949.342,4.80457,1.68134,1012.73,1015.41
3,double,uniform,CPU,"P | P | P | P | N | D",8,512,18,63.8192,931.711,4.81461,1.68541,1002.15,1002.03
3,double,uniform,CPU,"P | P | P | P | N | D",8,512,19,64.5711,923.315,4.79876,1.68442,994.12,994.369
3,double,uniform,CPU,"P | P | P | P | N | D",8,512,20,59.4191,936.179,4.79397,1.68141,995.056,1002.07
3,double,uniform,CPU,"P | P | P | P | N | D",8,512,21,59.8104,942.559,4.79421,1.68243,1003.83,1008.85
3,double,uniform,CPU,"P | P | P | P | N | D",8,512,22,63.4983,933.481,4.79933,1.68336,1003.27,1003.46
3,double,uniform,CPU,"P | P | P | P | N | D",8,512,23,63.662,953.248,4.87601,1.71206,979.632,1023.5
3,double,uniform,CPU,"P | P | P | P | N | D",8,512,24,63.7197,948.412,4.82229,1.68746,978.899,1018.64
3,double,uniform,CPU,"P | P | P | P | N | D",8,512,25,63.6862,936.031,4.82556,1.69776,1002.55,1006.24
3,double,uniform,CPU,"P | P | P | P | N | D",8,512,26,63.9423,960.841,4.90611,1.70387,1031.55,1031.39
3,double,uniform,CPU,"P | P | P | P | N | D",8,512,27,63.652,934.074,4.80783,1.68957,995.829,1004.22
3,double,uniform,CPU,"P | P | P | P | N | D",8,512,28,59.7134,945.96,4.8152,1.6824,997.802,1012.17
3,double,uniform,CPU,"P | P | P | P | N | D",8,512,29,63.3862,932.996,4.81125,1.68445,1003.01,1002.88
