dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,float,uniform,GPU,"P | P | P | P | Ds | Ds",6,512,0,0.538688,852.817,3.41735,1.94144,854.823,858.714
3,float,uniform,GPU,"P | P | P | P | Ds | Ds",6,512,1,0.519712,791.197,3.40339,1.33117,788.541,796.451
3,float,uniform,GPU,"P | P | P | P | Ds | Ds",6,512,2,0.499776,783.759,3.45344,1.33936,785.253,789.052
3,float,uniform,GPU,"P | P | P | P | Ds | Ds",6,512,3,0.499904,775.856,3.37365,1.32195,779.58,781.052
3,float,uniform,GPU,"P | P | P | P | Ds | Ds",6,512,4,0.507936,783.391,3.40303,1.32816,780.798,788.631
3,float,uniform,GPU,"P | P | P | P | Ds | Ds",6,512,5,0.501728,790.047,3.39517,1.32301,788.616,795.267
3,float,uniform,GPU,"P | P | P | P | Ds | Ds",6,512,6,0.501952,792.455,3.4083,1.31987,797.824,797.685
3,float,uniform,GPU,"P | P | P | P | Ds | Ds",6,512,7,0.50096,779.167,3.41703,1.3209,784.542,784.405
3,float,uniform,GPU,"P | P | P | P | Ds | Ds",6,512,8,0.503296,789.022,3.39878,1.33216,782.403,794.256
3,float,uniform,GPU,"P | P | P | P | Ds | Ds",6,512,9,0.501856,769.957,3.39076,1.32192,768.553,775.171
3,float,uniform,GPU,"P | P | P | P | Ds | Ds",6,512,10,0.500352,772.817,3.39913,1.32291,777.448,778.04
3,float,uniform,GPU,"P | P | P | P | Ds | Ds",6,512,11,0.500736,776.253,3.38987,1.324,779.134,781.468
3,float,uniform,GPU,"P | P | P | P | Ds | Ds",6,512,12,0.50144,770.523,3.41599,1.32291,775.901,775.763
3,float,uniform,GPU,"P | P | P | P | Ds | Ds",6,512,13,0.500256,790.355,3.4104,1.31987,795.723,795.586
3,float,uniform,GPU,"P | P | P | P | Ds | Ds",6,512,14,0.514176,786.809,3.42652,1.3383,789.656,792.088
3,float,uniform,GPU,"P | P | P | P | Ds | Ds",6,512,15,0.49712,772.478,3.38106,1.30762,777.34,777.664
3,float,uniform,GPU,"P | P | P | P | Ds | Ds",6,512,16,0.49984,789.431,3.41085,1.31987,794.798,794.662
3,float,uniform,GPU,"P | P | P | P | Ds | Ds",6,512,17,0.506752,777.477,3.72856,1.38342,782.705,783.096
3,float,uniform,GPU,"P | P | P | P | Ds | Ds",6,512,18,0.499392,804.707,3.41762,1.32499,810.088,809.949
3,float,uniform,GPU,"P | P | P | P | Ds | Ds",6,512,19,0.509344,785.214,3.39421,1.32086,780.797,790.438
3,float,uniform,GPU,"P | P | P | P | Ds | Ds",6,512,20,0.502432,773.843,3.39015,1.32291,774.396,779.059
3,float,uniform,GPU,"P | P | P | P | Ds | Ds",6,512,21,0.508768,811.253,3.67432,1.38957,812.928,816.826
3,float,uniform,GPU,"P | P | P | P | Ds | Ds",6,512,22,0.50208,778.824,3.39083,1.32502,783.665,784.042
3,float,uniform,GPU,"P | P | P | P | Ds | Ds",6,512,23,0.49168,770.782,3.71521,1.37626,773.961,776.365
3,float,uniform,GPU,"P | P | P | P | Ds | Ds",6,512,24,0.507872,779.921,3.39362,1.32499,781.831,785.148
3,float,uniform,GPU,"P | P | P | P | Ds | Ds",6,512,25,0.50464,807.454,3.38996,1.32707,807.604,812.676
3,float,uniform,GPU,"P | P | P | P | Ds | Ds",6,512,26,0.49952,781.731,3.42041,1.31987,787.116,786.971
3,float,uniform,GPU,"P | P | P | P | Ds | Ds",6,512,27,0.494176,784.113,3.68054,1.38035,787.063,789.668
3,float,uniform,GPU,"P | P | P | P | Ds | Ds",6,512,28,0.515776,767.179,3.45688,1.33728,772.615,772.489
3,float,uniform,GPU,"P | P | P | P | Ds | Ds",6,512,29,0.500544,793.222,3.38158,1.32704,789.483,798.431
